number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.02203594752509974,-0.008980810877223733,0.02203594752509974,0.008980810877223733,0.02203594752509974,-0.008980810877223733,499.0,breakout,1,"{""adx_thresh"": 6.452106689141135, ""atr_max_pct"": 0.09075394820572097, ""atr_min_pct"": 0.018619128766304054, ""bb_std_mult"": 1.7205893763319684, ""edge_cap"": 0.7953800744270113, ""edge_k"": 0.2747956501971949, ""ema1"": 28, ""ema2"": 39, ""p_adx"": 28, ""p_atr"": 11, ""p_sma"": 57, ""p_std"": 59, ""rsi_ob"": 48, ""rsi_os"": 13, ""rsi_period"": 21, ""rsi_required"": true, ""slip_atr_k"": 0.0030977784233454653, ""slip_spread_k"": 0.5606589210907372, ""spread_hl_frac"": 0.043633583674664786, ""strategy"": ""breakout"", ""time_stop"": 140, ""tp_mult"": 2.7829019114986755, ""tsl_mult"": 0.5259653443608067, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.16006413223789182}"
1,-0.00795994534760025,-0.03443842311561965,-0.00795994534760025,0.03443842311561965,-0.00795994534760025,-0.03443842311561965,397.0,breakout,1,"{""adx_thresh"": 32.77876132729541, ""atr_max_pct"": 0.06318968494615898, ""atr_min_pct"": 0.010414648843042875, ""bb_std_mult"": 2.1678686917273904, ""edge_cap"": 0.15665853102743246, ""edge_k"": 0.23667383621473892, ""ema1"": 5, ""ema2"": 41, ""p_adx"": 18, ""p_atr"": 17, ""p_sma"": 10, ""p_std"": 46, ""rsi_ob"": 75, ""rsi_os"": 27, ""rsi_period"": 83, ""rsi_required"": true, ""slip_atr_k"": 0.11616654026046536, ""slip_spread_k"": 0.8561752654037236, ""spread_hl_frac"": 0.022994925351965526, ""strategy"": ""breakout"", ""time_stop"": 109, ""tp_mult"": 2.3366970375098184, ""tsl_mult"": 0.29914290976259017, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.19269910160290735}"
2,0.01336969623874995,-0.016676461396185418,0.01336969623874995,0.016676461396185418,0.01336969623874995,-0.016676461396185418,565.0,breakout,1,"{""adx_thresh"": 10.19606417446864, ""atr_max_pct"": 0.08505747417492363, ""atr_min_pct"": 0.003402242082481579, ""bb_std_mult"": 3.48876728811903, ""edge_cap"": 0.8664450343855469, ""edge_k"": 0.5608934412128317, ""ema1"": 8, ""ema2"": 13, ""p_adx"": 14, ""p_atr"": 29, ""p_sma"": 45, ""p_std"": 27, ""rsi_ob"": 89, ""rsi_os"": 39, ""rsi_period"": 23, ""rsi_required"": false, ""slip_atr_k"": 0.020296430701275764, ""slip_spread_k"": 0.8342285936620366, ""spread_hl_frac"": 0.028773853529934508, ""strategy"": ""breakout"", ""time_stop"": 43, ""tp_mult"": 2.014036996629634, ""tsl_mult"": 0.43353567555145756, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.10483674461946547}"
3,-0.023720915649400154,-0.039246233983817366,-0.023720915649400154,0.039246233983817366,-0.023720915649400154,-0.039246233983817366,456.0,mean_reversion,1,"{""adx_thresh"": 6.934370540990884, ""atr_max_pct"": 0.11971832848788543, ""atr_min_pct"": 0.024118770971959944, ""bb_std_mult"": 2.4192720888004127, ""edge_cap"": 0.40706932185736566, ""edge_k"": 1.4907457770420527, ""ema1"": 6, ""ema2"": 21, ""p_adx"": 21, ""p_atr"": 10, ""p_sma"": 18, ""p_std"": 44, ""rsi_ob"": 56, ""rsi_os"": 9, ""rsi_period"": 80, ""rsi_required"": false, ""slip_atr_k"": 0.16078503305556407, ""slip_spread_k"": 0.9241317350393501, ""spread_hl_frac"": 0.007705970058307071, ""strategy"": ""mean_reversion"", ""time_stop"": 91, ""tp_mult"": 1.850233850852964, ""tsl_mult"": 0.842148071948391, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17787907703316985}"
4,-0.001860495545800367,-0.016969523975770125,-0.001860495545800367,0.016969523975770125,-0.001860495545800367,-0.016969523975770125,549.0,mean_reversion,1,"{""adx_thresh"": 16.92315444591167, ""atr_max_pct"": 0.08132065328515463, ""atr_min_pct"": 0.018497254248419165, ""bb_std_mult"": 1.688534548811048, ""edge_cap"": 0.37894362511184676, ""edge_k"": 0.18626556805765615, ""ema1"": 11, ""ema2"": 60, ""p_adx"": 7, ""p_atr"": 27, ""p_sma"": 41, ""p_std"": 22, ""rsi_ob"": 72, ""rsi_os"": 44, ""rsi_period"": 50, ""rsi_required"": false, ""slip_atr_k"": 0.05755934386054823, ""slip_spread_k"": 0.7299980047279587, ""spread_hl_frac"": 0.013396884942297127, ""strategy"": ""mean_reversion"", ""time_stop"": 102, ""tp_mult"": 1.6921251609785815, ""tsl_mult"": 0.5265285666928121, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15098911442824606}"
5,-0.07496716584570018,-0.07756333849836441,-1000000000.0,0.07756333849836441,-0.07496716584570018,-0.07756333849836441,550.0,breakout,1,"{""adx_thresh"": 25.280494232945664, ""atr_max_pct"": 0.12930050622016673, ""atr_min_pct"": 0.014426968986884075, ""bb_std_mult"": 3.25618939389613, ""edge_cap"": 0.7553475229424856, ""edge_k"": 1.7922380006004934, ""ema1"": 15, ""ema2"": 27, ""p_adx"": 8, ""p_atr"": 23, ""p_sma"": 26, ""p_std"": 12, ""rsi_ob"": 73, ""rsi_os"": 31, ""rsi_period"": 77, ""rsi_required"": false, ""slip_atr_k"": 0.1881731607251497, ""slip_spread_k"": 0.280638904232523, ""spread_hl_frac"": 0.029781803115387268, ""strategy"": ""breakout"", ""time_stop"": 263, ""tp_mult"": 1.3086743232501257, ""tsl_mult"": 0.2707494541774702, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.13870055521695293}"
6,0.00031348318339996517,-0.018553284776012084,0.00031348318339996517,0.018553284776012084,0.00031348318339996517,-0.018553284776012084,588.0,breakout,1,"{""adx_thresh"": 21.27842809427819, ""atr_max_pct"": 0.06361871073989311, ""atr_min_pct"": 0.0023260242887625346, ""bb_std_mult"": 2.5631019247844082, ""edge_cap"": 0.4817421317417983, ""edge_k"": 0.03659495727804685, ""ema1"": 13, ""ema2"": 41, ""p_adx"": 29, ""p_atr"": 25, ""p_sma"": 32, ""p_std"": 10, ""rsi_ob"": 51, ""rsi_os"": 50, ""rsi_period"": 19, ""rsi_required"": false, ""slip_atr_k"": 0.05041984756265536, ""slip_spread_k"": 0.3677972680035241, ""spread_hl_frac"": 0.0008732061479277409, ""strategy"": ""breakout"", ""time_stop"": 74, ""tp_mult"": 2.1087607371948853, ""tsl_mult"": 0.9785096401848314, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.26401883694248673}"
7,-0.06137671602714945,-0.0650424533566358,-1000000000.0,0.0650424533566358,-0.06137671602714945,-0.0650424533566358,497.0,mean_reversion,1,"{""adx_thresh"": 9.255681660636288, ""atr_max_pct"": 0.08927031116010778, ""atr_min_pct"": 0.014807979294717355, ""bb_std_mult"": 0.7684158962324321, ""edge_cap"": 0.24933623252168943, ""edge_k"": 0.08557436342997393, ""ema1"": 8, ""ema2"": 54, ""p_adx"": 11, ""p_atr"": 21, ""p_sma"": 48, ""p_std"": 29, ""rsi_ob"": 60, ""rsi_os"": 42, ""rsi_period"": 38, ""rsi_required"": false, ""slip_atr_k"": 0.19626722432636742, ""slip_spread_k"": 0.5826781872873398, ""spread_hl_frac"": 0.00829522974056826, ""strategy"": ""mean_reversion"", ""time_stop"": 93, ""tp_mult"": 1.9527229725421058, ""tsl_mult"": 0.7673094499397346, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17458153093701112}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 9.975725513235501, ""atr_max_pct"": 0.05284816989678782, ""atr_min_pct"": 0.02507380858499002, ""bb_std_mult"": 1.3814671124154845, ""edge_cap"": 0.9246850623254456, ""edge_k"": 1.897199871041895, ""ema1"": 20, ""ema2"": 15, ""p_adx"": 15, ""p_atr"": 14, ""p_sma"": 29, ""p_std"": 30, ""rsi_ob"": 73, ""rsi_os"": 50, ""rsi_period"": 77, ""rsi_required"": false, ""slip_atr_k"": 0.12082952144258538, ""slip_spread_k"": 0.11452791610919477, ""spread_hl_frac"": 0.04419828467850763, ""strategy"": ""mean_reversion"", ""time_stop"": 129, ""tp_mult"": 2.1675956373568117, ""tsl_mult"": 0.5181872153159314, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.25760203498790163}"
9,-0.047236095704600856,-0.05096697514035324,-1000000000.0,0.05096697514035324,-0.047236095704600856,-0.05096697514035324,519.0,breakout,1,"{""adx_thresh"": 24.199133545964404, ""atr_max_pct"": 0.018347823734964262, ""atr_min_pct"": 0.0060485695939100845, ""bb_std_mult"": 2.551732497550718, ""edge_cap"": 0.6745298064723971, ""edge_k"": 0.043782202864714126, ""ema1"": 18, ""ema2"": 32, ""p_adx"": 27, ""p_atr"": 26, ""p_sma"": 44, ""p_std"": 14, ""rsi_ob"": 57, ""rsi_os"": 36, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.16512235784695717, ""slip_spread_k"": 0.23694944800990292, ""spread_hl_frac"": 0.025556650398908656, ""strategy"": ""breakout"", ""time_stop"": 287, ""tp_mult"": 1.8267433422618944, ""tsl_mult"": 0.5572394970642212, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1811572616173705}"
