number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 31.491062619306632, ""atr_max_pct"": 0.12052750106973696, ""atr_min_pct"": 0.023812648881884314, ""bb_std_mult"": 1.3781865581124368, ""edge_cap"": 0.7547753232704006, ""edge_k"": 0.1458995255733464, ""ema1"": 5, ""ema2"": 49, ""p_adx"": 13, ""p_atr"": 30, ""p_sma"": 26, ""p_std"": 35, ""rsi_ob"": 48, ""rsi_os"": 29, ""rsi_period"": 24, ""rsi_required"": false, ""slip_atr_k"": 0.17531330223466324, ""slip_spread_k"": 0.7061141605765903, ""spread_hl_frac"": 0.015911824258845863, ""strategy"": ""mean_reversion"", ""time_stop"": 193, ""tp_mult"": 2.676749363895335, ""tsl_mult"": 0.8218676347862659, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.08078943086885805}"
1,-0.008743297892849111,-0.0256639662263406,-0.008743297892849111,0.0256639662263406,-0.008743297892849111,-0.0256639662263406,577.0,mean_reversion,1,"{""adx_thresh"": 24.577915586821625, ""atr_max_pct"": 0.07209655222090224, ""atr_min_pct"": 0.013278406520042502, ""bb_std_mult"": 3.099247313314377, ""edge_cap"": 0.9060953446043704, ""edge_k"": 0.1594521527371502, ""ema1"": 9, ""ema2"": 50, ""p_adx"": 22, ""p_atr"": 25, ""p_sma"": 21, ""p_std"": 22, ""rsi_ob"": 62, ""rsi_os"": 23, ""rsi_period"": 68, ""rsi_required"": false, ""slip_atr_k"": 0.007935716258505587, ""slip_spread_k"": 0.8733975793995301, ""spread_hl_frac"": 0.040477819635132056, ""strategy"": ""mean_reversion"", ""time_stop"": 196, ""tp_mult"": 1.3543599669634159, ""tsl_mult"": 0.1326847228991046, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.01308891130953591}"
2,0.00048266020550058464,-0.020626517539620803,0.00048266020550058464,0.020626517539620803,0.00048266020550058464,-0.020626517539620803,459.0,breakout,1,"{""adx_thresh"": 11.374754505374945, ""atr_max_pct"": 0.03889918534983063, ""atr_min_pct"": 0.02693048222333661, ""bb_std_mult"": 0.7266901527150895, ""edge_cap"": 0.8050946544224902, ""edge_k"": 1.5684663556917198, ""ema1"": 20, ""ema2"": 25, ""p_adx"": 14, ""p_atr"": 29, ""p_sma"": 22, ""p_std"": 50, ""rsi_ob"": 45, ""rsi_os"": 43, ""rsi_period"": 23, ""rsi_required"": false, ""slip_atr_k"": 0.086572295728443, ""slip_spread_k"": 0.6296869297406367, ""spread_hl_frac"": 0.024571050257235688, ""strategy"": ""breakout"", ""time_stop"": 298, ""tp_mult"": 1.6526835708704288, ""tsl_mult"": 0.8695876506846918, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1412793547528887}"
3,-0.03976090787570008,-0.04641904335797096,-1000000000.0,0.04641904335797096,-0.03976090787570008,-0.04641904335797096,505.0,breakout,1,"{""adx_thresh"": 28.079030141246403, ""atr_max_pct"": 0.053473538188817116, ""atr_min_pct"": 0.012678730346892686, ""bb_std_mult"": 2.12311432568444, ""edge_cap"": 0.24332167605084443, ""edge_k"": 1.3132338416300675, ""ema1"": 23, ""ema2"": 59, ""p_adx"": 14, ""p_atr"": 15, ""p_sma"": 55, ""p_std"": 37, ""rsi_ob"": 76, ""rsi_os"": 22, ""rsi_period"": 74, ""rsi_required"": false, ""slip_atr_k"": 0.1332778046793086, ""slip_spread_k"": 0.19197013585826905, ""spread_hl_frac"": 0.03966530650438611, ""strategy"": ""breakout"", ""time_stop"": 194, ""tp_mult"": 2.587301841479645, ""tsl_mult"": 0.24832689508905592, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.13220095055598005}"
4,-0.06499477481015004,-0.06631255885971814,-1000000000.0,0.06631255885971814,-0.06499477481015004,-0.06631255885971814,486.0,breakout,1,"{""adx_thresh"": 7.454628847025169, ""atr_max_pct"": 0.09662818623341266, ""atr_min_pct"": 0.01903628481154673, ""bb_std_mult"": 1.9823446336746435, ""edge_cap"": 0.4969131755896886, ""edge_k"": 1.4240683135271905, ""ema1"": 21, ""ema2"": 49, ""p_adx"": 18, ""p_atr"": 10, ""p_sma"": 6, ""p_std"": 21, ""rsi_ob"": 84, ""rsi_os"": 48, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.19972747521314063, ""slip_spread_k"": 0.6761978198876115, ""spread_hl_frac"": 0.009045702626041086, ""strategy"": ""breakout"", ""time_stop"": 224, ""tp_mult"": 2.140354656656234, ""tsl_mult"": 0.47885825778224633, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1148685660052788}"
5,-0.024951276205550155,-0.03233112903613069,-0.024951276205550155,0.03233112903613069,-0.024951276205550155,-0.03233112903613069,520.0,mean_reversion,1,"{""adx_thresh"": 21.988976397319036, ""atr_max_pct"": 0.12181956653764467, ""atr_min_pct"": 0.005671006903291693, ""bb_std_mult"": 1.444684063622291, ""edge_cap"": 0.7639932280536679, ""edge_k"": 0.11621676222296529, ""ema1"": 15, ""ema2"": 43, ""p_adx"": 14, ""p_atr"": 29, ""p_sma"": 23, ""p_std"": 31, ""rsi_ob"": 75, ""rsi_os"": 35, ""rsi_period"": 23, ""rsi_required"": true, ""slip_atr_k"": 0.04568615017506017, ""slip_spread_k"": 0.8604885137038365, ""spread_hl_frac"": 0.029101065413357996, ""strategy"": ""mean_reversion"", ""time_stop"": 46, ""tp_mult"": 1.3484529494059103, ""tsl_mult"": 0.5202277361951756, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.07771991631764495}"
6,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 29.673632691547773, ""atr_max_pct"": 0.010418480503342513, ""atr_min_pct"": 0.017827289615628773, ""bb_std_mult"": 2.7366401926791473, ""edge_cap"": 0.11592366591370604, ""edge_k"": 1.111119377164153, ""ema1"": 5, ""ema2"": 31, ""p_adx"": 16, ""p_atr"": 10, ""p_sma"": 42, ""p_std"": 51, ""rsi_ob"": 73, ""rsi_os"": 19, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.010132297125729162, ""slip_spread_k"": 0.4965853330479243, ""spread_hl_frac"": 0.004348237651459713, ""strategy"": ""mean_reversion"", ""time_stop"": 125, ""tp_mult"": 2.654833436223953, ""tsl_mult"": 0.137165628063724, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2357569988587821}"
7,-0.046402947712399834,-0.051153142772518666,-1000000000.0,0.051153142772518666,-0.046402947712399834,-0.051153142772518666,572.0,mean_reversion,1,"{""adx_thresh"": 10.820774693106863, ""atr_max_pct"": 0.09566441311396236, ""atr_min_pct"": 0.010669563203399287, ""bb_std_mult"": 1.0726022563149207, ""edge_cap"": 0.4653054100068235, ""edge_k"": 0.7091489232358856, ""ema1"": 11, ""ema2"": 34, ""p_adx"": 11, ""p_atr"": 19, ""p_sma"": 24, ""p_std"": 10, ""rsi_ob"": 77, ""rsi_os"": 22, ""rsi_period"": 27, ""rsi_required"": false, ""slip_atr_k"": 0.08902978913449353, ""slip_spread_k"": 0.7107073761195856, ""spread_hl_frac"": 0.03244701113922016, ""strategy"": ""mean_reversion"", ""time_stop"": 141, ""tp_mult"": 2.199371564210419, ""tsl_mult"": 0.8023477844585313, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.04681895057370317}"
8,-0.008806891936648409,-0.01888414647324631,-0.008806891936648409,0.01888414647324631,-0.008806891936648409,-0.01888414647324631,448.0,mean_reversion,1,"{""adx_thresh"": 12.623418422147116, ""atr_max_pct"": 0.13169455679003483, ""atr_min_pct"": 0.007833171534464896, ""bb_std_mult"": 3.5209096002033244, ""edge_cap"": 0.39854458578567176, ""edge_k"": 0.2485351243475511, ""ema1"": 27, ""ema2"": 11, ""p_adx"": 18, ""p_atr"": 21, ""p_sma"": 33, ""p_std"": 58, ""rsi_ob"": 65, ""rsi_os"": 41, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.09691776954970088, ""slip_spread_k"": 0.5821979279965767, ""spread_hl_frac"": 0.027122065309050022, ""strategy"": ""mean_reversion"", ""time_stop"": 67, ""tp_mult"": 2.8778393261883326, ""tsl_mult"": 0.8316192803232153, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.24064857803994003}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 13.901974526990074, ""atr_max_pct"": 0.014523633430329608, ""atr_min_pct"": 0.020239496636873397, ""bb_std_mult"": 1.82128439724978, ""edge_cap"": 0.598682678318357, ""edge_k"": 0.9509904100599544, ""ema1"": 7, ""ema2"": 19, ""p_adx"": 26, ""p_atr"": 26, ""p_sma"": 10, ""p_std"": 45, ""rsi_ob"": 46, ""rsi_os"": 46, ""rsi_period"": 27, ""rsi_required"": true, ""slip_atr_k"": 0.08336359391502796, ""slip_spread_k"": 0.22832717359174493, ""spread_hl_frac"": 0.03837195368539836, ""strategy"": ""mean_reversion"", ""time_stop"": 133, ""tp_mult"": 1.430403687118501, ""tsl_mult"": 0.8189686427088055, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03690459794696097}"
