month,trades,wins,losses,win_rate,pnl_sum,pnl_mean,pnl_median,cum_pnl
2019-12-31,4,2,2,50.0,2.244074580000316,0.561018645000079,0.13883921000000654,2.244074580000316
2020-01-31,16,6,10,37.5,236.80307007999983,14.80019187999999,-0.10885545500000224,239.04714466000016
2020-02-29,10,2,8,20.0,-35.33642791000027,-3.5336427910000268,-2.908013839999646,203.7107167499999
2020-03-31,19,13,6,68.42,345.6155623400044,18.190292754737072,0.580183500000012,549.3262790900043
2020-04-30,19,11,8,57.89,106.97527054999644,5.630277397368234,0.1909119299999992,656.3015496400008
2020-05-31,11,4,7,36.36,-12.699853760002647,-1.1545321600002405,-0.2897689800023137,643.6016958799981
2020-06-30,13,1,12,7.69,-29.84620963000011,-2.2958622792307777,-8.858397439999418,613.7554862499981
2020-07-31,6,0,6,0.0,-20.184520889999224,-3.3640868149998706,-2.0157621999997364,593.5709653599988
2020-08-31,8,1,7,12.5,-44.29689022000194,-5.537111277500243,-3.506367445000335,549.2740751399969
2020-09-30,27,11,16,40.74,235.3147953500007,8.715362790740768,-0.647560279999624,784.5888704899976
2020-10-31,9,3,6,33.33,38.20924509000187,4.245471676666875,-0.0472812299999972,822.7981155799995
2020-11-30,8,3,5,37.5,-8.118895160005328,-1.014861895000666,-2.1377267850004475,814.6792204199942
