number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.037330364556350526,-0.012419064654941041,0.037330364556350526,0.012419064654941041,0.037330364556350526,-0.012419064654941041,607.0,breakout,1,"{""adx_thresh"": 5.737542667032822, ""atr_max_pct"": 0.13622809353177248, ""atr_min_pct"": 0.014233396142640416, ""bb_std_mult"": 3.2330869871484804, ""edge_cap"": 0.7213538030035633, ""edge_k"": 1.5510963968027316, ""ema1"": 26, ""ema2"": 40, ""p_adx"": 24, ""p_atr"": 26, ""p_sma"": 15, ""p_std"": 20, ""rsi_ob"": 82, ""rsi_os"": 49, ""rsi_period"": 73, ""rsi_required"": true, ""slip_atr_k"": 0.03016005572928898, ""slip_spread_k"": 0.5336093612976512, ""spread_hl_frac"": 0.008159262162130615, ""strategy"": ""breakout"", ""time_stop"": 168, ""tp_mult"": 2.8165081435585946, ""tsl_mult"": 0.9044875629715529, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.028273038535321635}"
1,0.019560276369251284,-0.009845304132223821,0.019560276369251284,0.009845304132223821,0.019560276369251284,-0.009845304132223821,490.0,mean_reversion,1,"{""adx_thresh"": 14.954340287549318, ""atr_max_pct"": 0.1152488463432026, ""atr_min_pct"": 0.024265696943225643, ""bb_std_mult"": 1.480200563981526, ""edge_cap"": 0.18169730938389897, ""edge_k"": 1.2708986122408348, ""ema1"": 14, ""ema2"": 60, ""p_adx"": 30, ""p_atr"": 10, ""p_sma"": 23, ""p_std"": 45, ""rsi_ob"": 57, ""rsi_os"": 18, ""rsi_period"": 7, ""rsi_required"": true, ""slip_atr_k"": 0.03831484487727402, ""slip_spread_k"": 0.9520248223262735, ""spread_hl_frac"": 0.0029216962192794294, ""strategy"": ""mean_reversion"", ""time_stop"": 58, ""tp_mult"": 2.3714093286801115, ""tsl_mult"": 0.47695751020989496, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.13238816289352062}"
2,0.030252764946200106,-0.007700043197359695,0.030252764946200106,0.007700043197359695,0.030252764946200106,-0.007700043197359695,494.0,breakout,1,"{""adx_thresh"": 14.014250080771767, ""atr_max_pct"": 0.12425198089593233, ""atr_min_pct"": 0.023923164690023632, ""bb_std_mult"": 1.6209566418279733, ""edge_cap"": 0.49122860921090333, ""edge_k"": 1.8092474022675873, ""ema1"": 21, ""ema2"": 41, ""p_adx"": 12, ""p_atr"": 10, ""p_sma"": 35, ""p_std"": 54, ""rsi_ob"": 52, ""rsi_os"": 12, ""rsi_period"": 28, ""rsi_required"": false, ""slip_atr_k"": 0.04591465350295504, ""slip_spread_k"": 0.5080440710017063, ""spread_hl_frac"": 0.006439879908104101, ""strategy"": ""breakout"", ""time_stop"": 29, ""tp_mult"": 2.0207579544275083, ""tsl_mult"": 0.8016583026580436, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.16224066700988712}"
3,-0.027156692882750355,-0.04004873438511368,-1000000000.0,0.04004873438511368,-0.027156692882750355,-0.04004873438511368,532.0,breakout,1,"{""adx_thresh"": 18.46621131199756, ""atr_max_pct"": 0.09112499875660697, ""atr_min_pct"": 0.002970642963080843, ""bb_std_mult"": 1.3647430433414, ""edge_cap"": 0.5748930870375697, ""edge_k"": 1.5016970312751208, ""ema1"": 15, ""ema2"": 40, ""p_adx"": 24, ""p_atr"": 26, ""p_sma"": 24, ""p_std"": 28, ""rsi_ob"": 55, ""rsi_os"": 11, ""rsi_period"": 16, ""rsi_required"": false, ""slip_atr_k"": 0.0882204312559215, ""slip_spread_k"": 0.9023803829588355, ""spread_hl_frac"": 0.03357800497394533, ""strategy"": ""breakout"", ""time_stop"": 270, ""tp_mult"": 1.1076574901970313, ""tsl_mult"": 0.04307488350536226, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.24832582773102588}"
4,-0.04167551789364987,-0.05034076286472896,-1000000000.0,0.05034076286472896,-0.04167551789364987,-0.05034076286472896,513.0,mean_reversion,1,"{""adx_thresh"": 32.2807789928586, ""atr_max_pct"": 0.10634563639927387, ""atr_min_pct"": 0.01586893114197271, ""bb_std_mult"": 0.6769859749406348, ""edge_cap"": 0.7581541540385371, ""edge_k"": 0.03350861545546624, ""ema1"": 27, ""ema2"": 26, ""p_adx"": 17, ""p_atr"": 25, ""p_sma"": 48, ""p_std"": 30, ""rsi_ob"": 80, ""rsi_os"": 43, ""rsi_period"": 67, ""rsi_required"": false, ""slip_atr_k"": 0.1271080942860441, ""slip_spread_k"": 0.8658838379644527, ""spread_hl_frac"": 0.013240107460506646, ""strategy"": ""mean_reversion"", ""time_stop"": 29, ""tp_mult"": 2.5587061244034057, ""tsl_mult"": 0.024730509175665882, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.23282562272880145}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 16.419298459509243, ""atr_max_pct"": 0.06647910172098263, ""atr_min_pct"": 0.00035955151436459107, ""bb_std_mult"": 1.0749929355323395, ""edge_cap"": 0.742018719770167, ""edge_k"": 0.05277044623156346, ""ema1"": 6, ""ema2"": 10, ""p_adx"": 8, ""p_atr"": 20, ""p_sma"": 41, ""p_std"": 59, ""rsi_ob"": 65, ""rsi_os"": 55, ""rsi_period"": 63, ""rsi_required"": false, ""slip_atr_k"": 0.025750015285878863, ""slip_spread_k"": 0.8836969090132641, ""spread_hl_frac"": 0.0430403135883963, ""strategy"": ""mean_reversion"", ""time_stop"": 49, ""tp_mult"": 1.0785131540788253, ""tsl_mult"": 0.4192261958383311, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.15757644890099257}"
6,-0.0494448477911994,-0.05235109748706005,-1000000000.0,0.05235109748706005,-0.0494448477911994,-0.05235109748706005,514.0,mean_reversion,1,"{""adx_thresh"": 19.642304538809995, ""atr_max_pct"": 0.053371794257575655, ""atr_min_pct"": 0.0046634127180560335, ""bb_std_mult"": 1.7614256896738916, ""edge_cap"": 0.3162322080241051, ""edge_k"": 0.08651725246499531, ""ema1"": 19, ""ema2"": 21, ""p_adx"": 25, ""p_atr"": 27, ""p_sma"": 53, ""p_std"": 25, ""rsi_ob"": 57, ""rsi_os"": 25, ""rsi_period"": 56, ""rsi_required"": true, ""slip_atr_k"": 0.16938859680667231, ""slip_spread_k"": 0.026323848636370273, ""spread_hl_frac"": 0.011468429286015554, ""strategy"": ""mean_reversion"", ""time_stop"": 77, ""tp_mult"": 2.1687661877780786, ""tsl_mult"": 0.8049826834025615, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.03795125388179211}"
7,-0.031234695322799544,-0.032836739044453084,-0.031234695322799544,0.032836739044453084,-0.031234695322799544,-0.032836739044453084,453.0,breakout,1,"{""adx_thresh"": 31.249159353875317, ""atr_max_pct"": 0.07102388296684731, ""atr_min_pct"": 0.023071367211580894, ""bb_std_mult"": 1.3046452081827289, ""edge_cap"": 0.6712874837817917, ""edge_k"": 0.08398663108890081, ""ema1"": 22, ""ema2"": 20, ""p_adx"": 22, ""p_atr"": 26, ""p_sma"": 37, ""p_std"": 52, ""rsi_ob"": 47, ""rsi_os"": 52, ""rsi_period"": 47, ""rsi_required"": true, ""slip_atr_k"": 0.1497591612431964, ""slip_spread_k"": 0.52421750202509, ""spread_hl_frac"": 0.04028543143498725, ""strategy"": ""breakout"", ""time_stop"": 300, ""tp_mult"": 1.0514838339189019, ""tsl_mult"": 0.6602669798998922, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23542673504968617}"
8,0.004506960926649928,-0.01649845917623636,0.004506960926649928,0.01649845917623636,0.004506960926649928,-0.01649845917623636,597.0,breakout,1,"{""adx_thresh"": 13.046848895695565, ""atr_max_pct"": 0.031720133669384455, ""atr_min_pct"": 0.020212472758531976, ""bb_std_mult"": 3.4259918563203966, ""edge_cap"": 0.06842570206219886, ""edge_k"": 0.6298332936214295, ""ema1"": 17, ""ema2"": 49, ""p_adx"": 23, ""p_atr"": 15, ""p_sma"": 42, ""p_std"": 7, ""rsi_ob"": 61, ""rsi_os"": 16, ""rsi_period"": 22, ""rsi_required"": true, ""slip_atr_k"": 0.025598829811517704, ""slip_spread_k"": 0.37142075928974894, ""spread_hl_frac"": 0.03831536634435713, ""strategy"": ""breakout"", ""time_stop"": 269, ""tp_mult"": 1.668367602678393, ""tsl_mult"": 0.6881912281606214, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2785737714274216}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 8.073059020065429, ""atr_max_pct"": 0.1285242237393555, ""atr_min_pct"": 0.014117493603304394, ""bb_std_mult"": 1.0089425563437586, ""edge_cap"": 0.7346649291584074, ""edge_k"": 0.9279883309812458, ""ema1"": 19, ""ema2"": 53, ""p_adx"": 13, ""p_atr"": 10, ""p_sma"": 57, ""p_std"": 49, ""rsi_ob"": 47, ""rsi_os"": 45, ""rsi_period"": 57, ""rsi_required"": false, ""slip_atr_k"": 0.0235332466855539, ""slip_spread_k"": 0.6409913590759108, ""spread_hl_frac"": 0.04082937629785167, ""strategy"": ""mean_reversion"", ""time_stop"": 13, ""tp_mult"": 1.945383504914019, ""tsl_mult"": 0.16008914525657902, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.17311453931520726}"
