number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.14495960388380014,-0.15065741897381632,-0.14495960388380014,0.15065741897381632,-0.14495960388380014,-0.15065741897381632,230.0,breakout,1,"{""adx_thresh"": 31.911996611586563, ""atr_max_pct"": 0.09343315864626255, ""atr_min_pct"": 0.005904128642355724, ""bb_std_mult"": 2.9573874516692196, ""bear_adx_thresh"": 15.080933471949, ""bear_atr_max_pct"": 0.06860481211598467, ""bear_atr_min_pct"": 0.020722565496460506, ""bear_bb_std_mult"": 2.763146341012021, ""bear_rsi_ob"": 89, ""bear_rsi_os"": 37, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 181, ""bear_tp_mult"": 1.4172784710198312, ""bear_tsl_mult"": 0.03963437307387663, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 18.957002470290586, ""bull_atr_max_pct"": 0.08495591779899499, ""bull_atr_min_pct"": 0.010105527552830973, ""bull_bb_std_mult"": 2.9987189522466475, ""bull_rsi_ob"": 45, ""bull_rsi_os"": 25, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 227, ""bull_tp_mult"": 2.874215279451678, ""bull_tsl_mult"": 0.87655464994154, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.8333965840070418, ""edge_k"": 0.0801885351745204, ""ema1"": 22, ""ema2"": 15, ""p_adx"": 20, ""p_atr"": 11, ""p_sma"": 57, ""p_std"": 30, ""rsi_ob"": 67, ""rsi_os"": 36, ""rsi_period"": 55, ""rsi_required"": false, ""sideways_adx_thresh"": 14.794517639269172, ""sideways_atr_max_pct"": 0.040806495608943665, ""sideways_atr_min_pct"": 0.0031696415188694036, ""sideways_bb_std_mult"": 1.8466088736805357, ""sideways_rsi_ob"": 85, ""sideways_rsi_os"": 54, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 41, ""sideways_tp_mult"": 2.332714337193228, ""sideways_tsl_mult"": 0.19318416057479748, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.18636894157110837, ""slip_spread_k"": 0.28197907007423595, ""spread_hl_frac"": 0.03767122935721416, ""strategy"": ""breakout"", ""time_stop"": 44, ""tp_mult"": 2.151020121507216, ""tsl_mult"": 0.7049493541783121, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2890396057222397}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 5.744478904215838, ""atr_max_pct"": 0.03279510717760735, ""atr_min_pct"": 0.024312072760846327, ""bb_std_mult"": 0.512742503714375, ""bear_adx_thresh"": 24.531310434054042, ""bear_atr_max_pct"": 0.06728950384683245, ""bear_atr_min_pct"": 0.01817592110248266, ""bear_bb_std_mult"": 2.739670383809983, ""bear_rsi_ob"": 47, ""bear_rsi_os"": 42, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 110, ""bear_tp_mult"": 1.6668488226168034, ""bear_tsl_mult"": 0.63659986331043, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 10.472152699220302, ""bull_atr_max_pct"": 0.10150173758867545, ""bull_atr_min_pct"": 0.01464822792185605, ""bull_bb_std_mult"": 1.0155091994449919, ""bull_rsi_ob"": 86, ""bull_rsi_os"": 30, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 201, ""bull_tp_mult"": 1.2226847354947579, ""bull_tsl_mult"": 0.41839438267579177, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.5546033903552182, ""edge_k"": 1.2606992324318962, ""ema1"": 9, ""ema2"": 34, ""p_adx"": 27, ""p_atr"": 23, ""p_sma"": 19, ""p_std"": 50, ""rsi_ob"": 49, ""rsi_os"": 31, ""rsi_period"": 59, ""rsi_required"": false, ""sideways_adx_thresh"": 5.784906222034397, ""sideways_atr_max_pct"": 0.12475280419845182, ""sideways_atr_min_pct"": 0.028489770692691183, ""sideways_bb_std_mult"": 1.6736131276973474, ""sideways_rsi_ob"": 68, ""sideways_rsi_os"": 54, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 136, ""sideways_tp_mult"": 1.2772543582888332, ""sideways_tsl_mult"": 0.08927304178716666, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.12686107150826292, ""slip_spread_k"": 0.6824125250563352, ""spread_hl_frac"": 0.004553515240846823, ""strategy"": ""mean_reversion"", ""time_stop"": 225, ""tp_mult"": 2.951441452049416, ""tsl_mult"": 0.9239452245016623, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1397977135541303}"
2,-0.2863197721520503,-0.28677192052391526,-1000000000.0,0.28677192052391526,-0.2863197721520503,-0.28677192052391526,602.0,breakout,1,"{""adx_thresh"": 12.963244838479097, ""atr_max_pct"": 0.11664513120257186, ""atr_min_pct"": 0.004098356983550788, ""bb_std_mult"": 1.6667949370633248, ""bear_adx_thresh"": 28.490211006565875, ""bear_atr_max_pct"": 0.04659415042600122, ""bear_atr_min_pct"": 0.020153763692007567, ""bear_bb_std_mult"": 2.5258273014008568, ""bear_rsi_ob"": 72, ""bear_rsi_os"": 52, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 34, ""bear_tp_mult"": 1.8149433744893264, ""bear_tsl_mult"": 0.40145959460663083, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 31.303762208848507, ""bull_atr_max_pct"": 0.1342854797212528, ""bull_atr_min_pct"": 0.011535500169898436, ""bull_bb_std_mult"": 2.47605065525842, ""bull_rsi_ob"": 49, ""bull_rsi_os"": 26, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 141, ""bull_tp_mult"": 1.6740179325895588, ""bull_tsl_mult"": 0.03293020005447733, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.8019238483171892, ""edge_k"": 0.2602671322140795, ""ema1"": 16, ""ema2"": 38, ""p_adx"": 10, ""p_atr"": 18, ""p_sma"": 18, ""p_std"": 52, ""rsi_ob"": 82, ""rsi_os"": 26, ""rsi_period"": 81, ""rsi_required"": false, ""sideways_adx_thresh"": 14.97111869369638, ""sideways_atr_max_pct"": 0.07081563248426012, ""sideways_atr_min_pct"": 0.00031064961160946704, ""sideways_bb_std_mult"": 0.6372283139112048, ""sideways_rsi_ob"": 55, ""sideways_rsi_os"": 32, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 30, ""sideways_tp_mult"": 2.2316021774809163, ""sideways_tsl_mult"": 0.912470745152909, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.23440349018648476, ""slip_spread_k"": 0.5174198517516223, ""spread_hl_frac"": 0.018496891507554108, ""strategy"": ""breakout"", ""time_stop"": 141, ""tp_mult"": 1.2963216976922394, ""tsl_mult"": 0.24777544870707713, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.18746669198166896}"
3,-0.032686666604250014,-0.03396712939744589,-1000000000.0,1000000000.0,-0.032686666604250014,-0.03396712939744589,48.0,mean_reversion,1,"{""adx_thresh"": 10.42568753954754, ""atr_max_pct"": 0.14659815604699866, ""atr_min_pct"": 0.016476624737809763, ""bb_std_mult"": 1.7989014373393046, ""bear_adx_thresh"": 12.611881951518948, ""bear_atr_max_pct"": 0.03638921118607788, ""bear_atr_min_pct"": 0.027419685310450543, ""bear_bb_std_mult"": 1.9329969463111119, ""bear_rsi_ob"": 61, ""bear_rsi_os"": 24, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 43, ""bear_tp_mult"": 1.4124356697673006, ""bear_tsl_mult"": 0.28310037368748964, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 13.265174170350635, ""bull_atr_max_pct"": 0.10513024128686145, ""bull_atr_min_pct"": 0.005654668510714958, ""bull_bb_std_mult"": 0.551485775879566, ""bull_rsi_ob"": 93, ""bull_rsi_os"": 28, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 126, ""bull_tp_mult"": 1.822372006016007, ""bull_tsl_mult"": 0.7248627392119715, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.4687556275783955, ""edge_k"": 0.5184731048720352, ""ema1"": 20, ""ema2"": 37, ""p_adx"": 15, ""p_atr"": 23, ""p_sma"": 51, ""p_std"": 19, ""rsi_ob"": 95, ""rsi_os"": 29, ""rsi_period"": 17, ""rsi_required"": false, ""sideways_adx_thresh"": 29.888916035227442, ""sideways_atr_max_pct"": 0.14233587512068147, ""sideways_atr_min_pct"": 0.00436099585853671, ""sideways_bb_std_mult"": 2.3876595046832905, ""sideways_rsi_ob"": 76, ""sideways_rsi_os"": 43, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 177, ""sideways_tp_mult"": 2.189318338791901, ""sideways_tsl_mult"": 0.5188851562835365, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.0616924027051487, ""slip_spread_k"": 0.5171942232963094, ""spread_hl_frac"": 0.04326176636943568, ""strategy"": ""mean_reversion"", ""time_stop"": 257, ""tp_mult"": 2.2974416270891935, ""tsl_mult"": 0.3159045579368913, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23537143922898193}"
4,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 25.510846314882905, ""atr_max_pct"": 0.10395618456120048, ""atr_min_pct"": 0.018787878733617036, ""bb_std_mult"": 1.8122728879916314, ""bear_adx_thresh"": 31.934009730103256, ""bear_atr_max_pct"": 0.024855772552969297, ""bear_atr_min_pct"": 0.02920016594946288, ""bear_bb_std_mult"": 1.9735921522351727, ""bear_rsi_ob"": 78, ""bear_rsi_os"": 37, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 175, ""bear_tp_mult"": 2.9250387494920806, ""bear_tsl_mult"": 0.9534738004896907, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 27.308720575592446, ""bull_atr_max_pct"": 0.11629751079074835, ""bull_atr_min_pct"": 0.017758345105028033, ""bull_bb_std_mult"": 1.1195264782663077, ""bull_rsi_ob"": 78, ""bull_rsi_os"": 10, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 132, ""bull_tp_mult"": 2.9525834974690643, ""bull_tsl_mult"": 0.2830554584896918, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.6482555406847432, ""edge_k"": 0.6637121199057012, ""ema1"": 21, ""ema2"": 58, ""p_adx"": 24, ""p_atr"": 13, ""p_sma"": 29, ""p_std"": 43, ""rsi_ob"": 93, ""rsi_os"": 47, ""rsi_period"": 48, ""rsi_required"": true, ""sideways_adx_thresh"": 20.554077820980307, ""sideways_atr_max_pct"": 0.07092505849517473, ""sideways_atr_min_pct"": 0.02985243732395009, ""sideways_bb_std_mult"": 0.8240213300120625, ""sideways_rsi_ob"": 52, ""sideways_rsi_os"": 46, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 109, ""sideways_tp_mult"": 2.241159875551261, ""sideways_tsl_mult"": 0.21027618047889474, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.19423498062740963, ""slip_spread_k"": 0.6533417344952765, ""spread_hl_frac"": 0.00824321327646287, ""strategy"": ""breakout"", ""time_stop"": 222, ""tp_mult"": 1.2352767930863202, ""tsl_mult"": 0.2561549560099712, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2067946848923945}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 32.69009561118293, ""atr_max_pct"": 0.07683739845397208, ""atr_min_pct"": 0.007641583255061172, ""bb_std_mult"": 2.996569770774695, ""bear_adx_thresh"": 14.508162966283496, ""bear_atr_max_pct"": 0.09618828309276273, ""bear_atr_min_pct"": 0.019403362155401307, ""bear_bb_std_mult"": 2.23767141356956, ""bear_rsi_ob"": 73, ""bear_rsi_os"": 46, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 176, ""bear_tp_mult"": 2.7269639713995084, ""bear_tsl_mult"": 0.8461915083789919, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 24.831554881977425, ""bull_atr_max_pct"": 0.08759971622987146, ""bull_atr_min_pct"": 0.012725403835100946, ""bull_bb_std_mult"": 3.4642510786844487, ""bull_rsi_ob"": 57, ""bull_rsi_os"": 28, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 106, ""bull_tp_mult"": 2.299510662518211, ""bull_tsl_mult"": 0.056349839711204996, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.9624716859753, ""edge_k"": 0.7918128313991271, ""ema1"": 26, ""ema2"": 10, ""p_adx"": 7, ""p_atr"": 26, ""p_sma"": 56, ""p_std"": 47, ""rsi_ob"": 84, ""rsi_os"": 40, ""rsi_period"": 82, ""rsi_required"": false, ""sideways_adx_thresh"": 14.12886358339808, ""sideways_atr_max_pct"": 0.10911745180467967, ""sideways_atr_min_pct"": 0.02843803389530851, ""sideways_bb_std_mult"": 1.8182804817376197, ""sideways_rsi_ob"": 73, ""sideways_rsi_os"": 49, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 101, ""sideways_tp_mult"": 2.829268771596823, ""sideways_tsl_mult"": 0.3747374501207684, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.22994977408955605, ""slip_spread_k"": 0.5707812825376078, ""spread_hl_frac"": 0.014937420899412752, ""strategy"": ""breakout"", ""time_stop"": 277, ""tp_mult"": 2.311549864713663, ""tsl_mult"": 0.479388916726044, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.20536114538295414}"
6,-0.02765324167729999,-0.033447944523287886,-1000000000.0,1000000000.0,-0.02765324167729999,-0.033447944523287886,41.0,mean_reversion,1,"{""adx_thresh"": 19.208396944033204, ""atr_max_pct"": 0.052972898253697276, ""atr_min_pct"": 0.028934854535843026, ""bb_std_mult"": 2.928067137539222, ""bear_adx_thresh"": 28.23750284539726, ""bear_atr_max_pct"": 0.10720131641585219, ""bear_atr_min_pct"": 0.014419567586337306, ""bear_bb_std_mult"": 3.3792871065963177, ""bear_rsi_ob"": 88, ""bear_rsi_os"": 8, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 268, ""bear_tp_mult"": 1.6319345493359179, ""bear_tsl_mult"": 0.7668030381309279, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 18.327664260338288, ""bull_atr_max_pct"": 0.14912398860671527, ""bull_atr_min_pct"": 0.005453132385512504, ""bull_bb_std_mult"": 1.127165643800486, ""bull_rsi_ob"": 47, ""bull_rsi_os"": 41, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 14, ""bull_tp_mult"": 1.5918142662495773, ""bull_tsl_mult"": 0.27541312127793904, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.9180845191249266, ""edge_k"": 1.9022886456733037, ""ema1"": 28, ""ema2"": 16, ""p_adx"": 11, ""p_atr"": 28, ""p_sma"": 42, ""p_std"": 15, ""rsi_ob"": 92, ""rsi_os"": 13, ""rsi_period"": 67, ""rsi_required"": true, ""sideways_adx_thresh"": 11.938050729297675, ""sideways_atr_max_pct"": 0.11448707650677997, ""sideways_atr_min_pct"": 0.027169750005406893, ""sideways_bb_std_mult"": 3.530370927447769, ""sideways_rsi_ob"": 70, ""sideways_rsi_os"": 46, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 136, ""sideways_tp_mult"": 1.5839964553822476, ""sideways_tsl_mult"": 0.053586150831419155, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.13976423939292232, ""slip_spread_k"": 0.6805628732006677, ""spread_hl_frac"": 0.022845988940977058, ""strategy"": ""mean_reversion"", ""time_stop"": 115, ""tp_mult"": 1.9064821978718518, ""tsl_mult"": 0.31715973848117485, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.26790311660618255}"
7,-0.00592026498380005,-0.010530366057835272,-1000000000.0,1000000000.0,-0.00592026498380005,-0.010530366057835272,7.0,breakout,1,"{""adx_thresh"": 27.11934720632417, ""atr_max_pct"": 0.03395451010709308, ""atr_min_pct"": 0.014321316975327271, ""bb_std_mult"": 2.6306008165403534, ""bear_adx_thresh"": 19.411374170105738, ""bear_atr_max_pct"": 0.10210586209500602, ""bear_atr_min_pct"": 0.016933565512657827, ""bear_bb_std_mult"": 2.1850379070344617, ""bear_rsi_ob"": 61, ""bear_rsi_os"": 37, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 92, ""bear_tp_mult"": 1.4633011635845048, ""bear_tsl_mult"": 0.8353027609218581, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 29.944274907675904, ""bull_atr_max_pct"": 0.06678408148358007, ""bull_atr_min_pct"": 0.014458207114878904, ""bull_bb_std_mult"": 3.512828817249302, ""bull_rsi_ob"": 70, ""bull_rsi_os"": 20, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 57, ""bull_tp_mult"": 2.224487892319108, ""bull_tsl_mult"": 0.02395707611728115, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.9650395846729906, ""edge_k"": 1.7132750081888746, ""ema1"": 27, ""ema2"": 60, ""p_adx"": 11, ""p_atr"": 23, ""p_sma"": 45, ""p_std"": 10, ""rsi_ob"": 95, ""rsi_os"": 38, ""rsi_period"": 47, ""rsi_required"": true, ""sideways_adx_thresh"": 32.04158713857289, ""sideways_atr_max_pct"": 0.11526367096636353, ""sideways_atr_min_pct"": 0.0062252278949939234, ""sideways_bb_std_mult"": 3.2753688883898193, ""sideways_rsi_ob"": 48, ""sideways_rsi_os"": 34, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 249, ""sideways_tp_mult"": 1.9724583258353865, ""sideways_tsl_mult"": 0.3465178996136685, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.03389347359707884, ""slip_spread_k"": 0.22253961338896533, ""spread_hl_frac"": 0.0438306816641289, ""strategy"": ""breakout"", ""time_stop"": 153, ""tp_mult"": 2.7152788145895883, ""tsl_mult"": 0.7289330459909534, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.02839760654440325}"
8,-0.0778050902668499,-0.08059993322853878,-0.0778050902668499,0.08059993322853878,-0.0778050902668499,-0.08059993322853878,221.0,breakout,1,"{""adx_thresh"": 32.84658177746124, ""atr_max_pct"": 0.10895562312504505, ""atr_min_pct"": 0.0033377299946210767, ""bb_std_mult"": 1.175364568105948, ""bear_adx_thresh"": 31.16321669765538, ""bear_atr_max_pct"": 0.07857273569062903, ""bear_atr_min_pct"": 0.02049947382354185, ""bear_bb_std_mult"": 2.978299850733861, ""bear_rsi_ob"": 75, ""bear_rsi_os"": 23, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 52, ""bear_tp_mult"": 1.0206111131819946, ""bear_tsl_mult"": 0.09978261906530517, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 6.088910583533425, ""bull_atr_max_pct"": 0.032987937142922814, ""bull_atr_min_pct"": 0.0012273325755870045, ""bull_bb_std_mult"": 2.894989955360212, ""bull_rsi_ob"": 52, ""bull_rsi_os"": 25, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 233, ""bull_tp_mult"": 1.6333216440639045, ""bull_tsl_mult"": 0.57848945524, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.5763824911368994, ""edge_k"": 1.454703982809019, ""ema1"": 19, ""ema2"": 40, ""p_adx"": 16, ""p_atr"": 30, ""p_sma"": 28, ""p_std"": 56, ""rsi_ob"": 87, ""rsi_os"": 48, ""rsi_period"": 82, ""rsi_required"": false, ""sideways_adx_thresh"": 23.054884025579344, ""sideways_atr_max_pct"": 0.13344397709049652, ""sideways_atr_min_pct"": 0.02640451550924032, ""sideways_bb_std_mult"": 2.0320158886180044, ""sideways_rsi_ob"": 49, ""sideways_rsi_os"": 17, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 13, ""sideways_tp_mult"": 1.2595981113125772, ""sideways_tsl_mult"": 0.7672771512320307, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.05359796814959358, ""slip_spread_k"": 0.6732021584065466, ""spread_hl_frac"": 0.00526894455824074, ""strategy"": ""breakout"", ""time_stop"": 229, ""tp_mult"": 2.3349969511676036, ""tsl_mult"": 0.47157791032167384, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.12253005626256623}"
9,-0.04876440753400002,-0.04805477268591594,-1000000000.0,1000000000.0,-0.04876440753400002,-0.04805477268591594,48.0,mean_reversion,1,"{""adx_thresh"": 33.877010280465775, ""atr_max_pct"": 0.13857174035098913, ""atr_min_pct"": 0.022472244320144972, ""bb_std_mult"": 3.1029084524696144, ""bear_adx_thresh"": 14.550817354716543, ""bear_atr_max_pct"": 0.023503321455502935, ""bear_atr_min_pct"": 0.02735843794747387, ""bear_bb_std_mult"": 2.876491749339707, ""bear_rsi_ob"": 59, ""bear_rsi_os"": 55, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 46, ""bear_tp_mult"": 1.2036694024752337, ""bear_tsl_mult"": 0.5212049730867522, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 12.27535446627579, ""bull_atr_max_pct"": 0.1486944629194251, ""bull_atr_min_pct"": 0.004377109306907439, ""bull_bb_std_mult"": 2.369250914552034, ""bull_rsi_ob"": 95, ""bull_rsi_os"": 38, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 67, ""bull_tp_mult"": 2.840217494791658, ""bull_tsl_mult"": 0.35374264358338003, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.21375753190286723, ""edge_k"": 1.1487713013751217, ""ema1"": 12, ""ema2"": 35, ""p_adx"": 24, ""p_atr"": 9, ""p_sma"": 32, ""p_std"": 46, ""rsi_ob"": 72, ""rsi_os"": 6, ""rsi_period"": 70, ""rsi_required"": false, ""sideways_adx_thresh"": 21.791002317885923, ""sideways_atr_max_pct"": 0.08037372077743571, ""sideways_atr_min_pct"": 0.026442814977377004, ""sideways_bb_std_mult"": 2.4544428381544994, ""sideways_rsi_ob"": 67, ""sideways_rsi_os"": 38, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 55, ""sideways_tp_mult"": 2.120831488778091, ""sideways_tsl_mult"": 0.2350822666472978, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.11166910251647644, ""slip_spread_k"": 0.14020189662648574, ""spread_hl_frac"": 0.04162278337845254, ""strategy"": ""mean_reversion"", ""time_stop"": 15, ""tp_mult"": 2.8357275335405707, ""tsl_mult"": 0.5571224267264333, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18636404363005762}"
