number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 20.88888152012854, ""atr_max_pct"": 0.0759477481593267, ""atr_min_pct"": 0.016867894327042676, ""bb_std_mult"": 1.3709666215011516, ""edge_cap"": 0.27955912867615146, ""edge_k"": 0.42157185185218493, ""ema1"": 20, ""ema2"": 20, ""p_adx"": 23, ""p_atr"": 29, ""p_sma"": 26, ""p_std"": 53, ""rsi_ob"": 69, ""rsi_os"": 27, ""rsi_period"": 56, ""rsi_required"": true, ""slip_atr_k"": 0.0968469719166753, ""slip_spread_k"": 0.2589831637514316, ""spread_hl_frac"": 0.0037303640709883956, ""strategy"": ""mean_reversion"", ""time_stop"": 259, ""tp_mult"": 2.3807955939236756, ""tsl_mult"": 0.5048286053763792, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2605468458862184}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 19.362128428067173, ""atr_max_pct"": 0.051273804108075874, ""atr_min_pct"": 0.012531141733640432, ""bb_std_mult"": 0.8756202965437826, ""edge_cap"": 0.48516536244479497, ""edge_k"": 1.2720372697011864, ""ema1"": 20, ""ema2"": 16, ""p_adx"": 11, ""p_atr"": 7, ""p_sma"": 28, ""p_std"": 45, ""rsi_ob"": 61, ""rsi_os"": 55, ""rsi_period"": 41, ""rsi_required"": false, ""slip_atr_k"": 0.20296126158541128, ""slip_spread_k"": 0.21787872240576922, ""spread_hl_frac"": 0.00452129867311516, ""strategy"": ""mean_reversion"", ""time_stop"": 182, ""tp_mult"": 2.143319686430681, ""tsl_mult"": 0.3632857733604071, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.12052231104374132}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 13.925881878754945, ""atr_max_pct"": 0.12894762673281285, ""atr_min_pct"": 0.016284543719155435, ""bb_std_mult"": 0.6013138387464382, ""edge_cap"": 0.33056194446421505, ""edge_k"": 1.22452221281859, ""ema1"": 30, ""ema2"": 50, ""p_adx"": 22, ""p_atr"": 17, ""p_sma"": 6, ""p_std"": 34, ""rsi_ob"": 82, ""rsi_os"": 6, ""rsi_period"": 49, ""rsi_required"": false, ""slip_atr_k"": 0.15393650246961688, ""slip_spread_k"": 0.4166562861167462, ""spread_hl_frac"": 0.03728343025997779, ""strategy"": ""breakout"", ""time_stop"": 197, ""tp_mult"": 1.7266359903221506, ""tsl_mult"": 0.8734662020137686, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.154829043919231}"
3,-0.00041858994281573914,0.0,-1000000000.0,1000000000.0,-0.00041858994281573914,0.0,1.0,mean_reversion,1,"{""adx_thresh"": 18.45336938011382, ""atr_max_pct"": 0.12138922479813781, ""atr_min_pct"": 0.022985112665958627, ""bb_std_mult"": 2.1348708756933994, ""edge_cap"": 0.9759366471866148, ""edge_k"": 0.8365382903635408, ""ema1"": 22, ""ema2"": 17, ""p_adx"": 19, ""p_atr"": 7, ""p_sma"": 10, ""p_std"": 60, ""rsi_ob"": 95, ""rsi_os"": 31, ""rsi_period"": 32, ""rsi_required"": true, ""slip_atr_k"": 0.23862566018883602, ""slip_spread_k"": 0.0884656219527149, ""spread_hl_frac"": 0.04062493849904666, ""strategy"": ""mean_reversion"", ""time_stop"": 210, ""tp_mult"": 2.787823870109284, ""tsl_mult"": 0.7750109032251892, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.13228711006558877}"
4,-0.00014247479184248402,0.0,-1000000000.0,1000000000.0,-0.00014247479184248402,0.0,1.0,mean_reversion,1,"{""adx_thresh"": 13.326608338872013, ""atr_max_pct"": 0.10997101250024464, ""atr_min_pct"": 0.027318482271182387, ""bb_std_mult"": 1.380213678000846, ""edge_cap"": 0.36621298581725864, ""edge_k"": 1.7597985047157838, ""ema1"": 6, ""ema2"": 25, ""p_adx"": 15, ""p_atr"": 19, ""p_sma"": 39, ""p_std"": 34, ""rsi_ob"": 66, ""rsi_os"": 34, ""rsi_period"": 23, ""rsi_required"": false, ""slip_atr_k"": 0.07894042501548912, ""slip_spread_k"": 0.6212912466091458, ""spread_hl_frac"": 0.011937396130293987, ""strategy"": ""mean_reversion"", ""time_stop"": 114, ""tp_mult"": 1.4520721922413082, ""tsl_mult"": 0.8024652527391626, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.25531322364774844}"
5,-0.24624035727531957,-0.2462070569323813,-1000000000.0,0.2462070569323813,-0.24624035727531957,-0.2462070569323813,6758.0,breakout,1,"{""adx_thresh"": 21.772695866183355, ""atr_max_pct"": 0.12812274400262658, ""atr_min_pct"": 0.01505156946453965, ""bb_std_mult"": 2.5367678743996445, ""edge_cap"": 0.24167907626409682, ""edge_k"": 1.2409477449262145, ""ema1"": 30, ""ema2"": 11, ""p_adx"": 11, ""p_atr"": 11, ""p_sma"": 26, ""p_std"": 24, ""rsi_ob"": 53, ""rsi_os"": 7, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.01757725398326515, ""slip_spread_k"": 0.19265470588974543, ""spread_hl_frac"": 0.0277730791515835, ""strategy"": ""breakout"", ""time_stop"": 273, ""tp_mult"": 1.452040690245203, ""tsl_mult"": 0.6665315192744273, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.29001671108143456}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 17.455878485881353, ""atr_max_pct"": 0.11806526557702346, ""atr_min_pct"": 0.009151258336605662, ""bb_std_mult"": 2.146452943297746, ""edge_cap"": 0.13210163940108563, ""edge_k"": 0.6481543835230683, ""ema1"": 24, ""ema2"": 46, ""p_adx"": 22, ""p_atr"": 24, ""p_sma"": 42, ""p_std"": 57, ""rsi_ob"": 57, ""rsi_os"": 33, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.18200902991775747, ""slip_spread_k"": 0.9430223636530879, ""spread_hl_frac"": 0.01227697589318933, ""strategy"": ""mean_reversion"", ""time_stop"": 181, ""tp_mult"": 1.317013343773691, ""tsl_mult"": 0.9279191475587087, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2819316365747763}"
7,-0.001644758389444556,-0.0011628269759472389,-1000000000.0,1000000000.0,-0.001644758389444556,-0.0011628269759472389,3.0,mean_reversion,1,"{""adx_thresh"": 7.001888114045551, ""atr_max_pct"": 0.021982738281943564, ""atr_min_pct"": 0.015035076242324929, ""bb_std_mult"": 1.5908428977486806, ""edge_cap"": 0.7506059062140344, ""edge_k"": 0.22138596995628768, ""ema1"": 25, ""ema2"": 34, ""p_adx"": 16, ""p_atr"": 13, ""p_sma"": 48, ""p_std"": 34, ""rsi_ob"": 53, ""rsi_os"": 14, ""rsi_period"": 25, ""rsi_required"": false, ""slip_atr_k"": 0.14852056453286833, ""slip_spread_k"": 0.24322064397857546, ""spread_hl_frac"": 0.01890788340017252, ""strategy"": ""mean_reversion"", ""time_stop"": 197, ""tp_mult"": 2.317777992780501, ""tsl_mult"": 0.1912412833592957, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.0026356173146430462}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 24.933683253691537, ""atr_max_pct"": 0.09898172074411346, ""atr_min_pct"": 0.0065016790103820275, ""bb_std_mult"": 3.381058186995172, ""edge_cap"": 0.06141833793897168, ""edge_k"": 1.2675181735067629, ""ema1"": 19, ""ema2"": 22, ""p_adx"": 13, ""p_atr"": 21, ""p_sma"": 40, ""p_std"": 8, ""rsi_ob"": 72, ""rsi_os"": 29, ""rsi_period"": 39, ""rsi_required"": true, ""slip_atr_k"": 0.16264682849923628, ""slip_spread_k"": 0.8688752175644435, ""spread_hl_frac"": 0.005544479537752317, ""strategy"": ""mean_reversion"", ""time_stop"": 191, ""tp_mult"": 1.8243535666739081, ""tsl_mult"": 0.6074876997424916, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.20989167864148314}"
9,-0.008291400418446337,-0.00810565109688634,-1000000000.0,1000000000.0,-0.008291400418446337,-0.00810565109688634,33.0,mean_reversion,1,"{""adx_thresh"": 20.91351905929635, ""atr_max_pct"": 0.10816839723075361, ""atr_min_pct"": 0.023856382743122722, ""bb_std_mult"": 2.097155372655237, ""edge_cap"": 0.7230244823760482, ""edge_k"": 1.1862772291599293, ""ema1"": 7, ""ema2"": 43, ""p_adx"": 29, ""p_atr"": 23, ""p_sma"": 51, ""p_std"": 52, ""rsi_ob"": 91, ""rsi_os"": 17, ""rsi_period"": 29, ""rsi_required"": false, ""slip_atr_k"": 0.20668572546312636, ""slip_spread_k"": 0.2890261029698594, ""spread_hl_frac"": 0.004915591664643698, ""strategy"": ""mean_reversion"", ""time_stop"": 203, ""tp_mult"": 1.382117898194389, ""tsl_mult"": 0.09077790216677328, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.22777754295649832}"
