number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 14.109119038175486, ""atr_max_pct"": 0.03602341040895805, ""atr_min_pct"": 0.02967190870351016, ""bb_std_mult"": 2.9698239976220027, ""edge_cap"": 0.8405202168821316, ""edge_k"": 0.8059157726903114, ""ema1"": 7, ""ema2"": 41, ""p_adx"": 13, ""p_atr"": 12, ""p_sma"": 30, ""p_std"": 22, ""rsi_ob"": 91, ""rsi_os"": 7, ""rsi_period"": 70, ""rsi_required"": true, ""slip_atr_k"": 0.06919697165912858, ""slip_spread_k"": 0.6821746741884953, ""spread_hl_frac"": 0.03394853919553715, ""strategy"": ""breakout"", ""time_stop"": 157, ""tp_mult"": 2.9775624224682113, ""tsl_mult"": 0.7500842313719652, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.06414479590112}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 29.061059990928285, ""atr_max_pct"": 0.07910821946364367, ""atr_min_pct"": 0.018111385858975728, ""bb_std_mult"": 2.4585395917321167, ""edge_cap"": 0.30209504133078474, ""edge_k"": 1.345581321809511, ""ema1"": 12, ""ema2"": 22, ""p_adx"": 12, ""p_atr"": 27, ""p_sma"": 59, ""p_std"": 39, ""rsi_ob"": 63, ""rsi_os"": 47, ""rsi_period"": 57, ""rsi_required"": true, ""slip_atr_k"": 0.1365059208344869, ""slip_spread_k"": 0.11976084216652405, ""spread_hl_frac"": 0.017154835275740406, ""strategy"": ""breakout"", ""time_stop"": 40, ""tp_mult"": 2.8667718015291084, ""tsl_mult"": 0.6531117523539598, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07062352948394748}"
2,-0.28409675665365397,-0.28404047886113365,-1000000000.0,0.28404047886113365,-0.28409675665365397,-0.28404047886113365,6895.0,breakout,1,"{""adx_thresh"": 16.27961330895895, ""atr_max_pct"": 0.08689993437546994, ""atr_min_pct"": 0.011037498088837768, ""bb_std_mult"": 1.5751814567309734, ""edge_cap"": 0.9807056244839168, ""edge_k"": 0.8011587600974437, ""ema1"": 16, ""ema2"": 33, ""p_adx"": 7, ""p_atr"": 27, ""p_sma"": 37, ""p_std"": 11, ""rsi_ob"": 69, ""rsi_os"": 53, ""rsi_period"": 48, ""rsi_required"": false, ""slip_atr_k"": 0.17607226493964345, ""slip_spread_k"": 0.040619300617455, ""spread_hl_frac"": 0.011077298641562079, ""strategy"": ""breakout"", ""time_stop"": 197, ""tp_mult"": 2.059050231618444, ""tsl_mult"": 0.8561514534508546, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.18622723713512093}"
3,-0.15603197010935033,-0.15598428801357275,-1000000000.0,0.15598428801357275,-0.15603197010935033,-0.15598428801357275,4607.0,breakout,1,"{""adx_thresh"": 25.193266314089364, ""atr_max_pct"": 0.10677006874659707, ""atr_min_pct"": 0.020509443750186367, ""bb_std_mult"": 1.4929595081134275, ""edge_cap"": 0.9333516866664371, ""edge_k"": 0.8820038589104604, ""ema1"": 18, ""ema2"": 57, ""p_adx"": 28, ""p_atr"": 12, ""p_sma"": 37, ""p_std"": 46, ""rsi_ob"": 93, ""rsi_os"": 49, ""rsi_period"": 43, ""rsi_required"": false, ""slip_atr_k"": 0.0046331902385236545, ""slip_spread_k"": 0.3875188499727136, ""spread_hl_frac"": 0.0005714234739480185, ""strategy"": ""breakout"", ""time_stop"": 63, ""tp_mult"": 1.919051308692381, ""tsl_mult"": 0.89790277613829, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09641439770100123}"
4,-0.10737761642005406,-0.10731420044631024,-1000000000.0,0.10731420044631024,-0.10737761642005406,-0.10731420044631024,2174.0,mean_reversion,1,"{""adx_thresh"": 25.277672437745952, ""atr_max_pct"": 0.10859038341886519, ""atr_min_pct"": 0.013193104762938496, ""bb_std_mult"": 0.7871987133551795, ""edge_cap"": 0.625231909388695, ""edge_k"": 0.508461606057965, ""ema1"": 26, ""ema2"": 39, ""p_adx"": 14, ""p_atr"": 10, ""p_sma"": 57, ""p_std"": 46, ""rsi_ob"": 64, ""rsi_os"": 31, ""rsi_period"": 24, ""rsi_required"": true, ""slip_atr_k"": 0.1366879011760319, ""slip_spread_k"": 0.9570668065623081, ""spread_hl_frac"": 0.04584849789869433, ""strategy"": ""mean_reversion"", ""time_stop"": 212, ""tp_mult"": 1.416323826066426, ""tsl_mult"": 0.7574435827196658, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.20261211674982318}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 6.276332220825269, ""atr_max_pct"": 0.06993668027572465, ""atr_min_pct"": 0.023797769483330098, ""bb_std_mult"": 2.736916764107373, ""edge_cap"": 0.9919729392937401, ""edge_k"": 1.9780722129031874, ""ema1"": 30, ""ema2"": 27, ""p_adx"": 18, ""p_atr"": 11, ""p_sma"": 40, ""p_std"": 52, ""rsi_ob"": 89, ""rsi_os"": 23, ""rsi_period"": 39, ""rsi_required"": false, ""slip_atr_k"": 0.07659468101071723, ""slip_spread_k"": 0.15139081659485043, ""spread_hl_frac"": 0.015063268658166335, ""strategy"": ""breakout"", ""time_stop"": 182, ""tp_mult"": 2.001445132674612, ""tsl_mult"": 0.6093193320761343, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.19982630184294078}"
6,0.00039560656594450627,-0.0002135675769471845,-1000000000.0,1000000000.0,0.00039560656594450627,-0.0002135675769471845,2.0,breakout,1,"{""adx_thresh"": 8.700421505073274, ""atr_max_pct"": 0.12566517435403676, ""atr_min_pct"": 0.003951028701879438, ""bb_std_mult"": 2.470663384648688, ""edge_cap"": 0.3073060874715582, ""edge_k"": 0.11849701545656943, ""ema1"": 16, ""ema2"": 29, ""p_adx"": 25, ""p_atr"": 29, ""p_sma"": 47, ""p_std"": 53, ""rsi_ob"": 90, ""rsi_os"": 36, ""rsi_period"": 23, ""rsi_required"": true, ""slip_atr_k"": 0.1170417357231775, ""slip_spread_k"": 0.737444617302411, ""spread_hl_frac"": 0.0059941177078092715, ""strategy"": ""breakout"", ""time_stop"": 84, ""tp_mult"": 2.3169585227853013, ""tsl_mult"": 0.48235057597070696, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.28868178098622477}"
7,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 29.15005170282068, ""atr_max_pct"": 0.10323618092755933, ""atr_min_pct"": 0.027615277720234744, ""bb_std_mult"": 1.651705093765664, ""edge_cap"": 0.2326286388859615, ""edge_k"": 0.814207717903161, ""ema1"": 23, ""ema2"": 23, ""p_adx"": 20, ""p_atr"": 7, ""p_sma"": 52, ""p_std"": 55, ""rsi_ob"": 56, ""rsi_os"": 43, ""rsi_period"": 71, ""rsi_required"": true, ""slip_atr_k"": 0.14750850706158503, ""slip_spread_k"": 0.29191379120172145, ""spread_hl_frac"": 0.01461699915152377, ""strategy"": ""breakout"", ""time_stop"": 266, ""tp_mult"": 2.5883492863112125, ""tsl_mult"": 0.1128528029537329, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.17570596213394435}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 14.73072331648276, ""atr_max_pct"": 0.123612291428447, ""atr_min_pct"": 0.025203265854532825, ""bb_std_mult"": 3.4776096133434713, ""edge_cap"": 0.481228777701164, ""edge_k"": 0.4731733175995294, ""ema1"": 12, ""ema2"": 53, ""p_adx"": 7, ""p_atr"": 7, ""p_sma"": 57, ""p_std"": 42, ""rsi_ob"": 62, ""rsi_os"": 50, ""rsi_period"": 64, ""rsi_required"": true, ""slip_atr_k"": 0.049969389488013216, ""slip_spread_k"": 0.45160843688302255, ""spread_hl_frac"": 0.02255510023688592, ""strategy"": ""mean_reversion"", ""time_stop"": 220, ""tp_mult"": 1.8978203480775833, ""tsl_mult"": 0.014160181302799946, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.096353175240919}"
9,-0.3242806012842253,-0.3242249651241289,-1000000000.0,0.3242249651241289,-0.3242806012842253,-0.3242249651241289,7652.0,breakout,1,"{""adx_thresh"": 15.800027703831699, ""atr_max_pct"": 0.08384544703443736, ""atr_min_pct"": 0.00788731729927114, ""bb_std_mult"": 0.7430542148875449, ""edge_cap"": 0.600708306256199, ""edge_k"": 1.7243225544388288, ""ema1"": 12, ""ema2"": 15, ""p_adx"": 9, ""p_atr"": 26, ""p_sma"": 47, ""p_std"": 9, ""rsi_ob"": 83, ""rsi_os"": 17, ""rsi_period"": 28, ""rsi_required"": false, ""slip_atr_k"": 0.07382104915853008, ""slip_spread_k"": 0.9696320208644721, ""spread_hl_frac"": 0.010910264521958275, ""strategy"": ""breakout"", ""time_stop"": 78, ""tp_mult"": 2.695579639658756, ""tsl_mult"": 0.7146983895429695, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.07745940241231446}"
