number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.06870327275808341,-0.06860337535287163,-1000000000.0,0.06860337535287163,-0.06870327275808341,-0.06860337535287163,849.0,breakout,1,"{""adx_thresh"": 29.77435886909451, ""atr_max_pct"": 0.09792644745295405, ""atr_min_pct"": 0.028387803565182508, ""bb_std_mult"": 3.02805903882637, ""edge_cap"": 0.6699293681088327, ""edge_k"": 1.0859065085287174, ""ema1"": 18, ""ema2"": 33, ""p_adx"": 9, ""p_atr"": 26, ""p_sma"": 35, ""p_std"": 49, ""rsi_ob"": 91, ""rsi_os"": 53, ""rsi_period"": 53, ""rsi_required"": false, ""slip_atr_k"": 0.11786143610612895, ""slip_spread_k"": 0.6327128428773314, ""spread_hl_frac"": 0.04628319402363318, ""strategy"": ""breakout"", ""time_stop"": 258, ""tp_mult"": 1.5120168868021846, ""tsl_mult"": 0.5923509028250421, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1244492389053063}"
1,-0.21657216669667012,-0.21650686003913605,-1000000000.0,0.21650686003913605,-0.21657216669667012,-0.21650686003913605,2796.0,breakout,1,"{""adx_thresh"": 9.004716079488507, ""atr_max_pct"": 0.038475684579619876, ""atr_min_pct"": 0.02168883824618778, ""bb_std_mult"": 1.1862078462858536, ""edge_cap"": 0.33352267952735154, ""edge_k"": 0.6363107743219807, ""ema1"": 17, ""ema2"": 46, ""p_adx"": 27, ""p_atr"": 7, ""p_sma"": 42, ""p_std"": 50, ""rsi_ob"": 59, ""rsi_os"": 7, ""rsi_period"": 40, ""rsi_required"": true, ""slip_atr_k"": 0.2100478375761468, ""slip_spread_k"": 0.11325298922511051, ""spread_hl_frac"": 0.030618110031789342, ""strategy"": ""breakout"", ""time_stop"": 74, ""tp_mult"": 2.58379446023605, ""tsl_mult"": 0.7228968626625356, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.088095877539566}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 14.26023226337413, ""atr_max_pct"": 0.13345188536221075, ""atr_min_pct"": 0.02389796741476834, ""bb_std_mult"": 2.7395660132083233, ""edge_cap"": 0.09666645865321308, ""edge_k"": 0.06577906666782973, ""ema1"": 22, ""ema2"": 14, ""p_adx"": 17, ""p_atr"": 29, ""p_sma"": 28, ""p_std"": 24, ""rsi_ob"": 69, ""rsi_os"": 10, ""rsi_period"": 31, ""rsi_required"": true, ""slip_atr_k"": 0.23765920627524817, ""slip_spread_k"": 0.834112445391575, ""spread_hl_frac"": 0.03595656348008406, ""strategy"": ""mean_reversion"", ""time_stop"": 235, ""tp_mult"": 2.4106650345082543, ""tsl_mult"": 0.9538259248458991, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.17026622546195533}"
3,-0.2732734425333714,-0.2732561903318954,-1000000000.0,0.2732561903318954,-0.2732734425333714,-0.2732561903318954,3135.0,breakout,1,"{""adx_thresh"": 25.33431519646194, ""atr_max_pct"": 0.06420712709486878, ""atr_min_pct"": 0.025371790969705245, ""bb_std_mult"": 1.7208609234691916, ""edge_cap"": 0.3576036175687176, ""edge_k"": 0.5123439787667119, ""ema1"": 14, ""ema2"": 12, ""p_adx"": 20, ""p_atr"": 29, ""p_sma"": 30, ""p_std"": 14, ""rsi_ob"": 62, ""rsi_os"": 45, ""rsi_period"": 19, ""rsi_required"": true, ""slip_atr_k"": 0.09969066475866781, ""slip_spread_k"": 0.9411082886292204, ""spread_hl_frac"": 0.03807680569630027, ""strategy"": ""breakout"", ""time_stop"": 134, ""tp_mult"": 1.3568825624261684, ""tsl_mult"": 0.5672979440067506, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.05076567364495366}"
4,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 26.636678500163036, ""atr_max_pct"": 0.033642544941313114, ""atr_min_pct"": 0.012982932938372068, ""bb_std_mult"": 1.4550086150891508, ""edge_cap"": 0.7523960615412134, ""edge_k"": 0.4965785716132969, ""ema1"": 25, ""ema2"": 60, ""p_adx"": 14, ""p_atr"": 27, ""p_sma"": 42, ""p_std"": 50, ""rsi_ob"": 55, ""rsi_os"": 43, ""rsi_period"": 73, ""rsi_required"": true, ""slip_atr_k"": 0.2408089217077279, ""slip_spread_k"": 0.2504383454445074, ""spread_hl_frac"": 0.04760423418276159, ""strategy"": ""breakout"", ""time_stop"": 123, ""tp_mult"": 1.5489307000685675, ""tsl_mult"": 0.9537702536817523, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.07454468823972318}"
5,-0.07187852277537787,-0.07187228917633635,-1000000000.0,0.07187228917633635,-0.07187852277537787,-0.07187228917633635,810.0,mean_reversion,1,"{""adx_thresh"": 11.858361693887082, ""atr_max_pct"": 0.14974645826246166, ""atr_min_pct"": 0.008421656586515825, ""bb_std_mult"": 2.5889731834181315, ""edge_cap"": 0.2783804838525929, ""edge_k"": 1.5913571620365359, ""ema1"": 20, ""ema2"": 23, ""p_adx"": 8, ""p_atr"": 12, ""p_sma"": 12, ""p_std"": 59, ""rsi_ob"": 93, ""rsi_os"": 45, ""rsi_period"": 29, ""rsi_required"": false, ""slip_atr_k"": 0.15882445473935528, ""slip_spread_k"": 0.598251878177417, ""spread_hl_frac"": 0.013769944616129421, ""strategy"": ""mean_reversion"", ""time_stop"": 217, ""tp_mult"": 2.7467012799540873, ""tsl_mult"": 0.5142131893527211, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17436577006851958}"
6,-0.9328971683289953,-0.9328176887150619,-1000000000.0,0.9328176887150619,-0.9328971683289953,-0.9328176887150619,3030.0,breakout,1,"{""adx_thresh"": 13.10626883104256, ""atr_max_pct"": 0.03445522263515248, ""atr_min_pct"": 0.022526545998351535, ""bb_std_mult"": 2.6808112439713057, ""edge_cap"": 0.9124660742695248, ""edge_k"": 0.1040694754045759, ""ema1"": 28, ""ema2"": 12, ""p_adx"": 25, ""p_atr"": 16, ""p_sma"": 31, ""p_std"": 13, ""rsi_ob"": 51, ""rsi_os"": 28, ""rsi_period"": 47, ""rsi_required"": true, ""slip_atr_k"": 0.2226254095385163, ""slip_spread_k"": 0.923305864773397, ""spread_hl_frac"": 0.022599150260629794, ""strategy"": ""breakout"", ""time_stop"": 66, ""tp_mult"": 2.5570873332685693, ""tsl_mult"": 0.0590622843998696, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.006980371126051454}"
7,-0.26010334807089663,-0.26003629192279076,-1000000000.0,0.26003629192279076,-0.26010334807089663,-0.26003629192279076,4341.0,breakout,1,"{""adx_thresh"": 8.527608658058822, ""atr_max_pct"": 0.14383137174033106, ""atr_min_pct"": 0.02877298057512268, ""bb_std_mult"": 1.89308416977196, ""edge_cap"": 0.9496673783602843, ""edge_k"": 1.0595950882752325, ""ema1"": 30, ""ema2"": 54, ""p_adx"": 18, ""p_atr"": 28, ""p_sma"": 48, ""p_std"": 21, ""rsi_ob"": 89, ""rsi_os"": 10, ""rsi_period"": 35, ""rsi_required"": false, ""slip_atr_k"": 0.2332749730192604, ""slip_spread_k"": 0.0642721617873192, ""spread_hl_frac"": 0.040619566389276426, ""strategy"": ""breakout"", ""time_stop"": 141, ""tp_mult"": 1.632190853355457, ""tsl_mult"": 0.9604992089331795, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.20862695613118562}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 18.736947768468394, ""atr_max_pct"": 0.01753843094952645, ""atr_min_pct"": 0.0026016749563760066, ""bb_std_mult"": 2.864859742825035, ""edge_cap"": 0.601801968679748, ""edge_k"": 1.8450345396333316, ""ema1"": 9, ""ema2"": 57, ""p_adx"": 7, ""p_atr"": 9, ""p_sma"": 49, ""p_std"": 58, ""rsi_ob"": 73, ""rsi_os"": 39, ""rsi_period"": 50, ""rsi_required"": true, ""slip_atr_k"": 0.23692357174033501, ""slip_spread_k"": 0.22558007367438904, ""spread_hl_frac"": 0.0402755066252795, ""strategy"": ""mean_reversion"", ""time_stop"": 104, ""tp_mult"": 1.925102520469067, ""tsl_mult"": 0.4826110344479263, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.09590141968053409}"
9,-0.09105613230289711,-0.09098714569078672,-1000000000.0,0.09098714569078672,-0.09105613230289711,-0.09098714569078672,1528.0,mean_reversion,1,"{""adx_thresh"": 9.274978263085197, ""atr_max_pct"": 0.039030632954141435, ""atr_min_pct"": 0.029777373824015088, ""bb_std_mult"": 1.5434195015753607, ""edge_cap"": 0.684368953214518, ""edge_k"": 0.43457176787026164, ""ema1"": 25, ""ema2"": 51, ""p_adx"": 20, ""p_atr"": 27, ""p_sma"": 57, ""p_std"": 37, ""rsi_ob"": 88, ""rsi_os"": 33, ""rsi_period"": 11, ""rsi_required"": false, ""slip_atr_k"": 0.04492870638357202, ""slip_spread_k"": 0.6251621538035377, ""spread_hl_frac"": 0.0176990861483411, ""strategy"": ""mean_reversion"", ""time_stop"": 8, ""tp_mult"": 1.7988452537295558, ""tsl_mult"": 0.8883801082746999, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.11356823485640483}"
