number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.9516065114322116,-0.9516026352776232,-1000000000.0,0.9516026352776232,-0.9516065114322116,-0.9516026352776232,39445.0,mean_reversion,1,"{""adx_thresh"": 19.43506006447326, ""atr_max_pct"": 0.10869756002096978, ""atr_min_pct"": 0.0020856140343481645, ""bb_std_mult"": 1.5300055351480024, ""edge_cap"": 0.316951568679994, ""edge_k"": 1.9989434594377962, ""ema1"": 20, ""ema2"": 19, ""p_adx"": 8, ""p_atr"": 23, ""p_sma"": 19, ""p_std"": 7, ""rsi_ob"": 54, ""rsi_os"": 19, ""rsi_period"": 16, ""rsi_required"": false, ""slip_atr_k"": 0.16712892931508644, ""slip_spread_k"": 0.9174478488708967, ""spread_hl_frac"": 0.020939004347465148, ""strategy"": ""mean_reversion"", ""time_stop"": 220, ""tp_mult"": 1.6362070986192851, ""tsl_mult"": 0.7452823549192478, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0951331411459892}"
1,-0.3002058159815386,-0.3000702920500148,-1000000000.0,0.3000702920500148,-0.3002058159815386,-0.3000702920500148,2960.0,breakout,1,"{""adx_thresh"": 20.755074390846907, ""atr_max_pct"": 0.09434397229531545, ""atr_min_pct"": 0.02702573893497194, ""bb_std_mult"": 3.061472544598849, ""edge_cap"": 0.5803557151969074, ""edge_k"": 0.8741126079658286, ""ema1"": 23, ""ema2"": 28, ""p_adx"": 12, ""p_atr"": 25, ""p_sma"": 37, ""p_std"": 53, ""rsi_ob"": 52, ""rsi_os"": 49, ""rsi_period"": 34, ""rsi_required"": true, ""slip_atr_k"": 0.11517107615789202, ""slip_spread_k"": 0.24439765921872303, ""spread_hl_frac"": 0.014133160326841721, ""strategy"": ""breakout"", ""time_stop"": 201, ""tp_mult"": 2.3866734232632503, ""tsl_mult"": 0.28259491299005657, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.08402154836358779}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 29.887095753830646, ""atr_max_pct"": 0.0837222880889842, ""atr_min_pct"": 0.023002192695365627, ""bb_std_mult"": 2.0965023082452086, ""edge_cap"": 0.7160643660615535, ""edge_k"": 1.1260282588374082, ""ema1"": 23, ""ema2"": 47, ""p_adx"": 11, ""p_atr"": 16, ""p_sma"": 27, ""p_std"": 37, ""rsi_ob"": 46, ""rsi_os"": 48, ""rsi_period"": 35, ""rsi_required"": false, ""slip_atr_k"": 0.17064662504823966, ""slip_spread_k"": 0.10020897849021848, ""spread_hl_frac"": 0.00942230662507, ""strategy"": ""breakout"", ""time_stop"": 48, ""tp_mult"": 2.819686674782283, ""tsl_mult"": 0.43492332203686457, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.05761741906765004}"
3,-0.00015987651545712467,-0.00036361184593123734,-1000000000.0,1000000000.0,-0.00015987651545712467,-0.00036361184593123734,4.0,breakout,1,"{""adx_thresh"": 17.266667678070863, ""atr_max_pct"": 0.016221189419610225, ""atr_min_pct"": 0.003987698248652891, ""bb_std_mult"": 1.1911739060521318, ""edge_cap"": 0.4564808806739721, ""edge_k"": 0.7282826001005849, ""ema1"": 21, ""ema2"": 30, ""p_adx"": 14, ""p_atr"": 25, ""p_sma"": 50, ""p_std"": 24, ""rsi_ob"": 95, ""rsi_os"": 14, ""rsi_period"": 26, ""rsi_required"": true, ""slip_atr_k"": 0.021256637655369004, ""slip_spread_k"": 0.5863732797308964, ""spread_hl_frac"": 0.014121730797885153, ""strategy"": ""breakout"", ""time_stop"": 203, ""tp_mult"": 2.42106748504246, ""tsl_mult"": 0.8568861367642644, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.028367913216497606}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 20.84940653954383, ""atr_max_pct"": 0.10668417373439006, ""atr_min_pct"": 0.018285594136611547, ""bb_std_mult"": 3.2623777099110693, ""edge_cap"": 0.8583440566637259, ""edge_k"": 1.457647730552597, ""ema1"": 10, ""ema2"": 46, ""p_adx"": 17, ""p_atr"": 24, ""p_sma"": 17, ""p_std"": 59, ""rsi_ob"": 48, ""rsi_os"": 14, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.21030003148521226, ""slip_spread_k"": 0.03128370263515068, ""spread_hl_frac"": 0.031274208398153557, ""strategy"": ""mean_reversion"", ""time_stop"": 9, ""tp_mult"": 2.457069987218687, ""tsl_mult"": 0.6254657621485622, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2671457052740785}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 9.087205078830733, ""atr_max_pct"": 0.05026811139465142, ""atr_min_pct"": 0.026923931812945893, ""bb_std_mult"": 1.8578637030501173, ""edge_cap"": 0.15826810751060977, ""edge_k"": 1.3340988678698387, ""ema1"": 29, ""ema2"": 20, ""p_adx"": 18, ""p_atr"": 10, ""p_sma"": 46, ""p_std"": 44, ""rsi_ob"": 78, ""rsi_os"": 53, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.19378333770973463, ""slip_spread_k"": 0.2501083818490608, ""spread_hl_frac"": 0.04189664946117426, ""strategy"": ""breakout"", ""time_stop"": 75, ""tp_mult"": 1.4242061434878361, ""tsl_mult"": 0.7342681079110888, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.007982515046638106}"
6,-0.9995668575228587,-0.9995664446450427,-1000000000.0,0.9995664446450427,-0.9995668575228587,-0.9995664446450427,5108.0,breakout,1,"{""adx_thresh"": 9.125990665963549, ""atr_max_pct"": 0.08617474999018689, ""atr_min_pct"": 0.02551422351683035, ""bb_std_mult"": 0.5788175515607268, ""edge_cap"": 0.0667828758629962, ""edge_k"": 0.8061258101967288, ""ema1"": 14, ""ema2"": 11, ""p_adx"": 27, ""p_atr"": 25, ""p_sma"": 34, ""p_std"": 49, ""rsi_ob"": 56, ""rsi_os"": 51, ""rsi_period"": 57, ""rsi_required"": true, ""slip_atr_k"": 0.2346091616838459, ""slip_spread_k"": 0.8711964202439317, ""spread_hl_frac"": 0.010643438601402334, ""strategy"": ""breakout"", ""time_stop"": 40, ""tp_mult"": 2.8975950849143755, ""tsl_mult"": 0.031234184393140407, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.21271428498297637}"
7,-0.9889817216356932,-0.9889775524180887,-1000000000.0,0.9889775524180887,-0.9889817216356932,-0.9889775524180887,8116.0,mean_reversion,1,"{""adx_thresh"": 20.76475238719837, ""atr_max_pct"": 0.06401068881170258, ""atr_min_pct"": 0.011521903558884496, ""bb_std_mult"": 1.08018198027781, ""edge_cap"": 0.4468344948979426, ""edge_k"": 0.8407824554713244, ""ema1"": 24, ""ema2"": 22, ""p_adx"": 8, ""p_atr"": 23, ""p_sma"": 15, ""p_std"": 59, ""rsi_ob"": 52, ""rsi_os"": 48, ""rsi_period"": 60, ""rsi_required"": false, ""slip_atr_k"": 0.19874870317692842, ""slip_spread_k"": 0.07191726794191766, ""spread_hl_frac"": 0.02490151578897348, ""strategy"": ""mean_reversion"", ""time_stop"": 264, ""tp_mult"": 1.0991561178840403, ""tsl_mult"": 0.08443961802190725, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.13101123730474548}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 7.541140791647937, ""atr_max_pct"": 0.09994656318963796, ""atr_min_pct"": 0.0005720267163429482, ""bb_std_mult"": 2.4827952846241677, ""edge_cap"": 0.12343853432198304, ""edge_k"": 1.4388498815062898, ""ema1"": 25, ""ema2"": 46, ""p_adx"": 12, ""p_atr"": 26, ""p_sma"": 24, ""p_std"": 52, ""rsi_ob"": 92, ""rsi_os"": 20, ""rsi_period"": 59, ""rsi_required"": true, ""slip_atr_k"": 0.022044113131948123, ""slip_spread_k"": 0.8221894417691613, ""spread_hl_frac"": 0.043433222654196975, ""strategy"": ""mean_reversion"", ""time_stop"": 94, ""tp_mult"": 2.329057952825879, ""tsl_mult"": 0.011485763201647625, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.11073768865818948}"
9,-0.3618833604632111,-0.3617456971475361,-1000000000.0,0.3617456971475361,-0.3618833604632111,-0.3617456971475361,2683.0,breakout,1,"{""adx_thresh"": 20.664953740446425, ""atr_max_pct"": 0.09790957980336612, ""atr_min_pct"": 0.006425863792664784, ""bb_std_mult"": 2.488574589888822, ""edge_cap"": 0.5508909457128867, ""edge_k"": 0.6798885236280641, ""ema1"": 9, ""ema2"": 16, ""p_adx"": 23, ""p_atr"": 13, ""p_sma"": 38, ""p_std"": 48, ""rsi_ob"": 58, ""rsi_os"": 7, ""rsi_period"": 75, ""rsi_required"": true, ""slip_atr_k"": 0.11276660019771395, ""slip_spread_k"": 0.41146132765923593, ""spread_hl_frac"": 0.00910128512782692, ""strategy"": ""breakout"", ""time_stop"": 40, ""tp_mult"": 1.6039251324850776, ""tsl_mult"": 0.1998974590439726, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.053187405904395475}"
10,-0.2602093182487102,-0.2601282624787218,-1000000000.0,0.2601282624787218,-0.2602093182487102,-0.2601282624787218,2434.0,breakout,1,"{""adx_thresh"": 33.74443802292585, ""atr_max_pct"": 0.13254516375142683, ""atr_min_pct"": 0.01814339574571428, ""bb_std_mult"": 3.4227272923127345, ""edge_cap"": 0.989269054342103, ""edge_k"": 0.21169253408939215, ""ema1"": 15, ""ema2"": 35, ""p_adx"": 23, ""p_atr"": 30, ""p_sma"": 60, ""p_std"": 25, ""rsi_ob"": 68, ""rsi_os"": 36, ""rsi_period"": 8, ""rsi_required"": true, ""slip_atr_k"": 0.0906726158173643, ""slip_spread_k"": 0.5068819550666788, ""spread_hl_frac"": 0.032790467021996145, ""strategy"": ""breakout"", ""time_stop"": 147, ""tp_mult"": 2.0229388523638607, ""tsl_mult"": 0.3393534925980089, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.18253562730898817}"
11,-0.2742707119391635,-0.27419582955340654,-1000000000.0,0.27419582955340654,-0.2742707119391635,-0.27419582955340654,2686.0,breakout,1,"{""adx_thresh"": 33.88688426067847, ""atr_max_pct"": 0.14419563828748408, ""atr_min_pct"": 0.01625030983475756, ""bb_std_mult"": 3.5536364565109757, ""edge_cap"": 0.9880910727923202, ""edge_k"": 0.08590791869865255, ""ema1"": 15, ""ema2"": 35, ""p_adx"": 24, ""p_atr"": 29, ""p_sma"": 59, ""p_std"": 22, ""rsi_ob"": 67, ""rsi_os"": 35, ""rsi_period"": 7, ""rsi_required"": true, ""slip_atr_k"": 0.08395052762644817, ""slip_spread_k"": 0.565629297294191, ""spread_hl_frac"": 0.03474658592458938, ""strategy"": ""breakout"", ""time_stop"": 141, ""tp_mult"": 1.9936147023331576, ""tsl_mult"": 0.36436962532155326, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.19257455586229602}"
12,-0.20118221569247863,-0.20110963911195026,-1000000000.0,0.20110963911195026,-0.20118221569247863,-0.20110963911195026,2217.0,breakout,1,"{""adx_thresh"": 34.49604128895126, ""atr_max_pct"": 0.1460383774788832, ""atr_min_pct"": 0.017117695547869072, ""bb_std_mult"": 3.506944443227457, ""edge_cap"": 0.9929441718373597, ""edge_k"": 0.030097308717705135, ""ema1"": 15, ""ema2"": 37, ""p_adx"": 23, ""p_atr"": 30, ""p_sma"": 59, ""p_std"": 24, ""rsi_ob"": 70, ""rsi_os"": 35, ""rsi_period"": 8, ""rsi_required"": true, ""slip_atr_k"": 0.06720624923439093, ""slip_spread_k"": 0.6117317345267518, ""spread_hl_frac"": 0.03447921769514271, ""strategy"": ""breakout"", ""time_stop"": 135, ""tp_mult"": 1.9305378804563276, ""tsl_mult"": 0.4142686935865852, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.19033946284213943}"
13,5.754972260518798e-05,-9.502498995720217e-05,-1000000000.0,1000000000.0,5.754972260518798e-05,-9.502498995720217e-05,3.0,breakout,1,"{""adx_thresh"": 34.46087797680366, ""atr_max_pct"": 0.14942399398563222, ""atr_min_pct"": 0.010769758118992032, ""bb_std_mult"": 2.8847157850885816, ""edge_cap"": 0.9998447781017016, ""edge_k"": 0.026985998263638525, ""ema1"": 5, ""ema2"": 59, ""p_adx"": 30, ""p_atr"": 30, ""p_sma"": 5, ""p_std"": 19, ""rsi_ob"": 75, ""rsi_os"": 36, ""rsi_period"": 83, ""rsi_required"": true, ""slip_atr_k"": 0.06493613700155593, ""slip_spread_k"": 0.7136063677563942, ""spread_hl_frac"": 0.04932192323709543, ""strategy"": ""breakout"", ""time_stop"": 132, ""tp_mult"": 1.8989608207440034, ""tsl_mult"": 0.5559097378293347, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1867288443583446}"
14,-0.08843596636397288,-0.08839445234017089,-1000000000.0,0.08839445234017089,-0.08843596636397288,-0.08839445234017089,1979.0,breakout,1,"{""adx_thresh"": 28.124338867483203, ""atr_max_pct"": 0.12810415998408184, ""atr_min_pct"": 0.02047666960956441, ""bb_std_mult"": 3.574444778504261, ""edge_cap"": 0.8139128741595114, ""edge_k"": 0.3590334178920126, ""ema1"": 16, ""ema2"": 39, ""p_adx"": 22, ""p_atr"": 20, ""p_sma"": 59, ""p_std"": 31, ""rsi_ob"": 66, ""rsi_os"": 31, ""rsi_period"": 7, ""rsi_required"": true, ""slip_atr_k"": 0.05999146674099168, ""slip_spread_k"": 0.42330851805729725, ""spread_hl_frac"": 0.001410762188327211, ""strategy"": ""breakout"", ""time_stop"": 167, ""tp_mult"": 1.0102902230194342, ""tsl_mult"": 0.9896591513319786, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2783458067416757}"
15,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 27.204750359531328, ""atr_max_pct"": 0.12395835826553732, ""atr_min_pct"": 0.02151424361044005, ""bb_std_mult"": 2.7802108191456565, ""edge_cap"": 0.7452999862208364, ""edge_k"": 0.43182288016394776, ""ema1"": 18, ""ema2"": 55, ""p_adx"": 20, ""p_atr"": 19, ""p_sma"": 50, ""p_std"": 35, ""rsi_ob"": 63, ""rsi_os"": 28, ""rsi_period"": 18, ""rsi_required"": false, ""slip_atr_k"": 0.04510183612493941, ""slip_spread_k"": 0.33405280937659354, ""spread_hl_frac"": 0.0012018066282296024, ""strategy"": ""mean_reversion"", ""time_stop"": 250, ""tp_mult"": 1.061308808616272, ""tsl_mult"": 0.9935322553963462, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.29134662568390585}"
16,-0.05498078864161249,-0.05494291849496712,-1000000000.0,0.05494291849496712,-0.05498078864161249,-0.05494291849496712,972.0,breakout,1,"{""adx_thresh"": 26.857991934329025, ""atr_max_pct"": 0.057315276879731133, ""atr_min_pct"": 0.01326309502246926, ""bb_std_mult"": 3.578022868393382, ""edge_cap"": 0.7765302140700737, ""edge_k"": 0.39609144755442677, ""ema1"": 11, ""ema2"": 41, ""p_adx"": 20, ""p_atr"": 8, ""p_sma"": 54, ""p_std"": 12, ""rsi_ob"": 83, ""rsi_os"": 28, ""rsi_period"": 19, ""rsi_required"": true, ""slip_atr_k"": 0.14337064800966978, ""slip_spread_k"": 0.722690415166701, ""spread_hl_frac"": 0.0015909228487635471, ""strategy"": ""breakout"", ""time_stop"": 293, ""tp_mult"": 1.3212826268537747, ""tsl_mult"": 0.9543866520931401, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.24654384699310572}"
