number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.00685116479737391,-0.006674639670147268,-1000000000.0,1000000000.0,-0.00685116479737391,-0.006674639670147268,66.0,mean_reversion,1,"{""adx_thresh"": 11.536966080395723, ""atr_max_pct"": 0.14206910085661528, ""atr_min_pct"": 0.02872416207203752, ""bb_std_mult"": 3.477631298137569, ""edge_cap"": 0.9912815469317425, ""edge_k"": 1.589149832456434, ""ema1"": 20, ""ema2"": 30, ""p_adx"": 15, ""p_atr"": 24, ""p_sma"": 51, ""p_std"": 10, ""rsi_ob"": 66, ""rsi_os"": 28, ""rsi_period"": 35, ""rsi_required"": false, ""slip_atr_k"": 0.10226815246522467, ""slip_spread_k"": 0.5099024095896064, ""spread_hl_frac"": 0.035507399666353676, ""strategy"": ""mean_reversion"", ""time_stop"": 46, ""tp_mult"": 2.7648303195014305, ""tsl_mult"": 0.6464105624033935, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.034039110335991114}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 18.69489251712207, ""atr_max_pct"": 0.0252562905510165, ""atr_min_pct"": 0.014781704755699322, ""bb_std_mult"": 2.6620327464329945, ""edge_cap"": 0.6918258649865523, ""edge_k"": 1.7073644919645194, ""ema1"": 6, ""ema2"": 55, ""p_adx"": 8, ""p_atr"": 19, ""p_sma"": 50, ""p_std"": 26, ""rsi_ob"": 89, ""rsi_os"": 52, ""rsi_period"": 62, ""rsi_required"": true, ""slip_atr_k"": 0.18151445464163965, ""slip_spread_k"": 0.8333662124417559, ""spread_hl_frac"": 0.03551153419148087, ""strategy"": ""mean_reversion"", ""time_stop"": 53, ""tp_mult"": 1.3159315771148818, ""tsl_mult"": 0.9842840333065113, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.028491594988937417}"
2,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 8.380396342557134, ""atr_max_pct"": 0.016783580832311514, ""atr_min_pct"": 0.02559892977635456, ""bb_std_mult"": 2.0302693450591303, ""edge_cap"": 0.44798767684846474, ""edge_k"": 1.3982552893283449, ""ema1"": 21, ""ema2"": 57, ""p_adx"": 21, ""p_atr"": 20, ""p_sma"": 7, ""p_std"": 22, ""rsi_ob"": 45, ""rsi_os"": 49, ""rsi_period"": 60, ""rsi_required"": false, ""slip_atr_k"": 0.18427989818524523, ""slip_spread_k"": 0.7448555100647625, ""spread_hl_frac"": 0.005444279764522043, ""strategy"": ""breakout"", ""time_stop"": 280, ""tp_mult"": 2.0038635013689396, ""tsl_mult"": 0.5030898689918647, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.05487111622216984}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 30.25025727099218, ""atr_max_pct"": 0.046229232686354496, ""atr_min_pct"": 0.01452373635317457, ""bb_std_mult"": 2.956115051478956, ""edge_cap"": 0.3491935272561963, ""edge_k"": 1.7003793001207754, ""ema1"": 22, ""ema2"": 36, ""p_adx"": 15, ""p_atr"": 14, ""p_sma"": 22, ""p_std"": 16, ""rsi_ob"": 66, ""rsi_os"": 8, ""rsi_period"": 17, ""rsi_required"": false, ""slip_atr_k"": 0.21435651752216428, ""slip_spread_k"": 0.0003637751704699266, ""spread_hl_frac"": 0.03895724994247314, ""strategy"": ""mean_reversion"", ""time_stop"": 112, ""tp_mult"": 1.2426819548822696, ""tsl_mult"": 0.6161437580152682, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10395730737222193}"
4,-0.6582876186637852,-0.658132400096965,-1000000000.0,0.658132400096965,-0.6582876186637852,-0.658132400096965,2696.0,breakout,1,"{""adx_thresh"": 22.38666492645666, ""atr_max_pct"": 0.07435512204976635, ""atr_min_pct"": 0.011686000570510058, ""bb_std_mult"": 2.945621773715939, ""edge_cap"": 0.5811017245367905, ""edge_k"": 0.011766132710373967, ""ema1"": 16, ""ema2"": 18, ""p_adx"": 18, ""p_atr"": 30, ""p_sma"": 32, ""p_std"": 27, ""rsi_ob"": 60, ""rsi_os"": 29, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.1432731018989879, ""slip_spread_k"": 0.7180467718722463, ""spread_hl_frac"": 0.04462627515975451, ""strategy"": ""breakout"", ""time_stop"": 149, ""tp_mult"": 2.234617513086965, ""tsl_mult"": 0.12889973998601045, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.20861458655265644}"
5,-0.371735959669804,-0.37144011434872587,-1000000000.0,0.37144011434872587,-0.371735959669804,-0.37144011434872587,1227.0,breakout,1,"{""adx_thresh"": 20.328448101333514, ""atr_max_pct"": 0.09044875158196142, ""atr_min_pct"": 0.01222401431836813, ""bb_std_mult"": 1.1466541520196005, ""edge_cap"": 0.8847226176197663, ""edge_k"": 1.3617302664689945, ""ema1"": 24, ""ema2"": 60, ""p_adx"": 7, ""p_atr"": 25, ""p_sma"": 47, ""p_std"": 18, ""rsi_ob"": 94, ""rsi_os"": 7, ""rsi_period"": 13, ""rsi_required"": true, ""slip_atr_k"": 0.12734365307958379, ""slip_spread_k"": 0.2919948605002446, ""spread_hl_frac"": 0.01511193349115621, ""strategy"": ""breakout"", ""time_stop"": 88, ""tp_mult"": 2.281579515115472, ""tsl_mult"": 0.14275535696855057, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.02204756518694303}"
6,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 20.09383169250957, ""atr_max_pct"": 0.02767251996981662, ""atr_min_pct"": 0.029605672262743823, ""bb_std_mult"": 1.7666849181809743, ""edge_cap"": 0.41513717758964586, ""edge_k"": 1.2016993583736972, ""ema1"": 21, ""ema2"": 57, ""p_adx"": 22, ""p_atr"": 19, ""p_sma"": 50, ""p_std"": 15, ""rsi_ob"": 62, ""rsi_os"": 42, ""rsi_period"": 78, ""rsi_required"": true, ""slip_atr_k"": 0.04141596092874564, ""slip_spread_k"": 0.5549799885511761, ""spread_hl_frac"": 0.024111125092702725, ""strategy"": ""breakout"", ""time_stop"": 246, ""tp_mult"": 2.4417141160155893, ""tsl_mult"": 0.3045706120868893, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.16187447444525296}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 13.625194099723833, ""atr_max_pct"": 0.04816113471057487, ""atr_min_pct"": 0.025231406132975674, ""bb_std_mult"": 2.706793412006443, ""edge_cap"": 0.22737497138790072, ""edge_k"": 0.767136087295508, ""ema1"": 15, ""ema2"": 59, ""p_adx"": 25, ""p_atr"": 10, ""p_sma"": 38, ""p_std"": 56, ""rsi_ob"": 87, ""rsi_os"": 52, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.19807205630013397, ""slip_spread_k"": 0.15381600729306977, ""spread_hl_frac"": 0.02292774768969298, ""strategy"": ""mean_reversion"", ""time_stop"": 300, ""tp_mult"": 1.6333453099236683, ""tsl_mult"": 0.6706648605856358, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.28695519791515645}"
8,-0.8244801265161801,-0.8244662769408739,-1000000000.0,0.8244662769408739,-0.8244801265161801,-0.8244662769408739,21157.0,breakout,1,"{""adx_thresh"": 29.412931293645535, ""atr_max_pct"": 0.14370724102572247, ""atr_min_pct"": 0.029177162069768836, ""bb_std_mult"": 0.9111462706115743, ""edge_cap"": 0.9924230089035445, ""edge_k"": 1.78632372012138, ""ema1"": 25, ""ema2"": 52, ""p_adx"": 11, ""p_atr"": 13, ""p_sma"": 51, ""p_std"": 32, ""rsi_ob"": 69, ""rsi_os"": 6, ""rsi_period"": 57, ""rsi_required"": false, ""slip_atr_k"": 0.22228263898585313, ""slip_spread_k"": 0.07760553833488038, ""spread_hl_frac"": 0.02953701181793881, ""strategy"": ""breakout"", ""time_stop"": 48, ""tp_mult"": 2.838922914432095, ""tsl_mult"": 0.8668210360451593, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.26429880956562374}"
9,-0.002819783200531889,-0.005971530166504298,-1000000000.0,1000000000.0,-0.002819783200531889,-0.005971530166504298,4.0,breakout,1,"{""adx_thresh"": 14.23874048376062, ""atr_max_pct"": 0.06849318027140577, ""atr_min_pct"": 0.0142120042431913, ""bb_std_mult"": 1.0215591724569262, ""edge_cap"": 0.967780441345557, ""edge_k"": 1.7155227004657123, ""ema1"": 13, ""ema2"": 12, ""p_adx"": 25, ""p_atr"": 9, ""p_sma"": 11, ""p_std"": 24, ""rsi_ob"": 60, ""rsi_os"": 46, ""rsi_period"": 55, ""rsi_required"": false, ""slip_atr_k"": 0.06630807011415665, ""slip_spread_k"": 0.007517058420938527, ""spread_hl_frac"": 0.04445987528417178, ""strategy"": ""breakout"", ""time_stop"": 293, ""tp_mult"": 2.394917160486663, ""tsl_mult"": 0.02903430106856353, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.09752063524788877}"
