number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 10.454749016213018, ""atr_max_pct"": 0.052593914014335275, ""atr_min_pct"": 0.005502135295603014, ""bb_std_mult"": 0.5638119323169876, ""edge_cap"": 0.817977480710638, ""edge_k"": 1.9312640661491187, ""ema1"": 9, ""ema2"": 12, ""p_adx"": 21, ""p_atr"": 24, ""p_sma"": 25, ""p_std"": 58, ""rsi_ob"": 87, ""rsi_os"": 54, ""rsi_period"": 19, ""rsi_required"": false, ""slip_atr_k"": 0.2165440364437338, ""slip_spread_k"": 0.6011150117432088, ""spread_hl_frac"": 0.03540362888980227, ""strategy"": ""mean_reversion"", ""time_stop"": 46, ""tp_mult"": 2.0542652989481534, ""tsl_mult"": 0.43194501864211576, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.06370173320348284}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 34.08753883293676, ""atr_max_pct"": 0.14152985181898647, ""atr_min_pct"": 0.023253984700833435, ""bb_std_mult"": 1.466304335877174, ""edge_cap"": 0.23877989745746378, ""edge_k"": 1.5444895385933148, ""ema1"": 17, ""ema2"": 11, ""p_adx"": 17, ""p_atr"": 23, ""p_sma"": 22, ""p_std"": 10, ""rsi_ob"": 72, ""rsi_os"": 31, ""rsi_period"": 16, ""rsi_required"": false, ""slip_atr_k"": 0.22733010051969552, ""slip_spread_k"": 0.2587799816000169, ""spread_hl_frac"": 0.0331261142176991, ""strategy"": ""breakout"", ""time_stop"": 63, ""tp_mult"": 2.7907064273510214, ""tsl_mult"": 0.5978999788110851, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05545633665765811}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 26.88818535014192, ""atr_max_pct"": 0.1342097839606857, ""atr_min_pct"": 0.019126724140656394, ""bb_std_mult"": 1.5257838770432126, ""edge_cap"": 0.7677735816158963, ""edge_k"": 0.8207658460712595, ""ema1"": 6, ""ema2"": 28, ""p_adx"": 24, ""p_atr"": 23, ""p_sma"": 5, ""p_std"": 50, ""rsi_ob"": 60, ""rsi_os"": 8, ""rsi_period"": 67, ""rsi_required"": true, ""slip_atr_k"": 0.02896726488128243, ""slip_spread_k"": 0.8631034258755935, ""spread_hl_frac"": 0.031164906341377897, ""strategy"": ""mean_reversion"", ""time_stop"": 171, ""tp_mult"": 1.9497077010722792, ""tsl_mult"": 0.1195942459383017, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.09755499660802411}"
3,-6.649795848356899e-05,0.0,-1000000000.0,1000000000.0,-6.649795848356899e-05,0.0,1.0,breakout,1,"{""adx_thresh"": 14.540104249155917, ""atr_max_pct"": 0.041910922755871834, ""atr_min_pct"": 0.0033015577358303026, ""bb_std_mult"": 3.266932895318931, ""edge_cap"": 0.33583439432593115, ""edge_k"": 0.9944970117847709, ""ema1"": 26, ""ema2"": 42, ""p_adx"": 10, ""p_atr"": 13, ""p_sma"": 17, ""p_std"": 9, ""rsi_ob"": 86, ""rsi_os"": 32, ""rsi_period"": 79, ""rsi_required"": true, ""slip_atr_k"": 0.21786514754692943, ""slip_spread_k"": 0.8036720768991145, ""spread_hl_frac"": 0.009328502944301792, ""strategy"": ""breakout"", ""time_stop"": 156, ""tp_mult"": 1.8599444993662502, ""tsl_mult"": 0.8180147659224931, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.26882738997704797}"
4,-0.11586176364802958,-0.1157860128327954,-1000000000.0,0.1157860128327954,-0.11586176364802958,-0.1157860128327954,1708.0,breakout,1,"{""adx_thresh"": 12.12912631977199, ""atr_max_pct"": 0.06148963858069545, ""atr_min_pct"": 0.021846490458355787, ""bb_std_mult"": 3.5555164077428625, ""edge_cap"": 0.1806448969386936, ""edge_k"": 1.873459977473469, ""ema1"": 12, ""ema2"": 56, ""p_adx"": 19, ""p_atr"": 21, ""p_sma"": 20, ""p_std"": 7, ""rsi_ob"": 79, ""rsi_os"": 17, ""rsi_period"": 11, ""rsi_required"": true, ""slip_atr_k"": 0.059890472666743105, ""slip_spread_k"": 0.1448948720912231, ""spread_hl_frac"": 0.024472638013878154, ""strategy"": ""breakout"", ""time_stop"": 252, ""tp_mult"": 2.2682886028812232, ""tsl_mult"": 0.6335297107608947, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.22848588459861527}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 15.170893731461021, ""atr_max_pct"": 0.1116337950418335, ""atr_min_pct"": 0.010476287238379827, ""bb_std_mult"": 0.7886185801982876, ""edge_cap"": 0.27538663312196004, ""edge_k"": 1.4243584426950717, ""ema1"": 22, ""ema2"": 51, ""p_adx"": 28, ""p_atr"": 29, ""p_sma"": 24, ""p_std"": 11, ""rsi_ob"": 90, ""rsi_os"": 50, ""rsi_period"": 27, ""rsi_required"": true, ""slip_atr_k"": 0.13880020289986558, ""slip_spread_k"": 0.5296505783560065, ""spread_hl_frac"": 0.012092614545022584, ""strategy"": ""breakout"", ""time_stop"": 29, ""tp_mult"": 2.7952494173056284, ""tsl_mult"": 0.8870864242651173, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18993043718198038}"
6,-0.00013483928505320097,0.0,-1000000000.0,1000000000.0,-0.00013483928505320097,0.0,1.0,breakout,1,"{""adx_thresh"": 28.844339106249453, ""atr_max_pct"": 0.09076654384769027, ""atr_min_pct"": 0.015079112793155762, ""bb_std_mult"": 3.5163327197325813, ""edge_cap"": 0.415842842171829, ""edge_k"": 0.5888977841391714, ""ema1"": 19, ""ema2"": 14, ""p_adx"": 27, ""p_atr"": 22, ""p_sma"": 23, ""p_std"": 46, ""rsi_ob"": 90, ""rsi_os"": 25, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.09192895076485838, ""slip_spread_k"": 0.26520236768172545, ""spread_hl_frac"": 0.01219948216895418, ""strategy"": ""breakout"", ""time_stop"": 12, ""tp_mult"": 1.9901102106995392, ""tsl_mult"": 0.1952429877980445, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.18934158779917887}"
7,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 25.91047222985804, ""atr_max_pct"": 0.060328761170765716, ""atr_min_pct"": 0.021074522519613278, ""bb_std_mult"": 0.9342604472332245, ""edge_cap"": 0.5655124029721977, ""edge_k"": 0.9311960362649203, ""ema1"": 23, ""ema2"": 39, ""p_adx"": 20, ""p_atr"": 11, ""p_sma"": 52, ""p_std"": 22, ""rsi_ob"": 89, ""rsi_os"": 31, ""rsi_period"": 80, ""rsi_required"": true, ""slip_atr_k"": 0.024294123442692134, ""slip_spread_k"": 0.6150072266991697, ""spread_hl_frac"": 0.049502692505213164, ""strategy"": ""mean_reversion"", ""time_stop"": 275, ""tp_mult"": 1.5942477700863418, ""tsl_mult"": 0.8093611554785136, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.22223058532626133}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 21.219053648303195, ""atr_max_pct"": 0.11165278672117261, ""atr_min_pct"": 0.019122897044946196, ""bb_std_mult"": 2.430960475038901, ""edge_cap"": 0.3159372020986457, ""edge_k"": 1.3203947534354625, ""ema1"": 14, ""ema2"": 16, ""p_adx"": 7, ""p_atr"": 7, ""p_sma"": 21, ""p_std"": 38, ""rsi_ob"": 47, ""rsi_os"": 9, ""rsi_period"": 71, ""rsi_required"": false, ""slip_atr_k"": 0.1305608150137011, ""slip_spread_k"": 0.7699935530986108, ""spread_hl_frac"": 0.01079105137484216, ""strategy"": ""mean_reversion"", ""time_stop"": 85, ""tp_mult"": 2.951945638130444, ""tsl_mult"": 0.5163003483011953, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1594063894704444}"
9,-0.9267713601502433,-0.9267486196855623,-1000000000.0,0.9267486196855623,-0.9267713601502433,-0.9267486196855623,9683.0,breakout,1,"{""adx_thresh"": 19.225214872619755, ""atr_max_pct"": 0.07882622251635653, ""atr_min_pct"": 0.002935024819530044, ""bb_std_mult"": 0.6426081902674335, ""edge_cap"": 0.596700468982085, ""edge_k"": 1.8804604828499152, ""ema1"": 11, ""ema2"": 28, ""p_adx"": 21, ""p_atr"": 20, ""p_sma"": 58, ""p_std"": 46, ""rsi_ob"": 88, ""rsi_os"": 7, ""rsi_period"": 39, ""rsi_required"": false, ""slip_atr_k"": 0.18946152761609228, ""slip_spread_k"": 0.014393488629755868, ""spread_hl_frac"": 0.005803632025345812, ""strategy"": ""breakout"", ""time_stop"": 187, ""tp_mult"": 1.9522088238533257, ""tsl_mult"": 0.17320186991001518, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2110973578140071}"
