number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 23.548834507020747, ""atr_max_pct"": 0.1466404642144558, ""atr_min_pct"": 0.008480016195935022, ""bb_std_mult"": 3.1541643506464356, ""edge_cap"": 0.28752890645176116, ""edge_k"": 1.6736589008641127, ""ema1"": 17, ""ema2"": 12, ""p_adx"": 8, ""p_atr"": 13, ""p_sma"": 60, ""p_std"": 35, ""rsi_ob"": 95, ""rsi_os"": 38, ""rsi_period"": 41, ""rsi_required"": true, ""slip_atr_k"": 0.04083111205206669, ""slip_spread_k"": 0.11595071149794445, ""spread_hl_frac"": 0.031369584135221305, ""strategy"": ""mean_reversion"", ""time_stop"": 38, ""tp_mult"": 2.3494053182720336, ""tsl_mult"": 0.4405308887745445, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.14110522452113564}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 10.518559575725908, ""atr_max_pct"": 0.13911891684408717, ""atr_min_pct"": 0.005165004519192944, ""bb_std_mult"": 2.7994377966778896, ""edge_cap"": 0.9912397680672166, ""edge_k"": 0.9835263140640449, ""ema1"": 13, ""ema2"": 52, ""p_adx"": 9, ""p_atr"": 13, ""p_sma"": 30, ""p_std"": 36, ""rsi_ob"": 88, ""rsi_os"": 11, ""rsi_period"": 63, ""rsi_required"": true, ""slip_atr_k"": 0.1129166316616384, ""slip_spread_k"": 0.09413892910049249, ""spread_hl_frac"": 0.04436016188049308, ""strategy"": ""mean_reversion"", ""time_stop"": 205, ""tp_mult"": 2.3360016177347003, ""tsl_mult"": 0.2550567553368033, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.020081481356504814}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 33.22633187722185, ""atr_max_pct"": 0.045368514395316036, ""atr_min_pct"": 0.021802451885143206, ""bb_std_mult"": 3.1032947167043927, ""edge_cap"": 0.2653801602557304, ""edge_k"": 1.9800141907418236, ""ema1"": 24, ""ema2"": 12, ""p_adx"": 21, ""p_atr"": 14, ""p_sma"": 54, ""p_std"": 14, ""rsi_ob"": 95, ""rsi_os"": 33, ""rsi_period"": 80, ""rsi_required"": false, ""slip_atr_k"": 0.03999060774208579, ""slip_spread_k"": 0.06423217143992743, ""spread_hl_frac"": 0.022227523347471762, ""strategy"": ""mean_reversion"", ""time_stop"": 223, ""tp_mult"": 2.8158332654446365, ""tsl_mult"": 0.6847226881391506, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.22895868084827414}"
3,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 9.429585896628028, ""atr_max_pct"": 0.11325682767922629, ""atr_min_pct"": 0.011421296937557963, ""bb_std_mult"": 1.2325613256554904, ""edge_cap"": 0.935513287366147, ""edge_k"": 1.7405143902539266, ""ema1"": 6, ""ema2"": 13, ""p_adx"": 16, ""p_atr"": 30, ""p_sma"": 31, ""p_std"": 9, ""rsi_ob"": 48, ""rsi_os"": 25, ""rsi_period"": 9, ""rsi_required"": false, ""slip_atr_k"": 0.0933252031420991, ""slip_spread_k"": 0.18452140330616829, ""spread_hl_frac"": 0.006444264821511803, ""strategy"": ""mean_reversion"", ""time_stop"": 127, ""tp_mult"": 2.749809824641974, ""tsl_mult"": 0.9294238862006963, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10366022433449952}"
4,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 26.864374935507715, ""atr_max_pct"": 0.12519578426101743, ""atr_min_pct"": 0.015513509403779545, ""bb_std_mult"": 1.2243900457533683, ""edge_cap"": 0.6097156062967221, ""edge_k"": 1.7544022965639487, ""ema1"": 21, ""ema2"": 31, ""p_adx"": 17, ""p_atr"": 16, ""p_sma"": 38, ""p_std"": 31, ""rsi_ob"": 64, ""rsi_os"": 36, ""rsi_period"": 18, ""rsi_required"": false, ""slip_atr_k"": 0.02872382032836837, ""slip_spread_k"": 0.2025824851018787, ""spread_hl_frac"": 0.043944774746907986, ""strategy"": ""breakout"", ""time_stop"": 296, ""tp_mult"": 1.6575013068267284, ""tsl_mult"": 0.3132171334518836, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.174887832008173}"
5,-0.028849180960077714,-0.028868256322713625,-0.028849180960077714,0.028868256322713625,-0.028849180960077714,-0.028868256322713625,226.0,breakout,1,"{""adx_thresh"": 31.61758154295068, ""atr_max_pct"": 0.07097171709187672, ""atr_min_pct"": 0.004659598308125567, ""bb_std_mult"": 0.6706357676689281, ""edge_cap"": 0.23371051844577112, ""edge_k"": 0.7178029677767668, ""ema1"": 30, ""ema2"": 31, ""p_adx"": 7, ""p_atr"": 15, ""p_sma"": 60, ""p_std"": 34, ""rsi_ob"": 50, ""rsi_os"": 6, ""rsi_period"": 77, ""rsi_required"": true, ""slip_atr_k"": 0.1905389436973959, ""slip_spread_k"": 0.27720088334861404, ""spread_hl_frac"": 0.04654089363054983, ""strategy"": ""breakout"", ""time_stop"": 193, ""tp_mult"": 2.9819453326458754, ""tsl_mult"": 0.3810573736781755, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17671042218481356}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 33.64688269530479, ""atr_max_pct"": 0.12719515905914072, ""atr_min_pct"": 0.02202043843185906, ""bb_std_mult"": 0.7717056612777101, ""edge_cap"": 0.36542391654481965, ""edge_k"": 0.8030276286091937, ""ema1"": 25, ""ema2"": 52, ""p_adx"": 23, ""p_atr"": 29, ""p_sma"": 41, ""p_std"": 50, ""rsi_ob"": 63, ""rsi_os"": 25, ""rsi_period"": 38, ""rsi_required"": false, ""slip_atr_k"": 0.20025138793079525, ""slip_spread_k"": 0.34749881372330993, ""spread_hl_frac"": 0.049874846368693854, ""strategy"": ""mean_reversion"", ""time_stop"": 170, ""tp_mult"": 1.5198984467508934, ""tsl_mult"": 0.9231463947225854, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10946238621717759}"
7,-0.07003418151842034,-0.06993268027284033,-1000000000.0,0.06993268027284033,-0.07003418151842034,-0.06993268027284033,1305.0,mean_reversion,1,"{""adx_thresh"": 26.893894367964112, ""atr_max_pct"": 0.07395136443563849, ""atr_min_pct"": 0.008081281356458008, ""bb_std_mult"": 2.9146256067480816, ""edge_cap"": 0.6997826919575724, ""edge_k"": 1.133923217473716, ""ema1"": 21, ""ema2"": 22, ""p_adx"": 13, ""p_atr"": 7, ""p_sma"": 48, ""p_std"": 50, ""rsi_ob"": 54, ""rsi_os"": 30, ""rsi_period"": 53, ""rsi_required"": false, ""slip_atr_k"": 0.12511210801366768, ""slip_spread_k"": 0.2851883255268093, ""spread_hl_frac"": 0.002775370833536173, ""strategy"": ""mean_reversion"", ""time_stop"": 253, ""tp_mult"": 2.286892392954385, ""tsl_mult"": 0.8141802979114309, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.28609592720964205}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 19.471202490287684, ""atr_max_pct"": 0.02243287717271615, ""atr_min_pct"": 0.026737388302718643, ""bb_std_mult"": 2.765268219728665, ""edge_cap"": 0.5356252948513431, ""edge_k"": 1.0462175427315221, ""ema1"": 5, ""ema2"": 50, ""p_adx"": 27, ""p_atr"": 29, ""p_sma"": 9, ""p_std"": 14, ""rsi_ob"": 61, ""rsi_os"": 43, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.1550156373947894, ""slip_spread_k"": 0.5516686454541706, ""spread_hl_frac"": 0.029771129704010697, ""strategy"": ""mean_reversion"", ""time_stop"": 188, ""tp_mult"": 2.668582288196291, ""tsl_mult"": 0.044396975656120885, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.19686901435978105}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 13.44913375946941, ""atr_max_pct"": 0.13633412704448025, ""atr_min_pct"": 0.010202287530587864, ""bb_std_mult"": 3.0178119256225107, ""edge_cap"": 0.7880014068255227, ""edge_k"": 1.3295784604929137, ""ema1"": 13, ""ema2"": 38, ""p_adx"": 30, ""p_atr"": 30, ""p_sma"": 17, ""p_std"": 48, ""rsi_ob"": 51, ""rsi_os"": 51, ""rsi_period"": 30, ""rsi_required"": false, ""slip_atr_k"": 0.2192069797146024, ""slip_spread_k"": 0.06670102141056655, ""spread_hl_frac"": 0.042044140056828494, ""strategy"": ""mean_reversion"", ""time_stop"": 60, ""tp_mult"": 1.4777431649196435, ""tsl_mult"": 0.12414789989190056, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.06345972988532297}"
