number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.4907884887478662,-0.49022289611821745,-1000000000.0,0.49022289611821745,-0.4907884887478662,-0.49022289611821745,828.0,breakout,1,"{""adx_thresh"": 13.884636921000787, ""atr_max_pct"": 0.10878361425204008, ""atr_min_pct"": 0.008430530719618926, ""bb_std_mult"": 1.7417189614076565, ""edge_cap"": 0.21053595830919963, ""edge_k"": 0.5465853662599682, ""ema1"": 25, ""ema2"": 26, ""p_adx"": 10, ""p_atr"": 25, ""p_sma"": 56, ""p_std"": 40, ""rsi_ob"": 87, ""rsi_os"": 41, ""rsi_period"": 13, ""rsi_required"": false, ""slip_atr_k"": 0.13526695536899191, ""slip_spread_k"": 0.24023517586800602, ""spread_hl_frac"": 0.027271146278795247, ""strategy"": ""breakout"", ""time_stop"": 57, ""tp_mult"": 1.8509668960776067, ""tsl_mult"": 0.05731598524720616, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17654434276400488}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 33.19295104902072, ""atr_max_pct"": 0.07086849617560383, ""atr_min_pct"": 0.011011286194816491, ""bb_std_mult"": 1.3122010581370778, ""edge_cap"": 0.3652976868838002, ""edge_k"": 1.277044361675612, ""ema1"": 30, ""ema2"": 47, ""p_adx"": 16, ""p_atr"": 15, ""p_sma"": 41, ""p_std"": 11, ""rsi_ob"": 51, ""rsi_os"": 20, ""rsi_period"": 41, ""rsi_required"": false, ""slip_atr_k"": 0.07805876458278826, ""slip_spread_k"": 0.8947552392940534, ""spread_hl_frac"": 0.03916367975872787, ""strategy"": ""mean_reversion"", ""time_stop"": 19, ""tp_mult"": 2.8350161731750454, ""tsl_mult"": 0.9472939210005341, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.12665140687007784}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 29.771532450317487, ""atr_max_pct"": 0.01744143572440366, ""atr_min_pct"": 0.012139109618218048, ""bb_std_mult"": 2.93806066313563, ""edge_cap"": 0.28607567661302924, ""edge_k"": 0.5468855903845675, ""ema1"": 18, ""ema2"": 24, ""p_adx"": 12, ""p_atr"": 26, ""p_sma"": 35, ""p_std"": 11, ""rsi_ob"": 45, ""rsi_os"": 29, ""rsi_period"": 47, ""rsi_required"": false, ""slip_atr_k"": 0.22610515791513752, ""slip_spread_k"": 0.42042700356617646, ""spread_hl_frac"": 0.04745072515181805, ""strategy"": ""breakout"", ""time_stop"": 64, ""tp_mult"": 1.526681705932146, ""tsl_mult"": 0.28115066105627173, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.017916234212774374}"
3,-0.002806285880117665,-0.002529393238758851,-1000000000.0,1000000000.0,-0.002806285880117665,-0.002529393238758851,31.0,mean_reversion,1,"{""adx_thresh"": 16.753843481583512, ""atr_max_pct"": 0.13890433777125588, ""atr_min_pct"": 0.010777257740366447, ""bb_std_mult"": 1.9785567540465854, ""edge_cap"": 0.1906136347675305, ""edge_k"": 0.1293458144297175, ""ema1"": 16, ""ema2"": 18, ""p_adx"": 13, ""p_atr"": 27, ""p_sma"": 5, ""p_std"": 39, ""rsi_ob"": 92, ""rsi_os"": 40, ""rsi_period"": 74, ""rsi_required"": true, ""slip_atr_k"": 0.014132907885235746, ""slip_spread_k"": 0.4228071934122273, ""spread_hl_frac"": 0.03679980273966663, ""strategy"": ""mean_reversion"", ""time_stop"": 92, ""tp_mult"": 1.0653579609895398, ""tsl_mult"": 0.2349904981777623, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1358052855202476}"
4,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 5.623965489788896, ""atr_max_pct"": 0.06482675015922161, ""atr_min_pct"": 0.002988744930436733, ""bb_std_mult"": 1.5072673271044235, ""edge_cap"": 0.8798912486898647, ""edge_k"": 1.7683176479963527, ""ema1"": 28, ""ema2"": 11, ""p_adx"": 12, ""p_atr"": 24, ""p_sma"": 59, ""p_std"": 31, ""rsi_ob"": 95, ""rsi_os"": 34, ""rsi_period"": 57, ""rsi_required"": true, ""slip_atr_k"": 0.044339181212666806, ""slip_spread_k"": 0.2962514934470256, ""spread_hl_frac"": 0.015631667375357934, ""strategy"": ""mean_reversion"", ""time_stop"": 167, ""tp_mult"": 2.2133026369643525, ""tsl_mult"": 0.8792924894608538, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.10643493362752345}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 21.121018560745192, ""atr_max_pct"": 0.13973444399218965, ""atr_min_pct"": 0.023017523957590234, ""bb_std_mult"": 1.7624961215867123, ""edge_cap"": 0.604750169670019, ""edge_k"": 0.9700143455252048, ""ema1"": 11, ""ema2"": 38, ""p_adx"": 13, ""p_atr"": 30, ""p_sma"": 30, ""p_std"": 44, ""rsi_ob"": 95, ""rsi_os"": 12, ""rsi_period"": 42, ""rsi_required"": true, ""slip_atr_k"": 0.06135566966914577, ""slip_spread_k"": 0.3422069204813598, ""spread_hl_frac"": 0.011435167353756832, ""strategy"": ""breakout"", ""time_stop"": 171, ""tp_mult"": 2.467203838694055, ""tsl_mult"": 0.07992740717930857, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.13661733777525797}"
6,-0.06168991672772628,-0.06134694147741845,-1000000000.0,0.06134694147741845,-0.06168991672772628,-0.06134694147741845,244.0,breakout,1,"{""adx_thresh"": 20.663554790233437, ""atr_max_pct"": 0.11035917423158524, ""atr_min_pct"": 0.007169440381938545, ""bb_std_mult"": 2.5175601503494835, ""edge_cap"": 0.06481421193482154, ""edge_k"": 1.3982906350405604, ""ema1"": 30, ""ema2"": 18, ""p_adx"": 23, ""p_atr"": 7, ""p_sma"": 45, ""p_std"": 37, ""rsi_ob"": 46, ""rsi_os"": 55, ""rsi_period"": 15, ""rsi_required"": false, ""slip_atr_k"": 0.2358101554620811, ""slip_spread_k"": 0.5364333261709561, ""spread_hl_frac"": 0.04596167054564073, ""strategy"": ""breakout"", ""time_stop"": 243, ""tp_mult"": 1.2053028753636226, ""tsl_mult"": 0.22648655200912526, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.14604379534002393}"
7,-0.00026882340526901416,0.0,-1000000000.0,1000000000.0,-0.00026882340526901416,0.0,1.0,breakout,1,"{""adx_thresh"": 10.234447401833894, ""atr_max_pct"": 0.14132448671525719, ""atr_min_pct"": 0.015607727493613733, ""bb_std_mult"": 0.8290072805777604, ""edge_cap"": 0.44595845982024823, ""edge_k"": 0.43171152583257943, ""ema1"": 16, ""ema2"": 38, ""p_adx"": 12, ""p_atr"": 7, ""p_sma"": 48, ""p_std"": 17, ""rsi_ob"": 86, ""rsi_os"": 19, ""rsi_period"": 25, ""rsi_required"": false, ""slip_atr_k"": 0.23220149786098368, ""slip_spread_k"": 0.3784823133858193, ""spread_hl_frac"": 0.01970142255152503, ""strategy"": ""breakout"", ""time_stop"": 225, ""tp_mult"": 2.3390367443735203, ""tsl_mult"": 0.46040947188739867, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.04501054477007919}"
8,-0.0009766692987428494,-0.0007907532318932615,-1000000000.0,1000000000.0,-0.0009766692987428494,-0.0007907532318932615,5.0,mean_reversion,1,"{""adx_thresh"": 25.11345831485144, ""atr_max_pct"": 0.11806490975886377, ""atr_min_pct"": 0.014535908311677852, ""bb_std_mult"": 2.436494966276411, ""edge_cap"": 0.9540605145348244, ""edge_k"": 1.718366405123043, ""ema1"": 7, ""ema2"": 33, ""p_adx"": 14, ""p_atr"": 28, ""p_sma"": 13, ""p_std"": 48, ""rsi_ob"": 95, ""rsi_os"": 19, ""rsi_period"": 16, ""rsi_required"": false, ""slip_atr_k"": 0.08604225503251434, ""slip_spread_k"": 0.8046139547333736, ""spread_hl_frac"": 0.04187481334143147, ""strategy"": ""mean_reversion"", ""time_stop"": 293, ""tp_mult"": 2.442999753044074, ""tsl_mult"": 0.30565244883057097, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.19653339458837443}"
9,0.000290777653043639,-0.0006859714483057297,-1000000000.0,1000000000.0,0.000290777653043639,-0.0006859714483057297,5.0,breakout,1,"{""adx_thresh"": 12.98967465126907, ""atr_max_pct"": 0.08633801048342238, ""atr_min_pct"": 0.004983163777070399, ""bb_std_mult"": 2.8338516325559695, ""edge_cap"": 0.6202069807917387, ""edge_k"": 0.3347441462638121, ""ema1"": 11, ""ema2"": 33, ""p_adx"": 8, ""p_atr"": 7, ""p_sma"": 19, ""p_std"": 18, ""rsi_ob"": 88, ""rsi_os"": 12, ""rsi_period"": 17, ""rsi_required"": false, ""slip_atr_k"": 0.07407328947521691, ""slip_spread_k"": 0.48285745287804827, ""spread_hl_frac"": 0.014949504076700953, ""strategy"": ""breakout"", ""time_stop"": 94, ""tp_mult"": 2.085549758346905, ""tsl_mult"": 0.425697781561171, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.16271404532196357}"
