number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.1281724444156851,-0.12817213183519666,-1000000000.0,0.12817213183519666,-0.1281724444156851,-0.12817213183519666,10397.0,breakout,1,"{""adx_thresh"": 31.185327353318044, ""atr_max_pct"": 0.11405713430683313, ""atr_min_pct"": 0.012336673488493637, ""bb_std_mult"": 2.213159581386396, ""edge_cap"": 0.14599170544992593, ""edge_k"": 0.6471105487097739, ""ema1"": 19, ""ema2"": 40, ""p_adx"": 30, ""p_atr"": 30, ""p_sma"": 17, ""p_std"": 19, ""rsi_ob"": 49, ""rsi_os"": 27, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.202505932949675, ""slip_spread_k"": 0.23186410511836908, ""slippage"": 5.716253962314444e-05, ""spread_hl_frac"": 0.04955217735756484, ""strategy"": ""breakout"", ""time_stop"": 132, ""tp_mult"": 1.4445071416110253, ""tsl_mult"": 0.8711290631896906, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1315088535329664}"
1,-0.00017489376722623629,-0.00014418153834700037,-1000000000.0,1000000000.0,-0.00017489376722623629,-0.00014418153834700037,3.0,mean_reversion,1,"{""adx_thresh"": 13.268001826616732, ""atr_max_pct"": 0.0489009046497347, ""atr_min_pct"": 0.010246232511105433, ""bb_std_mult"": 3.3066994982805835, ""edge_cap"": 0.504489448073308, ""edge_k"": 0.3589756515409084, ""ema1"": 14, ""ema2"": 20, ""p_adx"": 18, ""p_atr"": 8, ""p_sma"": 34, ""p_std"": 27, ""rsi_ob"": 56, ""rsi_os"": 33, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.16569723823047894, ""slip_spread_k"": 0.8856785928603772, ""slippage"": 0.0003961004321761408, ""spread_hl_frac"": 0.04158745528108054, ""strategy"": ""mean_reversion"", ""time_stop"": 95, ""tp_mult"": 2.749889549244664, ""tsl_mult"": 0.2874125387661921, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2837423894870186}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 31.42683822668247, ""atr_max_pct"": 0.06645727801866642, ""atr_min_pct"": 0.016189507856370973, ""bb_std_mult"": 3.379485721096465, ""edge_cap"": 0.09911578789749091, ""edge_k"": 0.7923119485882177, ""ema1"": 15, ""ema2"": 54, ""p_adx"": 13, ""p_atr"": 15, ""p_sma"": 49, ""p_std"": 38, ""rsi_ob"": 95, ""rsi_os"": 42, ""rsi_period"": 30, ""rsi_required"": false, ""slip_atr_k"": 0.21209954365536848, ""slip_spread_k"": 0.48657240071589836, ""slippage"": 0.00022028784424990623, ""spread_hl_frac"": 0.012298450751557, ""strategy"": ""mean_reversion"", ""time_stop"": 75, ""tp_mult"": 2.069430225083576, ""tsl_mult"": 0.5309835978053098, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0793058320432253}"
3,-0.998181879973839,-0.9982031585945179,-1000000000.0,0.9982031585945179,-0.998181879973839,-0.9982031585945179,16552.0,breakout,1,"{""adx_thresh"": 32.7544649359656, ""atr_max_pct"": 0.04589752022962595, ""atr_min_pct"": 0.0011824542752600453, ""bb_std_mult"": 2.2324389930635196, ""edge_cap"": 0.7184255426252244, ""edge_k"": 1.1936963558293494, ""ema1"": 9, ""ema2"": 50, ""p_adx"": 25, ""p_atr"": 26, ""p_sma"": 46, ""p_std"": 24, ""rsi_ob"": 77, ""rsi_os"": 14, ""rsi_period"": 36, ""rsi_required"": false, ""slip_atr_k"": 0.08784027047544399, ""slip_spread_k"": 0.9638015657212, ""slippage"": 0.00023588850003511153, ""spread_hl_frac"": 0.04325862897616717, ""strategy"": ""breakout"", ""time_stop"": 145, ""tp_mult"": 1.6322190987796776, ""tsl_mult"": 0.017576517577028716, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0202063089435778}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 7.154960740838697, ""atr_max_pct"": 0.13813171246782496, ""atr_min_pct"": 0.007688525187715639, ""bb_std_mult"": 2.256820281186696, ""edge_cap"": 0.8686886707464077, ""edge_k"": 1.4904020299774472, ""ema1"": 23, ""ema2"": 39, ""p_adx"": 21, ""p_atr"": 12, ""p_sma"": 26, ""p_std"": 22, ""rsi_ob"": 45, ""rsi_os"": 13, ""rsi_period"": 34, ""rsi_required"": false, ""slip_atr_k"": 0.20594214749814485, ""slip_spread_k"": 0.5787562079825809, ""slippage"": 0.00016879932705518049, ""spread_hl_frac"": 0.008031915712301297, ""strategy"": ""mean_reversion"", ""time_stop"": 298, ""tp_mult"": 2.59540659908629, ""tsl_mult"": 0.5327967575205474, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10723683802329605}"
5,-0.7959475654349811,-0.7959314020963468,-1000000000.0,0.7959314020963468,-0.7959475654349811,-0.7959314020963468,26333.0,breakout,1,"{""adx_thresh"": 30.54619951340508, ""atr_max_pct"": 0.08424113533850654, ""atr_min_pct"": 0.009381895114719312, ""bb_std_mult"": 1.3817375573685313, ""edge_cap"": 0.7893057869460757, ""edge_k"": 1.4456893484673323, ""ema1"": 7, ""ema2"": 45, ""p_adx"": 14, ""p_atr"": 15, ""p_sma"": 16, ""p_std"": 19, ""rsi_ob"": 84, ""rsi_os"": 37, ""rsi_period"": 38, ""rsi_required"": false, ""slip_atr_k"": 0.23192118017533725, ""slip_spread_k"": 0.15008228121859957, ""slippage"": 0.0004024442151881921, ""spread_hl_frac"": 0.00929230535184762, ""strategy"": ""breakout"", ""time_stop"": 82, ""tp_mult"": 1.240180658146198, ""tsl_mult"": 0.2744254838084098, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2648579723379944}"
6,-0.13448242775017294,-0.14647515373713943,-1000000000.0,0.14647515373713943,-0.13448242775017294,-0.14647515373713943,11178.0,breakout,1,"{""adx_thresh"": 29.024627118789258, ""atr_max_pct"": 0.05348066972434488, ""atr_min_pct"": 0.008822978126879842, ""bb_std_mult"": 1.612953640181207, ""edge_cap"": 0.8504560669946738, ""edge_k"": 1.8035527501204363, ""ema1"": 22, ""ema2"": 25, ""p_adx"": 18, ""p_atr"": 28, ""p_sma"": 30, ""p_std"": 18, ""rsi_ob"": 85, ""rsi_os"": 46, ""rsi_period"": 59, ""rsi_required"": true, ""slip_atr_k"": 0.009091615292803307, ""slip_spread_k"": 0.31048452942413807, ""slippage"": 0.00018873064693617964, ""spread_hl_frac"": 0.014339544636314573, ""strategy"": ""breakout"", ""time_stop"": 165, ""tp_mult"": 2.4952192386298844, ""tsl_mult"": 0.24952174716237285, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.004367649925963712}"
7,-0.5734778034469263,-0.5734552945856068,-1000000000.0,0.5734552945856068,-0.5734778034469263,-0.5734552945856068,19043.0,breakout,1,"{""adx_thresh"": 23.869666969706078, ""atr_max_pct"": 0.1160620618405979, ""atr_min_pct"": 0.021865738245710253, ""bb_std_mult"": 2.913533545252263, ""edge_cap"": 0.9685674237165698, ""edge_k"": 1.880733267239109, ""ema1"": 14, ""ema2"": 25, ""p_adx"": 7, ""p_atr"": 21, ""p_sma"": 41, ""p_std"": 6, ""rsi_ob"": 67, ""rsi_os"": 18, ""rsi_period"": 78, ""rsi_required"": false, ""slip_atr_k"": 0.21982463648633374, ""slip_spread_k"": 0.5239672105096632, ""slippage"": 0.0002851074755895332, ""spread_hl_frac"": 0.013424763356947755, ""strategy"": ""breakout"", ""time_stop"": 281, ""tp_mult"": 2.1108128304115548, ""tsl_mult"": 0.3400703227850952, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.013748091168072196}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 26.592558294213177, ""atr_max_pct"": 0.04466975963556385, ""atr_min_pct"": 0.029128737291445356, ""bb_std_mult"": 3.1541845033153715, ""edge_cap"": 0.6020939017699086, ""edge_k"": 1.7113959004410695, ""ema1"": 30, ""ema2"": 60, ""p_adx"": 16, ""p_atr"": 27, ""p_sma"": 54, ""p_std"": 35, ""rsi_ob"": 56, ""rsi_os"": 49, ""rsi_period"": 52, ""rsi_required"": false, ""slip_atr_k"": 0.19845451188771118, ""slip_spread_k"": 0.37736090848735293, ""slippage"": 0.00015373821711209078, ""spread_hl_frac"": 0.0003912167933779243, ""strategy"": ""mean_reversion"", ""time_stop"": 252, ""tp_mult"": 1.284693923227888, ""tsl_mult"": 0.26931955474113856, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.16859841451573052}"
9,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 15.136395001420977, ""atr_max_pct"": 0.01199159002420043, ""atr_min_pct"": 0.01626515525303319, ""bb_std_mult"": 1.7529617038207497, ""edge_cap"": 0.8442887247675133, ""edge_k"": 1.8561348092800274, ""ema1"": 6, ""ema2"": 32, ""p_adx"": 28, ""p_atr"": 15, ""p_sma"": 18, ""p_std"": 30, ""rsi_ob"": 89, ""rsi_os"": 46, ""rsi_period"": 77, ""rsi_required"": false, ""slip_atr_k"": 0.06503358315523936, ""slip_spread_k"": 0.044616827857397734, ""slippage"": 0.0002811610567239735, ""spread_hl_frac"": 0.034607095073233486, ""strategy"": ""breakout"", ""time_stop"": 208, ""tp_mult"": 1.4216169230400788, ""tsl_mult"": 0.16658954773316503, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.01783256643558868}"
