number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 32.86845176286738, ""atr_max_pct"": 0.1463538815560544, ""atr_min_pct"": 0.01186362133037461, ""bb_std_mult"": 2.8863583873888135, ""edge_cap"": 0.056225352547105895, ""edge_k"": 0.4700875630490693, ""ema1"": 19, ""ema2"": 25, ""p_adx"": 7, ""p_atr"": 26, ""p_sma"": 42, ""p_std"": 32, ""rsi_ob"": 64, ""rsi_os"": 43, ""rsi_period"": 70, ""rsi_required"": true, ""slip_atr_k"": 0.011673930126738313, ""slip_spread_k"": 0.9906273994707961, ""spread_hl_frac"": 0.00034128665218275956, ""strategy"": ""breakout"", ""time_stop"": 169, ""tp_mult"": 2.053585283596728, ""tsl_mult"": 0.09361309329775258, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.14824423567229275}"
1,-0.16337104992585738,-0.1632945607436732,-1000000000.0,0.1632945607436732,-0.16337104992585738,-0.1632945607436732,2958.0,breakout,1,"{""adx_thresh"": 21.481352534482156, ""atr_max_pct"": 0.03852196871764721, ""atr_min_pct"": 0.011320013617361903, ""bb_std_mult"": 1.283159913472386, ""edge_cap"": 0.0649931093355095, ""edge_k"": 1.9159599978781716, ""ema1"": 6, ""ema2"": 36, ""p_adx"": 29, ""p_atr"": 11, ""p_sma"": 55, ""p_std"": 35, ""rsi_ob"": 68, ""rsi_os"": 54, ""rsi_period"": 49, ""rsi_required"": false, ""slip_atr_k"": 0.1600356351285812, ""slip_spread_k"": 0.8006581636464106, ""spread_hl_frac"": 0.041745942584530515, ""strategy"": ""breakout"", ""time_stop"": 216, ""tp_mult"": 2.8317703729698915, ""tsl_mult"": 0.9391774228853117, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.0792273509564616}"
2,-0.0001994551145746426,-0.00042465088673776557,-1000000000.0,1000000000.0,-0.0001994551145746426,-0.00042465088673776557,11.0,breakout,1,"{""adx_thresh"": 23.416401254872664, ""atr_max_pct"": 0.12577250460589073, ""atr_min_pct"": 0.007309689120904997, ""bb_std_mult"": 2.733294428985009, ""edge_cap"": 0.19688912649167437, ""edge_k"": 0.8298825683228239, ""ema1"": 28, ""ema2"": 17, ""p_adx"": 23, ""p_atr"": 27, ""p_sma"": 22, ""p_std"": 7, ""rsi_ob"": 56, ""rsi_os"": 46, ""rsi_period"": 71, ""rsi_required"": true, ""slip_atr_k"": 0.11750715518872448, ""slip_spread_k"": 0.546268635370521, ""spread_hl_frac"": 0.025812645415334148, ""strategy"": ""breakout"", ""time_stop"": 93, ""tp_mult"": 1.936403137980506, ""tsl_mult"": 0.6910298786484265, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0316620027148146}"
3,-0.41102392458612447,-0.41096707762473195,-1000000000.0,0.41096707762473195,-0.41102392458612447,-0.41096707762473195,6543.0,mean_reversion,1,"{""adx_thresh"": 20.49309598028352, ""atr_max_pct"": 0.11869923278466722, ""atr_min_pct"": 0.02317741560974878, ""bb_std_mult"": 0.9127217873501924, ""edge_cap"": 0.24757138762878694, ""edge_k"": 1.8001146703959787, ""ema1"": 6, ""ema2"": 46, ""p_adx"": 17, ""p_atr"": 18, ""p_sma"": 33, ""p_std"": 50, ""rsi_ob"": 88, ""rsi_os"": 15, ""rsi_period"": 32, ""rsi_required"": false, ""slip_atr_k"": 0.18783842786304839, ""slip_spread_k"": 0.6150394102106409, ""spread_hl_frac"": 0.045108970544990516, ""strategy"": ""mean_reversion"", ""time_stop"": 123, ""tp_mult"": 2.114179351662295, ""tsl_mult"": 0.689531603407933, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.19833509794342605}"
4,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 14.566933487265512, ""atr_max_pct"": 0.09790046103559603, ""atr_min_pct"": 0.021218487118878186, ""bb_std_mult"": 2.859161990842456, ""edge_cap"": 0.46688471970120593, ""edge_k"": 0.3745719920941397, ""ema1"": 25, ""ema2"": 17, ""p_adx"": 22, ""p_atr"": 10, ""p_sma"": 58, ""p_std"": 17, ""rsi_ob"": 92, ""rsi_os"": 46, ""rsi_period"": 9, ""rsi_required"": true, ""slip_atr_k"": 0.021622755492695295, ""slip_spread_k"": 0.8189784868020457, ""spread_hl_frac"": 0.04816349223220614, ""strategy"": ""breakout"", ""time_stop"": 29, ""tp_mult"": 2.3731908947417724, ""tsl_mult"": 0.7131297895257728, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.12415221826748324}"
5,-0.4530436905391071,-0.45294199157612586,-1000000000.0,0.45294199157612586,-0.4530436905391071,-0.45294199157612586,4803.0,breakout,1,"{""adx_thresh"": 18.961583601101395, ""atr_max_pct"": 0.08135046179274977, ""atr_min_pct"": 0.025089527198964675, ""bb_std_mult"": 0.9708101572423073, ""edge_cap"": 0.36653578225188255, ""edge_k"": 0.30708923928473686, ""ema1"": 5, ""ema2"": 44, ""p_adx"": 16, ""p_atr"": 11, ""p_sma"": 19, ""p_std"": 56, ""rsi_ob"": 88, ""rsi_os"": 36, ""rsi_period"": 70, ""rsi_required"": false, ""slip_atr_k"": 0.003510632695741034, ""slip_spread_k"": 0.9281666255324722, ""spread_hl_frac"": 0.005709899647800993, ""strategy"": ""breakout"", ""time_stop"": 173, ""tp_mult"": 1.9267281079983518, ""tsl_mult"": 0.2936366812621213, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.13091163753996035}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 7.513952906097669, ""atr_max_pct"": 0.07546442717678416, ""atr_min_pct"": 0.017731370402625946, ""bb_std_mult"": 3.2625060440007627, ""edge_cap"": 0.4513099968083949, ""edge_k"": 0.6690781691306213, ""ema1"": 8, ""ema2"": 16, ""p_adx"": 27, ""p_atr"": 17, ""p_sma"": 58, ""p_std"": 28, ""rsi_ob"": 46, ""rsi_os"": 24, ""rsi_period"": 10, ""rsi_required"": true, ""slip_atr_k"": 0.24737725031766317, ""slip_spread_k"": 0.0893868021046419, ""spread_hl_frac"": 0.020123642225835466, ""strategy"": ""breakout"", ""time_stop"": 137, ""tp_mult"": 1.7191824365285007, ""tsl_mult"": 0.8492095740634524, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.12581937395218956}"
7,-0.09112613604804176,-0.09103142995818983,-1000000000.0,0.09103142995818983,-0.09112613604804176,-0.09103142995818983,1485.0,mean_reversion,1,"{""adx_thresh"": 11.892128713498483, ""atr_max_pct"": 0.04245070339159846, ""atr_min_pct"": 0.0033098496520630447, ""bb_std_mult"": 2.483178637247283, ""edge_cap"": 0.5879774973922509, ""edge_k"": 0.5866614052075516, ""ema1"": 20, ""ema2"": 45, ""p_adx"": 16, ""p_atr"": 9, ""p_sma"": 60, ""p_std"": 59, ""rsi_ob"": 78, ""rsi_os"": 8, ""rsi_period"": 68, ""rsi_required"": false, ""slip_atr_k"": 0.2144591569367168, ""slip_spread_k"": 0.3561315526921506, ""spread_hl_frac"": 0.03501568949671092, ""strategy"": ""mean_reversion"", ""time_stop"": 40, ""tp_mult"": 2.9020468832834134, ""tsl_mult"": 0.8606919003587105, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.015296518957578997}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 13.963092005401563, ""atr_max_pct"": 0.07017373675934219, ""atr_min_pct"": 0.025914359725726345, ""bb_std_mult"": 1.6684212336376003, ""edge_cap"": 0.17887847135291912, ""edge_k"": 1.5290590652766782, ""ema1"": 7, ""ema2"": 23, ""p_adx"": 19, ""p_atr"": 27, ""p_sma"": 50, ""p_std"": 35, ""rsi_ob"": 61, ""rsi_os"": 44, ""rsi_period"": 26, ""rsi_required"": true, ""slip_atr_k"": 0.1545050564304644, ""slip_spread_k"": 0.4604003153274, ""spread_hl_frac"": 0.03702786841505547, ""strategy"": ""mean_reversion"", ""time_stop"": 54, ""tp_mult"": 1.4974311849281396, ""tsl_mult"": 0.9578669016454008, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.29292008131594593}"
9,-0.3136440487645692,-0.3133960612381145,-1000000000.0,0.3133960612381145,-0.3136440487645692,-0.3133960612381145,1556.0,breakout,1,"{""adx_thresh"": 28.374242453129966, ""atr_max_pct"": 0.06809130489992503, ""atr_min_pct"": 0.008570624741253821, ""bb_std_mult"": 2.9847429713665434, ""edge_cap"": 0.6111195322785037, ""edge_k"": 1.0945805606805987, ""ema1"": 27, ""ema2"": 36, ""p_adx"": 18, ""p_atr"": 11, ""p_sma"": 50, ""p_std"": 20, ""rsi_ob"": 80, ""rsi_os"": 24, ""rsi_period"": 64, ""rsi_required"": false, ""slip_atr_k"": 0.07249165577256442, ""slip_spread_k"": 0.4242363418663041, ""spread_hl_frac"": 0.04774359338035533, ""strategy"": ""breakout"", ""time_stop"": 296, ""tp_mult"": 2.243172359443965, ""tsl_mult"": 0.15429501475117713, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.12768806974380156}"
