number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 28.63199308275962, ""atr_max_pct"": 0.04481742776113153, ""atr_min_pct"": 0.010959617420019316, ""bb_std_mult"": 2.4338570555901216, ""edge_cap"": 0.33540960606127923, ""edge_k"": 1.5149171314037375, ""ema1"": 24, ""ema2"": 40, ""p_adx"": 11, ""p_atr"": 22, ""p_sma"": 53, ""p_std"": 43, ""rsi_ob"": 49, ""rsi_os"": 40, ""rsi_period"": 35, ""rsi_required"": false, ""slip_atr_k"": 0.24696322502973375, ""slip_spread_k"": 0.3940207384683744, ""spread_hl_frac"": 0.031261524142979384, ""strategy"": ""mean_reversion"", ""time_stop"": 98, ""tp_mult"": 1.2855505690904674, ""tsl_mult"": 0.8476348117437108, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1324258447173388}"
1,44.370163867483676,-0.0012814733420703501,44.370163867483676,0.0012814733420703501,44.370163867483676,-0.0012814733420703501,6213.0,breakout,1,"{""adx_thresh"": 8.515016292392874, ""atr_max_pct"": 0.05413941632349419, ""atr_min_pct"": 0.008730869460811202, ""bb_std_mult"": 1.9606030486581854, ""edge_cap"": 0.8272424436154064, ""edge_k"": 0.589809689127845, ""ema1"": 27, ""ema2"": 58, ""p_adx"": 21, ""p_atr"": 11, ""p_sma"": 21, ""p_std"": 37, ""rsi_ob"": 57, ""rsi_os"": 12, ""rsi_period"": 62, ""rsi_required"": true, ""slip_atr_k"": 0.04345920003534395, ""slip_spread_k"": 0.5161956311915524, ""spread_hl_frac"": 0.012795057436762703, ""strategy"": ""breakout"", ""time_stop"": 51, ""tp_mult"": 1.4800098819680396, ""tsl_mult"": 0.28228239621635554, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.28548558514773015}"
2,1.9944125941240074,-0.004657642215195432,1.9944125941240074,0.004657642215195432,1.9944125941240074,-0.004657642215195432,2683.0,breakout,1,"{""adx_thresh"": 28.710846074091705, ""atr_max_pct"": 0.08576401171351909, ""atr_min_pct"": 0.010082091970625397, ""bb_std_mult"": 2.3906668709793393, ""edge_cap"": 0.9749628271154349, ""edge_k"": 0.9854993560716945, ""ema1"": 7, ""ema2"": 11, ""p_adx"": 26, ""p_atr"": 18, ""p_sma"": 6, ""p_std"": 42, ""rsi_ob"": 80, ""rsi_os"": 55, ""rsi_period"": 24, ""rsi_required"": true, ""slip_atr_k"": 0.18031650870638857, ""slip_spread_k"": 0.04545653398376015, ""spread_hl_frac"": 0.047743596780204706, ""strategy"": ""breakout"", ""time_stop"": 167, ""tp_mult"": 2.8435614654220243, ""tsl_mult"": 0.7461253138643402, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2284440392447935}"
3,215.10443826892777,-7.191320391483154e-05,215.10443826892777,7.191320391483154e-05,215.10443826892777,-7.191320391483154e-05,7468.0,mean_reversion,1,"{""adx_thresh"": 27.926754716194843, ""atr_max_pct"": 0.06393139449558306, ""atr_min_pct"": 0.0061879586494537776, ""bb_std_mult"": 3.3763835273684286, ""edge_cap"": 0.07290894705288549, ""edge_k"": 1.8935589387045622, ""ema1"": 12, ""ema2"": 27, ""p_adx"": 30, ""p_atr"": 11, ""p_sma"": 43, ""p_std"": 42, ""rsi_ob"": 94, ""rsi_os"": 26, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.0007783526013381836, ""slip_spread_k"": 0.10098639887045602, ""spread_hl_frac"": 0.04463221025633279, ""strategy"": ""mean_reversion"", ""time_stop"": 280, ""tp_mult"": 1.2756158721728994, ""tsl_mult"": 0.5467658166773304, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1292276313089462}"
4,1.4000069217278952,-0.010658678158603108,1.4000069217278952,0.010658678158603108,1.4000069217278952,-0.010658678158603108,4001.0,breakout,1,"{""adx_thresh"": 29.49084065124356, ""atr_max_pct"": 0.12036529609590535, ""atr_min_pct"": 0.0037423381734854487, ""bb_std_mult"": 2.740234987685685, ""edge_cap"": 0.4956038658882741, ""edge_k"": 0.3923554349110616, ""ema1"": 15, ""ema2"": 11, ""p_adx"": 23, ""p_atr"": 25, ""p_sma"": 56, ""p_std"": 47, ""rsi_ob"": 88, ""rsi_os"": 39, ""rsi_period"": 44, ""rsi_required"": true, ""slip_atr_k"": 0.1987938209892573, ""slip_spread_k"": 0.24541961106154053, ""spread_hl_frac"": 0.03107657911563734, ""strategy"": ""breakout"", ""time_stop"": 224, ""tp_mult"": 2.7262689659914074, ""tsl_mult"": 0.3550084058104398, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.17557787444424378}"
5,96.74363860968298,-0.000546481419630095,96.74363860968298,0.000546481419630095,96.74363860968298,-0.000546481419630095,6766.0,breakout,1,"{""adx_thresh"": 30.46676014251613, ""atr_max_pct"": 0.12072064683958511, ""atr_min_pct"": 0.009792349658510936, ""bb_std_mult"": 2.9892852975437503, ""edge_cap"": 0.6319433548942608, ""edge_k"": 0.2572413962377351, ""ema1"": 5, ""ema2"": 17, ""p_adx"": 18, ""p_atr"": 14, ""p_sma"": 9, ""p_std"": 17, ""rsi_ob"": 52, ""rsi_os"": 36, ""rsi_period"": 52, ""rsi_required"": false, ""slip_atr_k"": 0.028231373092107492, ""slip_spread_k"": 0.13244646330597287, ""spread_hl_frac"": 0.03151099115245528, ""strategy"": ""breakout"", ""time_stop"": 161, ""tp_mult"": 1.5747262945918687, ""tsl_mult"": 0.5450350108840092, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.15835137602703528}"
6,5.043752168360965,-0.003502024202500733,5.043752168360965,0.003502024202500733,5.043752168360965,-0.003502024202500733,4794.0,breakout,1,"{""adx_thresh"": 9.485999128563456, ""atr_max_pct"": 0.09753061792848314, ""atr_min_pct"": 0.011289742005313947, ""bb_std_mult"": 2.811524435823184, ""edge_cap"": 0.8115617529620873, ""edge_k"": 0.5703531192046933, ""ema1"": 17, ""ema2"": 46, ""p_adx"": 21, ""p_atr"": 30, ""p_sma"": 47, ""p_std"": 42, ""rsi_ob"": 51, ""rsi_os"": 43, ""rsi_period"": 27, ""rsi_required"": false, ""slip_atr_k"": 0.1431411788240945, ""slip_spread_k"": 0.1646578845776916, ""spread_hl_frac"": 0.016204963060902546, ""strategy"": ""breakout"", ""time_stop"": 100, ""tp_mult"": 2.793247584059279, ""tsl_mult"": 0.358363938237778, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.18781824031936953}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 15.224830708196114, ""atr_max_pct"": 0.025960620145072024, ""atr_min_pct"": 0.02829168376005333, ""bb_std_mult"": 1.3292220800083807, ""edge_cap"": 0.4428602886448388, ""edge_k"": 0.564537191652104, ""ema1"": 10, ""ema2"": 54, ""p_adx"": 8, ""p_atr"": 14, ""p_sma"": 22, ""p_std"": 49, ""rsi_ob"": 71, ""rsi_os"": 49, ""rsi_period"": 73, ""rsi_required"": true, ""slip_atr_k"": 0.04687859807057676, ""slip_spread_k"": 0.10817329761446293, ""spread_hl_frac"": 0.015782766035401692, ""strategy"": ""mean_reversion"", ""time_stop"": 37, ""tp_mult"": 1.6974070269461456, ""tsl_mult"": 0.215469956685873, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.28189301775683917}"
8,11.453787653377118,-0.0019116140306011744,11.453787653377118,0.0019116140306011744,11.453787653377118,-0.0019116140306011744,4523.0,breakout,1,"{""adx_thresh"": 33.88350820836428, ""atr_max_pct"": 0.07120410387871201, ""atr_min_pct"": 0.013778922987149746, ""bb_std_mult"": 1.7056837439605785, ""edge_cap"": 0.514429229558994, ""edge_k"": 1.399837215643296, ""ema1"": 18, ""ema2"": 32, ""p_adx"": 23, ""p_atr"": 20, ""p_sma"": 10, ""p_std"": 37, ""rsi_ob"": 53, ""rsi_os"": 39, ""rsi_period"": 14, ""rsi_required"": false, ""slip_atr_k"": 0.0878882236770123, ""slip_spread_k"": 0.10891400493312597, ""spread_hl_frac"": 0.027710311374220094, ""strategy"": ""breakout"", ""time_stop"": 54, ""tp_mult"": 1.2014935971674203, ""tsl_mult"": 0.8646019497198599, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.015918066667982334}"
9,3.4245378308864707,-0.0049479022527270005,3.4245378308864707,0.0049479022527270005,3.4245378308864707,-0.0049479022527270005,3955.0,breakout,1,"{""adx_thresh"": 18.90029574474809, ""atr_max_pct"": 0.11048928170832438, ""atr_min_pct"": 0.02680160649932083, ""bb_std_mult"": 2.122713758614176, ""edge_cap"": 0.5876616247637583, ""edge_k"": 1.4280167205885275, ""ema1"": 28, ""ema2"": 29, ""p_adx"": 25, ""p_atr"": 30, ""p_sma"": 16, ""p_std"": 55, ""rsi_ob"": 59, ""rsi_os"": 32, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.158665553496025, ""slip_spread_k"": 0.12369652975441858, ""spread_hl_frac"": 0.006957476686940179, ""strategy"": ""breakout"", ""time_stop"": 141, ""tp_mult"": 1.5742761831569376, ""tsl_mult"": 0.6673935075168727, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17534862933353598}"
