number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.5175436063034515,-0.002916711424519356,0.5175436063034515,0.002916711424519356,0.5175436063034515,-0.002916711424519356,2245.0,breakout,1,"{""adx_thresh"": 7.391288226893995, ""atr_max_pct"": 0.0949429695382406, ""atr_min_pct"": 0.028212946933272854, ""bb_std_mult"": 3.3207805544904394, ""edge_cap"": 0.7481267057501023, ""edge_k"": 0.046356370343846764, ""ema1"": 13, ""ema2"": 25, ""p_adx"": 26, ""p_atr"": 23, ""p_sma"": 38, ""p_std"": 11, ""rsi_ob"": 75, ""rsi_os"": 55, ""rsi_period"": 79, ""rsi_required"": true, ""slip_atr_k"": 0.1293124403797873, ""slip_spread_k"": 0.6531567249096712, ""spread_hl_frac"": 0.04711234129586193, ""strategy"": ""breakout"", ""time_stop"": 169, ""tp_mult"": 2.0539937466543248, ""tsl_mult"": 0.5629274617267487, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.10680189531113916}"
1,0.18667721738434784,-0.004921750078496561,0.18667721738434784,0.004921750078496561,0.18667721738434784,-0.004921750078496561,1435.0,breakout,1,"{""adx_thresh"": 34.7619423057994, ""atr_max_pct"": 0.12153953608259661, ""atr_min_pct"": 0.017357841337151847, ""bb_std_mult"": 0.578511779676262, ""edge_cap"": 0.603001648424682, ""edge_k"": 1.1342391964312153, ""ema1"": 11, ""ema2"": 35, ""p_adx"": 23, ""p_atr"": 24, ""p_sma"": 20, ""p_std"": 56, ""rsi_ob"": 88, ""rsi_os"": 35, ""rsi_period"": 36, ""rsi_required"": true, ""slip_atr_k"": 0.21576682651555987, ""slip_spread_k"": 0.43592980034467366, ""spread_hl_frac"": 0.01927372110099398, ""strategy"": ""breakout"", ""time_stop"": 22, ""tp_mult"": 1.0881684629664534, ""tsl_mult"": 0.4940267629271583, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.05060701839425558}"
2,1.394691829142697,-0.0012959869340223857,1.394691829142697,0.0012959869340223857,1.394691829142697,-0.0012959869340223857,2911.0,breakout,1,"{""adx_thresh"": 27.05377662793997, ""atr_max_pct"": 0.06402528641449082, ""atr_min_pct"": 0.025910764992893544, ""bb_std_mult"": 0.5188684529535704, ""edge_cap"": 0.432029755035754, ""edge_k"": 0.36498197184495185, ""ema1"": 21, ""ema2"": 37, ""p_adx"": 11, ""p_atr"": 13, ""p_sma"": 19, ""p_std"": 6, ""rsi_ob"": 81, ""rsi_os"": 34, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.07535981541607562, ""slip_spread_k"": 0.36786344424654627, ""spread_hl_frac"": 0.01722581168973802, ""strategy"": ""breakout"", ""time_stop"": 105, ""tp_mult"": 1.0135270458615835, ""tsl_mult"": 0.10845182738943948, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1568981618647013}"
3,1.0191784805533017,-0.0013880464249808142,1.0191784805533017,0.0013880464249808142,1.0191784805533017,-0.0013880464249808142,1824.0,mean_reversion,1,"{""adx_thresh"": 13.26897610383677, ""atr_max_pct"": 0.09858494481505319, ""atr_min_pct"": 0.012115561991975164, ""bb_std_mult"": 1.2652219164773992, ""edge_cap"": 0.10458356785359535, ""edge_k"": 1.5825321773399423, ""ema1"": 15, ""ema2"": 45, ""p_adx"": 27, ""p_atr"": 28, ""p_sma"": 6, ""p_std"": 22, ""rsi_ob"": 81, ""rsi_os"": 10, ""rsi_period"": 9, ""rsi_required"": true, ""slip_atr_k"": 0.08762728121581745, ""slip_spread_k"": 0.03682777819862071, ""spread_hl_frac"": 0.03482260027007791, ""strategy"": ""mean_reversion"", ""time_stop"": 194, ""tp_mult"": 1.7988165597419161, ""tsl_mult"": 0.386420735837149, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2784784821807228}"
4,4.486454842031042,-8.657538571837001e-05,4.486454842031042,8.657538571837001e-05,4.486454842031042,-8.657538571837001e-05,3842.0,breakout,1,"{""adx_thresh"": 15.911357261158114, ""atr_max_pct"": 0.05913082694207202, ""atr_min_pct"": 0.016663906423939265, ""bb_std_mult"": 2.927860144995792, ""edge_cap"": 0.5529018200615403, ""edge_k"": 0.2555657918782246, ""ema1"": 7, ""ema2"": 24, ""p_adx"": 16, ""p_atr"": 12, ""p_sma"": 31, ""p_std"": 5, ""rsi_ob"": 81, ""rsi_os"": 50, ""rsi_period"": 46, ""rsi_required"": true, ""slip_atr_k"": 0.0075732620348694935, ""slip_spread_k"": 0.5997883818075048, ""spread_hl_frac"": 0.0017018337062731316, ""strategy"": ""breakout"", ""time_stop"": 252, ""tp_mult"": 2.7086846695197475, ""tsl_mult"": 0.9213746847556133, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.053562159379224525}"
5,1.9883326707942004,-0.0006383325090071408,1.9883326707942004,0.0006383325090071408,1.9883326707942004,-0.0006383325090071408,2685.0,breakout,1,"{""adx_thresh"": 13.544383526532327, ""atr_max_pct"": 0.03836225351207035, ""atr_min_pct"": 0.014279704167982896, ""bb_std_mult"": 0.7093491542238751, ""edge_cap"": 0.7905737640752956, ""edge_k"": 1.4939393496469175, ""ema1"": 14, ""ema2"": 23, ""p_adx"": 14, ""p_atr"": 8, ""p_sma"": 23, ""p_std"": 33, ""rsi_ob"": 64, ""rsi_os"": 20, ""rsi_period"": 59, ""rsi_required"": true, ""slip_atr_k"": 0.04574778462476853, ""slip_spread_k"": 0.26243398285604225, ""spread_hl_frac"": 0.008575724719384004, ""strategy"": ""breakout"", ""time_stop"": 137, ""tp_mult"": 2.5167025789895354, ""tsl_mult"": 0.767423826731515, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.12320432870225226}"
6,0.7813389855787045,-0.0019499385777657435,0.7813389855787045,0.0019499385777657435,0.7813389855787045,-0.0019499385777657435,2048.0,breakout,1,"{""adx_thresh"": 33.653946496187366, ""atr_max_pct"": 0.015286039587056656, ""atr_min_pct"": 0.010178450290053835, ""bb_std_mult"": 1.317780363035126, ""edge_cap"": 0.4858521775733524, ""edge_k"": 1.7592989279200721, ""ema1"": 15, ""ema2"": 40, ""p_adx"": 28, ""p_atr"": 19, ""p_sma"": 11, ""p_std"": 27, ""rsi_ob"": 74, ""rsi_os"": 13, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.12342480136439737, ""slip_spread_k"": 0.25422339088022794, ""spread_hl_frac"": 0.002474750122154446, ""strategy"": ""breakout"", ""time_stop"": 18, ""tp_mult"": 2.3943507852755204, ""tsl_mult"": 0.3832547765628501, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.23380600399323873}"
7,1.1887681698288035,-0.0011592931480716804,1.1887681698288035,0.0011592931480716804,1.1887681698288035,-0.0011592931480716804,2568.0,mean_reversion,1,"{""adx_thresh"": 6.41685092384464, ""atr_max_pct"": 0.08330396076058304, ""atr_min_pct"": 0.009625112282544574, ""bb_std_mult"": 1.609282427321043, ""edge_cap"": 0.5835709454684881, ""edge_k"": 1.6859272481281011, ""ema1"": 27, ""ema2"": 60, ""p_adx"": 24, ""p_atr"": 11, ""p_sma"": 44, ""p_std"": 15, ""rsi_ob"": 65, ""rsi_os"": 14, ""rsi_period"": 79, ""rsi_required"": false, ""slip_atr_k"": 0.10130937933827858, ""slip_spread_k"": 0.19969309754775322, ""spread_hl_frac"": 0.016872837986070793, ""strategy"": ""mean_reversion"", ""time_stop"": 268, ""tp_mult"": 2.02946915780028, ""tsl_mult"": 0.009274366263756328, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.19159166685402992}"
8,1.0033291750067481,-0.001222335762211216,1.0033291750067481,0.001222335762211216,1.0033291750067481,-0.001222335762211216,2419.0,breakout,1,"{""adx_thresh"": 33.42494299508941, ""atr_max_pct"": 0.14072035711839812, ""atr_min_pct"": 0.018169839639350926, ""bb_std_mult"": 3.0538698541936076, ""edge_cap"": 0.08913819292658962, ""edge_k"": 0.8673748800522332, ""ema1"": 17, ""ema2"": 60, ""p_adx"": 30, ""p_atr"": 24, ""p_sma"": 29, ""p_std"": 28, ""rsi_ob"": 58, ""rsi_os"": 38, ""rsi_period"": 32, ""rsi_required"": false, ""slip_atr_k"": 0.09981148677653187, ""slip_spread_k"": 0.515387303728837, ""spread_hl_frac"": 0.015754581200387186, ""strategy"": ""breakout"", ""time_stop"": 267, ""tp_mult"": 2.020210529660162, ""tsl_mult"": 0.7361730653263001, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.16815691561663704}"
9,2.3510129621303495,-0.0002612100428586661,2.3510129621303495,0.0002612100428586661,2.3510129621303495,-0.0002612100428586661,2748.0,mean_reversion,1,"{""adx_thresh"": 17.909026044594516, ""atr_max_pct"": 0.012153382182962141, ""atr_min_pct"": 0.004018113174881417, ""bb_std_mult"": 1.9249898855959624, ""edge_cap"": 0.9294261735595732, ""edge_k"": 0.12776043775482515, ""ema1"": 15, ""ema2"": 42, ""p_adx"": 8, ""p_atr"": 11, ""p_sma"": 53, ""p_std"": 35, ""rsi_ob"": 80, ""rsi_os"": 15, ""rsi_period"": 25, ""rsi_required"": true, ""slip_atr_k"": 0.026070563868986874, ""slip_spread_k"": 0.11168090100071115, ""spread_hl_frac"": 0.005106449738181707, ""strategy"": ""mean_reversion"", ""time_stop"": 291, ""tp_mult"": 1.0300002141008913, ""tsl_mult"": 0.8140912591412496, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18186812792842963}"
