number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,2.1919879370298503,-0.015213487017055978,2.1919879370298503,0.015213487017055978,2.1919879370298503,-0.015213487017055978,6670.0,breakout,1,"{""adx_thresh"": 18.784741047977917, ""atr_max_pct"": 0.0638485415332818, ""atr_min_pct"": 0.026385583172613105, ""bb_std_mult"": 2.4277625024190064, ""edge_cap"": 0.6902358269191141, ""edge_k"": 0.03320981429444436, ""ema1"": 15, ""ema2"": 35, ""p_adx"": 13, ""p_atr"": 13, ""p_sma"": 56, ""p_std"": 37, ""rsi_ob"": 70, ""rsi_os"": 52, ""rsi_period"": 9, ""rsi_required"": true, ""slip_atr_k"": 0.23389885896082205, ""slip_spread_k"": 0.7530869382181701, ""spread_hl_frac"": 0.012344078881862165, ""strategy"": ""breakout"", ""time_stop"": 274, ""tp_mult"": 2.590671362022955, ""tsl_mult"": 0.15931489282140676, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.005832282509519782}"
1,115.38168372021066,-0.0029930378786074854,115.38168372021066,0.0029930378786074854,115.38168372021066,-0.0029930378786074854,9275.0,mean_reversion,1,"{""adx_thresh"": 32.43050238517166, ""atr_max_pct"": 0.06035501401064828, ""atr_min_pct"": 0.02073778149812795, ""bb_std_mult"": 1.0225816137369448, ""edge_cap"": 0.4069937774259325, ""edge_k"": 1.8299871953602416, ""ema1"": 17, ""ema2"": 36, ""p_adx"": 28, ""p_atr"": 23, ""p_sma"": 21, ""p_std"": 17, ""rsi_ob"": 64, ""rsi_os"": 29, ""rsi_period"": 10, ""rsi_required"": false, ""slip_atr_k"": 0.09187296441909679, ""slip_spread_k"": 0.6746064591400667, ""spread_hl_frac"": 0.02798073296071865, ""strategy"": ""mean_reversion"", ""time_stop"": 229, ""tp_mult"": 1.6570946642915025, ""tsl_mult"": 0.48344066726537416, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.13315965472104768}"
2,16.90406780064689,-0.004959386190811115,16.90406780064689,0.004959386190811115,16.90406780064689,-0.004959386190811115,8212.0,breakout,1,"{""adx_thresh"": 31.683278003962176, ""atr_max_pct"": 0.013735523435051277, ""atr_min_pct"": 0.010301367585450836, ""bb_std_mult"": 1.9887881370168508, ""edge_cap"": 0.053449958171982774, ""edge_k"": 0.2521167966440565, ""ema1"": 18, ""ema2"": 44, ""p_adx"": 18, ""p_atr"": 12, ""p_sma"": 35, ""p_std"": 14, ""rsi_ob"": 77, ""rsi_os"": 31, ""rsi_period"": 77, ""rsi_required"": true, ""slip_atr_k"": 0.15530774784751328, ""slip_spread_k"": 0.18795694237719707, ""spread_hl_frac"": 0.03945873129617779, ""strategy"": ""breakout"", ""time_stop"": 285, ""tp_mult"": 1.7806737763437355, ""tsl_mult"": 0.8126000650599933, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.10081346109732989}"
3,6125.217979995016,-0.0006911788887987148,6125.217979995016,0.0006911788887987148,6125.217979995016,-0.0006911788887987148,11624.0,mean_reversion,1,"{""adx_thresh"": 19.645229897319428, ""atr_max_pct"": 0.05994552328030278, ""atr_min_pct"": 0.003807438535464832, ""bb_std_mult"": 2.366375973084996, ""edge_cap"": 0.7628330980225084, ""edge_k"": 1.5726000038998285, ""ema1"": 19, ""ema2"": 21, ""p_adx"": 16, ""p_atr"": 22, ""p_sma"": 20, ""p_std"": 26, ""rsi_ob"": 80, ""rsi_os"": 49, ""rsi_period"": 18, ""rsi_required"": true, ""slip_atr_k"": 0.025038993710665258, ""slip_spread_k"": 0.6878123793004511, ""spread_hl_frac"": 0.006297731469936358, ""strategy"": ""mean_reversion"", ""time_stop"": 248, ""tp_mult"": 1.5870270173220742, ""tsl_mult"": 0.40259922749749255, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.12297593987675673}"
4,1.811453770799055,-0.01290233230374533,1.811453770799055,0.01290233230374533,1.811453770799055,-0.01290233230374533,6754.0,breakout,1,"{""adx_thresh"": 12.522570876990507, ""atr_max_pct"": 0.09535916327285283, ""atr_min_pct"": 0.007230119238182617, ""bb_std_mult"": 0.9785667866980513, ""edge_cap"": 0.39883303551403254, ""edge_k"": 0.48751461457255485, ""ema1"": 30, ""ema2"": 19, ""p_adx"": 8, ""p_atr"": 26, ""p_sma"": 41, ""p_std"": 5, ""rsi_ob"": 84, ""rsi_os"": 7, ""rsi_period"": 48, ""rsi_required"": true, ""slip_atr_k"": 0.23944479336943167, ""slip_spread_k"": 0.6666099749697396, ""spread_hl_frac"": 0.0004707255664458232, ""strategy"": ""breakout"", ""time_stop"": 241, ""tp_mult"": 1.1770318012417582, ""tsl_mult"": 0.47765833528220336, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.13617281799246117}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 8.191277919211336, ""atr_max_pct"": 0.12606276123712384, ""atr_min_pct"": 0.028471521756447446, ""bb_std_mult"": 1.190076579437578, ""edge_cap"": 0.43916949265437, ""edge_k"": 0.00994879494327261, ""ema1"": 29, ""ema2"": 17, ""p_adx"": 9, ""p_atr"": 8, ""p_sma"": 50, ""p_std"": 45, ""rsi_ob"": 63, ""rsi_os"": 50, ""rsi_period"": 33, ""rsi_required"": false, ""slip_atr_k"": 0.19449882414058794, ""slip_spread_k"": 0.8181239860287867, ""spread_hl_frac"": 0.014426262385749296, ""strategy"": ""mean_reversion"", ""time_stop"": 272, ""tp_mult"": 2.030234901699742, ""tsl_mult"": 0.2819945275192104, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.14751241787965155}"
6,3078.7477329255885,-0.0007475797727051531,3078.7477329255885,0.0007475797727051531,3078.7477329255885,-0.0007475797727051531,11578.0,breakout,1,"{""adx_thresh"": 13.874670680620929, ""atr_max_pct"": 0.04223029961986587, ""atr_min_pct"": 0.004611556624202315, ""bb_std_mult"": 1.66488031778939, ""edge_cap"": 0.19961645995057478, ""edge_k"": 0.6466696832096335, ""ema1"": 28, ""ema2"": 37, ""p_adx"": 17, ""p_atr"": 21, ""p_sma"": 48, ""p_std"": 42, ""rsi_ob"": 70, ""rsi_os"": 51, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.04470731829146929, ""slip_spread_k"": 0.16815871330119747, ""spread_hl_frac"": 0.010955836177480567, ""strategy"": ""breakout"", ""time_stop"": 274, ""tp_mult"": 1.7214956155909846, ""tsl_mult"": 0.4405243021123215, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.13608394822404793}"
7,3.2512815569309366,-0.010708660381245003,3.2512815569309366,0.010708660381245003,3.2512815569309366,-0.010708660381245003,6391.0,breakout,1,"{""adx_thresh"": 14.08976832875034, ""atr_max_pct"": 0.132549715130291, ""atr_min_pct"": 0.026851438129359292, ""bb_std_mult"": 2.7029371639858604, ""edge_cap"": 0.719796816898957, ""edge_k"": 1.9053221205133968, ""ema1"": 23, ""ema2"": 29, ""p_adx"": 18, ""p_atr"": 21, ""p_sma"": 37, ""p_std"": 50, ""rsi_ob"": 74, ""rsi_os"": 33, ""rsi_period"": 16, ""rsi_required"": true, ""slip_atr_k"": 0.24648663400477075, ""slip_spread_k"": 0.18644005035901567, ""spread_hl_frac"": 0.026258468612211462, ""strategy"": ""breakout"", ""time_stop"": 236, ""tp_mult"": 1.4251218378746506, ""tsl_mult"": 0.8309445681639697, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0181132716358934}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 31.293973449783618, ""atr_max_pct"": 0.03737886091374435, ""atr_min_pct"": 0.01148884738820007, ""bb_std_mult"": 1.610557402254643, ""edge_cap"": 0.4395141344732902, ""edge_k"": 1.9727504792086326, ""ema1"": 26, ""ema2"": 11, ""p_adx"": 10, ""p_atr"": 30, ""p_sma"": 5, ""p_std"": 14, ""rsi_ob"": 49, ""rsi_os"": 42, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.20724112994487107, ""slip_spread_k"": 0.5265736209578494, ""spread_hl_frac"": 0.03185838343703055, ""strategy"": ""mean_reversion"", ""time_stop"": 181, ""tp_mult"": 1.8337429815709745, ""tsl_mult"": 0.645317511763588, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.025767619683483532}"
9,126.96004984516046,-0.0024839861678590887,126.96004984516046,0.0024839861678590887,126.96004984516046,-0.0024839861678590887,8187.0,mean_reversion,1,"{""adx_thresh"": 7.437566080206608, ""atr_max_pct"": 0.061718015712794914, ""atr_min_pct"": 0.0021155732783286816, ""bb_std_mult"": 3.4705138935657676, ""edge_cap"": 0.4692954828435546, ""edge_k"": 0.6468518076553256, ""ema1"": 5, ""ema2"": 58, ""p_adx"": 17, ""p_atr"": 25, ""p_sma"": 23, ""p_std"": 53, ""rsi_ob"": 83, ""rsi_os"": 37, ""rsi_period"": 36, ""rsi_required"": true, ""slip_atr_k"": 0.10868068002414893, ""slip_spread_k"": 0.07981977637412052, ""spread_hl_frac"": 0.04329452153912366, ""strategy"": ""mean_reversion"", ""time_stop"": 296, ""tp_mult"": 2.260520190075129, ""tsl_mult"": 0.5566266543903239, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1556380805186168}"
10,13.739633176475563,-0.006366370682201299,13.739633176475563,0.006366370682201299,13.739633176475563,-0.006366370682201299,7474.0,breakout,1,"{""adx_thresh"": 27.535313110774847, ""atr_max_pct"": 0.032003084568061946, ""atr_min_pct"": 0.002317109643472789, ""bb_std_mult"": 2.856686534197982, ""edge_cap"": 0.6593195876671799, ""edge_k"": 0.2918528058157852, ""ema1"": 9, ""ema2"": 41, ""p_adx"": 22, ""p_atr"": 11, ""p_sma"": 50, ""p_std"": 58, ""rsi_ob"": 92, ""rsi_os"": 35, ""rsi_period"": 8, ""rsi_required"": true, ""slip_atr_k"": 0.17105009177771283, ""slip_spread_k"": 0.19622503044798112, ""spread_hl_frac"": 0.027611855868016424, ""strategy"": ""breakout"", ""time_stop"": 103, ""tp_mult"": 2.366774085794473, ""tsl_mult"": 0.4584702010143259, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.0007164042748240784}"
11,32.70503603569331,-0.003641164196791003,32.70503603569331,0.003641164196791003,32.70503603569331,-0.003641164196791003,7743.0,mean_reversion,1,"{""adx_thresh"": 13.117257614976909, ""atr_max_pct"": 0.1252133319746187, ""atr_min_pct"": 0.016261161041470636, ""bb_std_mult"": 3.0868425324374305, ""edge_cap"": 0.2684293826777597, ""edge_k"": 0.6652914952408264, ""ema1"": 13, ""ema2"": 49, ""p_adx"": 19, ""p_atr"": 30, ""p_sma"": 27, ""p_std"": 44, ""rsi_ob"": 82, ""rsi_os"": 29, ""rsi_period"": 46, ""rsi_required"": true, ""slip_atr_k"": 0.14128979347162626, ""slip_spread_k"": 0.5512512109809067, ""spread_hl_frac"": 0.03326976200424299, ""strategy"": ""mean_reversion"", ""time_stop"": 104, ""tp_mult"": 2.0455074253294128, ""tsl_mult"": 0.2023779452625658, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.15752861279907956}"
