number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,2.5462445600231454,-0.0007265450443065778,2.5462445600231454,0.0007265450443065778,2.5462445600231454,-0.0007265450443065778,2230.0,mean_reversion,1,"{""adx_thresh"": 24.915677052176452, ""atr_max_pct"": 0.07526102728515284, ""atr_min_pct"": 0.013381316735493427, ""bb_std_mult"": 1.9641732140540162, ""edge_cap"": 0.8860113852585019, ""edge_k"": 1.068726160164153, ""ema1"": 28, ""ema2"": 19, ""p_adx"": 11, ""p_atr"": 13, ""p_sma"": 19, ""p_std"": 43, ""rsi_ob"": 85, ""rsi_os"": 46, ""rsi_period"": 29, ""rsi_required"": true, ""slip_atr_k"": 0.05803470910229391, ""slip_spread_k"": 0.5363425914248313, ""spread_hl_frac"": 0.016541846214696017, ""strategy"": ""mean_reversion"", ""time_stop"": 262, ""tp_mult"": 2.0743754194749053, ""tsl_mult"": 0.06790938597335516, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.05619837041406561}"
1,3.7048864857370916,-0.0009008661657558125,3.7048864857370916,0.0009008661657558125,3.7048864857370916,-0.0009008661657558125,2707.0,mean_reversion,1,"{""adx_thresh"": 34.17815574255018, ""atr_max_pct"": 0.1270855001296236, ""atr_min_pct"": 0.021388301938607142, ""bb_std_mult"": 2.6877347136146077, ""edge_cap"": 0.10088498645056336, ""edge_k"": 0.4479623350234976, ""ema1"": 27, ""ema2"": 49, ""p_adx"": 11, ""p_atr"": 10, ""p_sma"": 46, ""p_std"": 29, ""rsi_ob"": 71, ""rsi_os"": 48, ""rsi_period"": 69, ""rsi_required"": true, ""slip_atr_k"": 0.031978636076411215, ""slip_spread_k"": 0.3983063733959228, ""spread_hl_frac"": 0.04965203431429735, ""strategy"": ""mean_reversion"", ""time_stop"": 273, ""tp_mult"": 1.9439097951119813, ""tsl_mult"": 0.5290012572551732, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.035392694085172184}"
2,0.21658356457644978,-0.010777535646996827,0.21658356457644978,0.010777535646996827,0.21658356457644978,-0.010777535646996827,1966.0,mean_reversion,1,"{""adx_thresh"": 6.021680135136541, ""atr_max_pct"": 0.07678236794029425, ""atr_min_pct"": 0.02030008299109887, ""bb_std_mult"": 2.324378574705051, ""edge_cap"": 0.9258885021813966, ""edge_k"": 0.9435233567858909, ""ema1"": 28, ""ema2"": 60, ""p_adx"": 18, ""p_atr"": 27, ""p_sma"": 25, ""p_std"": 9, ""rsi_ob"": 66, ""rsi_os"": 11, ""rsi_period"": 41, ""rsi_required"": false, ""slip_atr_k"": 0.21432232063309375, ""slip_spread_k"": 0.40616938794506086, ""spread_hl_frac"": 0.025053649274065615, ""strategy"": ""mean_reversion"", ""time_stop"": 245, ""tp_mult"": 1.5360379043562582, ""tsl_mult"": 0.2783938283286973, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.05707828912022965}"
3,0.40444317408004893,-0.007729422135425143,0.40444317408004893,0.007729422135425143,0.40444317408004893,-0.007729422135425143,2011.0,breakout,1,"{""adx_thresh"": 23.15592599218701, ""atr_max_pct"": 0.021123044931265655, ""atr_min_pct"": 0.012672881700013452, ""bb_std_mult"": 1.748629240493554, ""edge_cap"": 0.4376871274689418, ""edge_k"": 0.28177407130077237, ""ema1"": 19, ""ema2"": 55, ""p_adx"": 7, ""p_atr"": 28, ""p_sma"": 36, ""p_std"": 15, ""rsi_ob"": 75, ""rsi_os"": 21, ""rsi_period"": 81, ""rsi_required"": true, ""slip_atr_k"": 0.20036916931576337, ""slip_spread_k"": 0.35244729824198007, ""spread_hl_frac"": 0.005407387864268598, ""strategy"": ""breakout"", ""time_stop"": 156, ""tp_mult"": 1.1844687473907827, ""tsl_mult"": 0.4543385044617596, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.26671362715354624}"
4,0.834515978064142,-0.003607301511543279,0.834515978064142,0.003607301511543279,0.834515978064142,-0.003607301511543279,1847.0,breakout,1,"{""adx_thresh"": 30.2656537746308, ""atr_max_pct"": 0.1181261791436745, ""atr_min_pct"": 0.013793842865606361, ""bb_std_mult"": 0.8814594351078273, ""edge_cap"": 0.574263412118759, ""edge_k"": 1.1402336473794021, ""ema1"": 24, ""ema2"": 14, ""p_adx"": 29, ""p_atr"": 27, ""p_sma"": 57, ""p_std"": 40, ""rsi_ob"": 78, ""rsi_os"": 8, ""rsi_period"": 61, ""rsi_required"": true, ""slip_atr_k"": 0.1421817303723428, ""slip_spread_k"": 0.6876068281381433, ""spread_hl_frac"": 0.040327541987409454, ""strategy"": ""breakout"", ""time_stop"": 127, ""tp_mult"": 1.598931071487319, ""tsl_mult"": 0.9239510535165699, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2961866692196385}"
5,2.839277264400416,-0.0011263621426382702,2.839277264400416,0.0011263621426382702,2.839277264400416,-0.0011263621426382702,2481.0,mean_reversion,1,"{""adx_thresh"": 14.144619082993351, ""atr_max_pct"": 0.048964208522673254, ""atr_min_pct"": 0.022985591477225245, ""bb_std_mult"": 0.5494388248510657, ""edge_cap"": 0.13049626838582384, ""edge_k"": 0.464973238168104, ""ema1"": 5, ""ema2"": 30, ""p_adx"": 10, ""p_atr"": 15, ""p_sma"": 37, ""p_std"": 39, ""rsi_ob"": 73, ""rsi_os"": 12, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.038335271939358956, ""slip_spread_k"": 0.7889342331511185, ""spread_hl_frac"": 0.03316936996135203, ""strategy"": ""mean_reversion"", ""time_stop"": 278, ""tp_mult"": 1.236030269879456, ""tsl_mult"": 0.5480345910698162, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.28865942003171124}"
6,5.252847468157229,-0.0003048267619636979,5.252847468157229,0.0003048267619636979,5.252847468157229,-0.0003048267619636979,2886.0,mean_reversion,1,"{""adx_thresh"": 10.335043704091435, ""atr_max_pct"": 0.11983219513724029, ""atr_min_pct"": 0.006965216038481563, ""bb_std_mult"": 0.9847061319280483, ""edge_cap"": 0.47549747766284733, ""edge_k"": 0.21428575841566833, ""ema1"": 13, ""ema2"": 10, ""p_adx"": 14, ""p_atr"": 18, ""p_sma"": 52, ""p_std"": 28, ""rsi_ob"": 87, ""rsi_os"": 23, ""rsi_period"": 53, ""rsi_required"": false, ""slip_atr_k"": 0.01860938336412382, ""slip_spread_k"": 0.7718942703431856, ""spread_hl_frac"": 0.007931237912970053, ""strategy"": ""mean_reversion"", ""time_stop"": 24, ""tp_mult"": 1.087603654333265, ""tsl_mult"": 0.40595346524810905, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.002191118148357196}"
7,0.5876750825896524,-0.00425032548914491,0.5876750825896524,0.00425032548914491,0.5876750825896524,-0.00425032548914491,1676.0,mean_reversion,1,"{""adx_thresh"": 11.593840041383373, ""atr_max_pct"": 0.14320669410612905, ""atr_min_pct"": 0.0207574530715486, ""bb_std_mult"": 1.3919462975665302, ""edge_cap"": 0.14913192866752345, ""edge_k"": 1.125688891457449, ""ema1"": 11, ""ema2"": 60, ""p_adx"": 13, ""p_atr"": 27, ""p_sma"": 23, ""p_std"": 51, ""rsi_ob"": 63, ""rsi_os"": 14, ""rsi_period"": 40, ""rsi_required"": true, ""slip_atr_k"": 0.17262549231836666, ""slip_spread_k"": 0.5129359019716482, ""spread_hl_frac"": 0.03369491229683786, ""strategy"": ""mean_reversion"", ""time_stop"": 100, ""tp_mult"": 2.1646512684718804, ""tsl_mult"": 0.2154311255937642, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.20338752664853207}"
8,0.7952109401884511,-0.00298908392700008,0.7952109401884511,0.00298908392700008,0.7952109401884511,-0.00298908392700008,1738.0,breakout,1,"{""adx_thresh"": 24.86681114865499, ""atr_max_pct"": 0.054463382821345656, ""atr_min_pct"": 0.014446880572337471, ""bb_std_mult"": 0.5623567770492848, ""edge_cap"": 0.2428388799850332, ""edge_k"": 1.8283894387068573, ""ema1"": 18, ""ema2"": 46, ""p_adx"": 12, ""p_atr"": 12, ""p_sma"": 59, ""p_std"": 52, ""rsi_ob"": 74, ""rsi_os"": 7, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.15134557243354235, ""slip_spread_k"": 0.7845491820640237, ""spread_hl_frac"": 0.01245707587924394, ""strategy"": ""breakout"", ""time_stop"": 107, ""tp_mult"": 1.7555483256963644, ""tsl_mult"": 0.04786461677099729, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.16812709068614398}"
9,0.6662051139403018,-0.0037058305846212045,0.6662051139403018,0.0037058305846212045,0.6662051139403018,-0.0037058305846212045,1776.0,breakout,1,"{""adx_thresh"": 32.65622244854854, ""atr_max_pct"": 0.02230721128831014, ""atr_min_pct"": 0.002247880579759922, ""bb_std_mult"": 1.1840904004779655, ""edge_cap"": 0.6036066885149592, ""edge_k"": 1.5978823188761262, ""ema1"": 11, ""ema2"": 40, ""p_adx"": 10, ""p_atr"": 11, ""p_sma"": 59, ""p_std"": 37, ""rsi_ob"": 72, ""rsi_os"": 23, ""rsi_period"": 80, ""rsi_required"": false, ""slip_atr_k"": 0.18248518995559757, ""slip_spread_k"": 0.2530490507500215, ""spread_hl_frac"": 0.03009686338336497, ""strategy"": ""breakout"", ""time_stop"": 177, ""tp_mult"": 1.5137610238402492, ""tsl_mult"": 0.7070330852538994, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16795443660882156}"
