number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,1.392689040273491,-0.002146398330114491,1.392689040273491,0.002146398330114491,1.392689040273491,-0.002146398330114491,1942.0,breakout,1,"{""adx_thresh"": 33.397173066401145, ""atr_max_pct"": 0.07474315816505143, ""atr_min_pct"": 0.0074076799043386226, ""bb_std_mult"": 1.61216422457547, ""bear_adx_thresh"": 24.115221694346502, ""bear_atr_max_pct"": 0.06210407593927279, ""bear_atr_min_pct"": 0.001321524271705613, ""bear_bb_std_mult"": 0.8579460801412903, ""bear_rsi_ob"": 79, ""bear_rsi_os"": 24, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 259, ""bear_tp_mult"": 2.857821422856323, ""bear_tsl_mult"": 0.8007984948665167, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 21.577037294037464, ""bull_atr_max_pct"": 0.04878289579041047, ""bull_atr_min_pct"": 0.01611520706924962, ""bull_bb_std_mult"": 1.4165655444143876, ""bull_rsi_ob"": 63, ""bull_rsi_os"": 18, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 179, ""bull_tp_mult"": 1.1544221727155306, ""bull_tsl_mult"": 0.479408757483503, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.7577389016880776, ""edge_k"": 1.9182041609373979, ""ema1"": 23, ""ema2"": 57, ""p_adx"": 13, ""p_atr"": 10, ""p_sma"": 34, ""p_std"": 56, ""rsi_ob"": 68, ""rsi_os"": 10, ""rsi_period"": 32, ""rsi_required"": false, ""sideways_adx_thresh"": 7.364856637149119, ""sideways_atr_max_pct"": 0.033766557913258353, ""sideways_atr_min_pct"": 0.002405757366702308, ""sideways_bb_std_mult"": 0.8840346859340431, ""sideways_rsi_ob"": 79, ""sideways_rsi_os"": 35, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 284, ""sideways_tp_mult"": 1.2864441161525655, ""sideways_tsl_mult"": 0.10864295596585938, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.09434128037401007, ""slip_spread_k"": 0.4528806563403335, ""spread_hl_frac"": 0.043645963897396306, ""strategy"": ""breakout"", ""time_stop"": 109, ""tp_mult"": 2.1563567636062766, ""tsl_mult"": 0.7372241220735554, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2619102809131988}"
1,1.0679252398641506,-0.0017635395345895976,1.0679252398641506,0.0017635395345895976,1.0679252398641506,-0.0017635395345895976,1364.0,breakout,1,"{""adx_thresh"": 20.206337860149443, ""atr_max_pct"": 0.09873351895024225, ""atr_min_pct"": 0.005606429055149611, ""bb_std_mult"": 1.6353964120259248, ""bear_adx_thresh"": 19.59923063510376, ""bear_atr_max_pct"": 0.06810570936808587, ""bear_atr_min_pct"": 0.0052086646529398714, ""bear_bb_std_mult"": 3.574293147866464, ""bear_rsi_ob"": 90, ""bear_rsi_os"": 7, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 207, ""bear_tp_mult"": 1.909999443349069, ""bear_tsl_mult"": 0.10891524437494216, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 31.329568313011347, ""bull_atr_max_pct"": 0.0714584307101518, ""bull_atr_min_pct"": 0.01869359069431373, ""bull_bb_std_mult"": 2.352110581904433, ""bull_rsi_ob"": 81, ""bull_rsi_os"": 17, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 61, ""bull_tp_mult"": 1.5684197371593458, ""bull_tsl_mult"": 0.2856784519968407, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.06974333392390071, ""edge_k"": 0.03814888039270237, ""ema1"": 12, ""ema2"": 26, ""p_adx"": 12, ""p_atr"": 20, ""p_sma"": 11, ""p_std"": 54, ""rsi_ob"": 86, ""rsi_os"": 49, ""rsi_period"": 38, ""rsi_required"": true, ""sideways_adx_thresh"": 12.104387780574887, ""sideways_atr_max_pct"": 0.023869873420792904, ""sideways_atr_min_pct"": 0.006573113623127799, ""sideways_bb_std_mult"": 1.0483911549769205, ""sideways_rsi_ob"": 70, ""sideways_rsi_os"": 37, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 66, ""sideways_tp_mult"": 2.985514685273508, ""sideways_tsl_mult"": 0.9885688759659902, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.11093321725937277, ""slip_spread_k"": 0.8440630618637726, ""spread_hl_frac"": 0.0011748349586729935, ""strategy"": ""breakout"", ""time_stop"": 82, ""tp_mult"": 1.452547691607432, ""tsl_mult"": 0.949538055316007, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.19968088604984882}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 14.479081758067558, ""atr_max_pct"": 0.04252450347929308, ""atr_min_pct"": 0.016856291186032067, ""bb_std_mult"": 0.9260526431579964, ""bear_adx_thresh"": 20.123249691995294, ""bear_atr_max_pct"": 0.07965586397499919, ""bear_atr_min_pct"": 0.023074471731070946, ""bear_bb_std_mult"": 3.534629862604989, ""bear_rsi_ob"": 67, ""bear_rsi_os"": 27, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 65, ""bear_tp_mult"": 1.8308395772369157, ""bear_tsl_mult"": 0.13099474145787782, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 15.984638730346363, ""bull_atr_max_pct"": 0.1469651760719664, ""bull_atr_min_pct"": 0.02050157628112274, ""bull_bb_std_mult"": 1.171859626509722, ""bull_rsi_ob"": 76, ""bull_rsi_os"": 40, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 135, ""bull_tp_mult"": 2.132339025091181, ""bull_tsl_mult"": 0.6448458900252216, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.7054503523135778, ""edge_k"": 1.8718808353910945, ""ema1"": 16, ""ema2"": 28, ""p_adx"": 20, ""p_atr"": 8, ""p_sma"": 54, ""p_std"": 12, ""rsi_ob"": 48, ""rsi_os"": 14, ""rsi_period"": 74, ""rsi_required"": false, ""sideways_adx_thresh"": 15.24300476658492, ""sideways_atr_max_pct"": 0.08805728560029527, ""sideways_atr_min_pct"": 0.0230374143882836, ""sideways_bb_std_mult"": 0.7144007712237771, ""sideways_rsi_ob"": 94, ""sideways_rsi_os"": 33, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 154, ""sideways_tp_mult"": 2.9443941552172213, ""sideways_tsl_mult"": 0.553495222988307, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.0410153172556231, ""slip_spread_k"": 0.9298432255909774, ""spread_hl_frac"": 0.03767738728748326, ""strategy"": ""mean_reversion"", ""time_stop"": 89, ""tp_mult"": 2.736897079588913, ""tsl_mult"": 0.05661701752233961, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05250323443687038}"
3,0.7196684518373433,-0.005044522688818953,0.7196684518373433,0.005044522688818953,0.7196684518373433,-0.005044522688818953,1915.0,breakout,1,"{""adx_thresh"": 20.18488333042487, ""atr_max_pct"": 0.13203915668146307, ""atr_min_pct"": 0.00035510639844017587, ""bb_std_mult"": 1.3720163673209438, ""bear_adx_thresh"": 21.51497592339243, ""bear_atr_max_pct"": 0.14794449167967705, ""bear_atr_min_pct"": 0.0060252111044058814, ""bear_bb_std_mult"": 1.4651570764343185, ""bear_rsi_ob"": 45, ""bear_rsi_os"": 14, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 128, ""bear_tp_mult"": 1.0746093128140057, ""bear_tsl_mult"": 0.8743964106150119, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 23.30271993311954, ""bull_atr_max_pct"": 0.12722391766738209, ""bull_atr_min_pct"": 0.013754624914389769, ""bull_bb_std_mult"": 3.043031468139382, ""bull_rsi_ob"": 78, ""bull_rsi_os"": 40, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 181, ""bull_tp_mult"": 2.522992142237009, ""bull_tsl_mult"": 0.4822593404311857, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.8226793079155503, ""edge_k"": 0.7516972018758692, ""ema1"": 25, ""ema2"": 37, ""p_adx"": 8, ""p_atr"": 20, ""p_sma"": 52, ""p_std"": 33, ""rsi_ob"": 52, ""rsi_os"": 36, ""rsi_period"": 55, ""rsi_required"": true, ""sideways_adx_thresh"": 17.61000141249761, ""sideways_atr_max_pct"": 0.07515049558560362, ""sideways_atr_min_pct"": 0.008242280091149962, ""sideways_bb_std_mult"": 1.9280139956616094, ""sideways_rsi_ob"": 86, ""sideways_rsi_os"": 24, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 189, ""sideways_tp_mult"": 2.0201999812991804, ""sideways_tsl_mult"": 0.7950279533680185, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.15322280375644484, ""slip_spread_k"": 0.654539589245145, ""spread_hl_frac"": 0.04301212340016977, ""strategy"": ""breakout"", ""time_stop"": 168, ""tp_mult"": 2.393492457564004, ""tsl_mult"": 0.5168471705293158, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.24220200073846046}"
4,1.9221971293095015,-0.00132307010897284,1.9221971293095015,0.00132307010897284,1.9221971293095015,-0.00132307010897284,1864.0,breakout,1,"{""adx_thresh"": 6.4792537664122305, ""atr_max_pct"": 0.09000533764118744, ""atr_min_pct"": 0.0167962016374271, ""bb_std_mult"": 1.5618941132731612, ""bear_adx_thresh"": 34.19831830801986, ""bear_atr_max_pct"": 0.06810499349727665, ""bear_atr_min_pct"": 0.02176841119168039, ""bear_bb_std_mult"": 1.2548108421136048, ""bear_rsi_ob"": 78, ""bear_rsi_os"": 55, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 118, ""bear_tp_mult"": 2.3006695083960436, ""bear_tsl_mult"": 0.6044617536650966, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 19.764125388094957, ""bull_atr_max_pct"": 0.10600962168103432, ""bull_atr_min_pct"": 0.005293443507644776, ""bull_bb_std_mult"": 2.868062879501332, ""bull_rsi_ob"": 61, ""bull_rsi_os"": 50, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 292, ""bull_tp_mult"": 2.4043674067782597, ""bull_tsl_mult"": 0.08685440559808977, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.4071603888304994, ""edge_k"": 1.4511574640908453, ""ema1"": 5, ""ema2"": 37, ""p_adx"": 24, ""p_atr"": 11, ""p_sma"": 8, ""p_std"": 29, ""rsi_ob"": 77, ""rsi_os"": 24, ""rsi_period"": 20, ""rsi_required"": true, ""sideways_adx_thresh"": 12.980598229546354, ""sideways_atr_max_pct"": 0.07924325966863408, ""sideways_atr_min_pct"": 0.0060202123783631555, ""sideways_bb_std_mult"": 3.315017935902196, ""sideways_rsi_ob"": 45, ""sideways_rsi_os"": 9, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 261, ""sideways_tp_mult"": 1.9655997719040723, ""sideways_tsl_mult"": 0.4576339382689223, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.056868697306999255, ""slip_spread_k"": 0.8662041117807013, ""spread_hl_frac"": 0.017622285089544054, ""strategy"": ""breakout"", ""time_stop"": 69, ""tp_mult"": 2.8727605998290016, ""tsl_mult"": 0.8834812646678553, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.16210375773962693}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 15.82796824261224, ""atr_max_pct"": 0.01685726647717345, ""atr_min_pct"": 0.024039415899547625, ""bb_std_mult"": 2.321292346506275, ""bear_adx_thresh"": 24.445516919788847, ""bear_atr_max_pct"": 0.12405342832542254, ""bear_atr_min_pct"": 0.007166952053139921, ""bear_bb_std_mult"": 1.347691405745256, ""bear_rsi_ob"": 67, ""bear_rsi_os"": 26, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 285, ""bear_tp_mult"": 1.692393698009874, ""bear_tsl_mult"": 0.9800807825550365, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 33.721522191523675, ""bull_atr_max_pct"": 0.12053654795979801, ""bull_atr_min_pct"": 0.01003773528804514, ""bull_bb_std_mult"": 0.7105700652591631, ""bull_rsi_ob"": 87, ""bull_rsi_os"": 10, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 126, ""bull_tp_mult"": 2.996645112236562, ""bull_tsl_mult"": 0.31371512220773945, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.8307195657534212, ""edge_k"": 1.025497604330163, ""ema1"": 9, ""ema2"": 45, ""p_adx"": 7, ""p_atr"": 11, ""p_sma"": 43, ""p_std"": 49, ""rsi_ob"": 78, ""rsi_os"": 31, ""rsi_period"": 16, ""rsi_required"": true, ""sideways_adx_thresh"": 21.223128833300784, ""sideways_atr_max_pct"": 0.14691642249123169, ""sideways_atr_min_pct"": 0.012884993190354216, ""sideways_bb_std_mult"": 2.5087876673005503, ""sideways_rsi_ob"": 75, ""sideways_rsi_os"": 10, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 241, ""sideways_tp_mult"": 2.7538690266817754, ""sideways_tsl_mult"": 0.24738522337761426, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.1765890607936237, ""slip_spread_k"": 0.9594734883723358, ""spread_hl_frac"": 0.004399597695494128, ""strategy"": ""mean_reversion"", ""time_stop"": 124, ""tp_mult"": 2.878103428850398, ""tsl_mult"": 0.6302059136754656, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.011808751849139631}"
6,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 16.256535766291268, ""atr_max_pct"": 0.10022862672329305, ""atr_min_pct"": 0.008853198550995192, ""bb_std_mult"": 2.942100907962272, ""bear_adx_thresh"": 22.594679819379213, ""bear_atr_max_pct"": 0.055666954280091614, ""bear_atr_min_pct"": 0.004138968203195378, ""bear_bb_std_mult"": 2.5769344700135677, ""bear_rsi_ob"": 74, ""bear_rsi_os"": 19, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 254, ""bear_tp_mult"": 2.526326968795058, ""bear_tsl_mult"": 0.6463431630008296, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 29.229073903663572, ""bull_atr_max_pct"": 0.10459782024293511, ""bull_atr_min_pct"": 0.020484345390714944, ""bull_bb_std_mult"": 1.8407831587878694, ""bull_rsi_ob"": 73, ""bull_rsi_os"": 7, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 295, ""bull_tp_mult"": 2.4584108448348867, ""bull_tsl_mult"": 0.28349695681640796, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.5834240731723164, ""edge_k"": 1.3843698516080825, ""ema1"": 11, ""ema2"": 11, ""p_adx"": 23, ""p_atr"": 17, ""p_sma"": 43, ""p_std"": 59, ""rsi_ob"": 50, ""rsi_os"": 34, ""rsi_period"": 70, ""rsi_required"": false, ""sideways_adx_thresh"": 24.466457451510163, ""sideways_atr_max_pct"": 0.13536038004068993, ""sideways_atr_min_pct"": 0.028971204055044615, ""sideways_bb_std_mult"": 1.2630204469517927, ""sideways_rsi_ob"": 83, ""sideways_rsi_os"": 9, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 213, ""sideways_tp_mult"": 2.5513156109722197, ""sideways_tsl_mult"": 0.9474978532937011, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.21156477952802047, ""slip_spread_k"": 0.22083267011623575, ""spread_hl_frac"": 0.02923307080085473, ""strategy"": ""mean_reversion"", ""time_stop"": 207, ""tp_mult"": 2.2720994734124704, ""tsl_mult"": 0.15086536573051146, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.01394022403421361}"
7,4.358052576713691,-0.000696072803515893,4.358052576713691,0.000696072803515893,4.358052576713691,-0.000696072803515893,2802.0,breakout,1,"{""adx_thresh"": 32.01126431826154, ""atr_max_pct"": 0.12984568500977217, ""atr_min_pct"": 0.011148316916273378, ""bb_std_mult"": 1.1020124305153107, ""bear_adx_thresh"": 18.339704000150967, ""bear_atr_max_pct"": 0.042070080742760314, ""bear_atr_min_pct"": 0.007775533359368763, ""bear_bb_std_mult"": 2.3403410652926233, ""bear_rsi_ob"": 68, ""bear_rsi_os"": 27, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 271, ""bear_tp_mult"": 1.7305647911016286, ""bear_tsl_mult"": 0.3699184949713089, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 30.826989874359075, ""bull_atr_max_pct"": 0.012501799291419447, ""bull_atr_min_pct"": 0.02849047208072674, ""bull_bb_std_mult"": 2.5952581566058432, ""bull_rsi_ob"": 83, ""bull_rsi_os"": 19, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 11, ""bull_tp_mult"": 1.0248165010775248, ""bull_tsl_mult"": 0.772795610647872, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.5242316948870847, ""edge_k"": 0.29656441650553145, ""ema1"": 10, ""ema2"": 14, ""p_adx"": 7, ""p_atr"": 18, ""p_sma"": 51, ""p_std"": 23, ""rsi_ob"": 67, ""rsi_os"": 49, ""rsi_period"": 27, ""rsi_required"": false, ""sideways_adx_thresh"": 32.32069130399333, ""sideways_atr_max_pct"": 0.10551062087751134, ""sideways_atr_min_pct"": 0.024837222846082942, ""sideways_bb_std_mult"": 3.566715217346284, ""sideways_rsi_ob"": 46, ""sideways_rsi_os"": 55, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 21, ""sideways_tp_mult"": 2.837724774692977, ""sideways_tsl_mult"": 0.3586796200304524, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.04219670901826875, ""slip_spread_k"": 0.054841574371647384, ""spread_hl_frac"": 0.005281311882287643, ""strategy"": ""breakout"", ""time_stop"": 175, ""tp_mult"": 2.3013952267694253, ""tsl_mult"": 0.9692595736369616, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.04871636358014936}"
8,1.2130776256073057,-0.0021769800885048885,1.2130776256073057,0.0021769800885048885,1.2130776256073057,-0.0021769800885048885,1891.0,mean_reversion,1,"{""adx_thresh"": 6.775373544674586, ""atr_max_pct"": 0.12473238852844283, ""atr_min_pct"": 0.024079022014375916, ""bb_std_mult"": 3.302762569084925, ""bear_adx_thresh"": 25.261870498507108, ""bear_atr_max_pct"": 0.11853288187672151, ""bear_atr_min_pct"": 0.02531766716967057, ""bear_bb_std_mult"": 3.0651194594740754, ""bear_rsi_ob"": 90, ""bear_rsi_os"": 26, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 83, ""bear_tp_mult"": 1.8078349069516977, ""bear_tsl_mult"": 0.024992072070589177, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 22.96200237927154, ""bull_atr_max_pct"": 0.11675144647397777, ""bull_atr_min_pct"": 0.028764755485258968, ""bull_bb_std_mult"": 2.492800006224087, ""bull_rsi_ob"": 78, ""bull_rsi_os"": 18, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 288, ""bull_tp_mult"": 2.54579444990124, ""bull_tsl_mult"": 0.539559967819268, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.5840316262675013, ""edge_k"": 1.7484695686919927, ""ema1"": 8, ""ema2"": 59, ""p_adx"": 8, ""p_atr"": 24, ""p_sma"": 33, ""p_std"": 56, ""rsi_ob"": 79, ""rsi_os"": 48, ""rsi_period"": 29, ""rsi_required"": false, ""sideways_adx_thresh"": 17.330813695370413, ""sideways_atr_max_pct"": 0.1400593629707855, ""sideways_atr_min_pct"": 0.025886890134404802, ""sideways_bb_std_mult"": 2.305555876949247, ""sideways_rsi_ob"": 71, ""sideways_rsi_os"": 40, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 72, ""sideways_tp_mult"": 1.216310796669942, ""sideways_tsl_mult"": 0.0028009089464522408, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.11573350489774098, ""slip_spread_k"": 0.7610623354073838, ""spread_hl_frac"": 0.014957952611877247, ""strategy"": ""mean_reversion"", ""time_stop"": 56, ""tp_mult"": 1.7710745196114366, ""tsl_mult"": 0.7059926682026251, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.05808192526535014}"
9,0.37911385053279645,-0.006683127282446636,0.37911385053279645,0.006683127282446636,0.37911385053279645,-0.006683127282446636,1414.0,mean_reversion,1,"{""adx_thresh"": 22.151860994357328, ""atr_max_pct"": 0.1152151147692174, ""atr_min_pct"": 0.016135289019318544, ""bb_std_mult"": 1.8001926814978377, ""bear_adx_thresh"": 16.5194951758333, ""bear_atr_max_pct"": 0.054645123274553786, ""bear_atr_min_pct"": 0.007940201389710825, ""bear_bb_std_mult"": 2.114662651620013, ""bear_rsi_ob"": 83, ""bear_rsi_os"": 28, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 122, ""bear_tp_mult"": 2.725013576238113, ""bear_tsl_mult"": 0.7092105998384862, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 12.259534016247525, ""bull_atr_max_pct"": 0.03620281697007868, ""bull_atr_min_pct"": 0.015903178973179367, ""bull_bb_std_mult"": 2.228478844372431, ""bull_rsi_ob"": 46, ""bull_rsi_os"": 42, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 251, ""bull_tp_mult"": 1.1345945156463937, ""bull_tsl_mult"": 0.6361223954339373, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.28710647371845954, ""edge_k"": 0.6808371594559111, ""ema1"": 9, ""ema2"": 14, ""p_adx"": 20, ""p_atr"": 8, ""p_sma"": 17, ""p_std"": 57, ""rsi_ob"": 86, ""rsi_os"": 44, ""rsi_period"": 48, ""rsi_required"": false, ""sideways_adx_thresh"": 25.97004528944406, ""sideways_atr_max_pct"": 0.14316160353314475, ""sideways_atr_min_pct"": 0.023089211666953442, ""sideways_bb_std_mult"": 3.221353011550783, ""sideways_rsi_ob"": 86, ""sideways_rsi_os"": 26, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 231, ""sideways_tp_mult"": 2.715612487903748, ""sideways_tsl_mult"": 0.17698111561747543, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.20094879535841978, ""slip_spread_k"": 0.19606243327747153, ""spread_hl_frac"": 0.024872127938355845, ""strategy"": ""mean_reversion"", ""time_stop"": 38, ""tp_mult"": 1.0880941481040114, ""tsl_mult"": 0.8295198826583565, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1749057347465189}"
