number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 20.554082349878126, ""atr_max_pct"": 0.01606052284676206, ""atr_min_pct"": 0.019766046891536035, ""bb_std_mult"": 1.617206073237106, ""edge_cap"": 0.577683836265495, ""edge_k"": 1.586293556118422, ""ema1"": 14, ""ema2"": 10, ""p_adx"": 13, ""p_atr"": 10, ""p_sma"": 46, ""p_std"": 32, ""rsi_ob"": 71, ""rsi_os"": 11, ""rsi_period"": 22, ""rsi_required"": true, ""slip_atr_k"": 0.09640517759312298, ""slip_spread_k"": 0.5430741073481316, ""spread_hl_frac"": 0.01609080252164488, ""strategy"": ""mean_reversion"", ""time_stop"": 246, ""tp_mult"": 1.53749482335742, ""tsl_mult"": 0.2751628144393027, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.026706098010877543}"
1,0.40119216162434723,-0.006249182339934058,0.40119216162434723,0.006249182339934058,0.40119216162434723,-0.006249182339934058,1544.0,mean_reversion,1,"{""adx_thresh"": 21.003447944562918, ""atr_max_pct"": 0.0455207216058967, ""atr_min_pct"": 0.012439964277067667, ""bb_std_mult"": 1.2118603641340937, ""edge_cap"": 0.5521511695342136, ""edge_k"": 1.80012447447664, ""ema1"": 23, ""ema2"": 49, ""p_adx"": 29, ""p_atr"": 26, ""p_sma"": 54, ""p_std"": 60, ""rsi_ob"": 86, ""rsi_os"": 36, ""rsi_period"": 74, ""rsi_required"": true, ""slip_atr_k"": 0.2072300026280964, ""slip_spread_k"": 0.8062251953914641, ""spread_hl_frac"": 0.009288046428845531, ""strategy"": ""mean_reversion"", ""time_stop"": 238, ""tp_mult"": 1.3690353367966337, ""tsl_mult"": 0.364383015135339, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.17882890658199074}"
2,0.311363031812401,-0.007168020632941438,0.311363031812401,0.007168020632941438,0.311363031812401,-0.007168020632941438,1648.0,mean_reversion,1,"{""adx_thresh"": 34.05088017917791, ""atr_max_pct"": 0.03456562786672119, ""atr_min_pct"": 0.019389237686848925, ""bb_std_mult"": 3.3451189268350605, ""edge_cap"": 0.7641358132953856, ""edge_k"": 1.4734313949310849, ""ema1"": 16, ""ema2"": 37, ""p_adx"": 27, ""p_atr"": 22, ""p_sma"": 36, ""p_std"": 49, ""rsi_ob"": 55, ""rsi_os"": 11, ""rsi_period"": 51, ""rsi_required"": true, ""slip_atr_k"": 0.2346137456368095, ""slip_spread_k"": 0.24188819853206378, ""spread_hl_frac"": 0.008503870264458846, ""strategy"": ""mean_reversion"", ""time_stop"": 247, ""tp_mult"": 2.678419585479203, ""tsl_mult"": 0.24932829889600183, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.053650911825030866}"
3,1.6971587627209148,-0.0017819998688873536,1.6971587627209148,0.0017819998688873536,1.6971587627209148,-0.0017819998688873536,2139.0,mean_reversion,1,"{""adx_thresh"": 30.871426993053426, ""atr_max_pct"": 0.0401208729582114, ""atr_min_pct"": 0.016659187178621235, ""bb_std_mult"": 1.7097310708898865, ""edge_cap"": 0.7286260577197852, ""edge_k"": 0.4410136596179568, ""ema1"": 17, ""ema2"": 11, ""p_adx"": 25, ""p_atr"": 30, ""p_sma"": 13, ""p_std"": 30, ""rsi_ob"": 59, ""rsi_os"": 39, ""rsi_period"": 67, ""rsi_required"": false, ""slip_atr_k"": 0.09716417013976028, ""slip_spread_k"": 0.3489967328057795, ""spread_hl_frac"": 0.008630240662655742, ""strategy"": ""mean_reversion"", ""time_stop"": 79, ""tp_mult"": 1.1891010367053376, ""tsl_mult"": 0.5322729860989901, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2718986641686754}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 5.771978401549363, ""atr_max_pct"": 0.021124354802211292, ""atr_min_pct"": 0.02267007268451596, ""bb_std_mult"": 0.6817573693494999, ""edge_cap"": 0.4544933671280934, ""edge_k"": 1.3588488825584417, ""ema1"": 6, ""ema2"": 14, ""p_adx"": 11, ""p_atr"": 24, ""p_sma"": 21, ""p_std"": 39, ""rsi_ob"": 70, ""rsi_os"": 44, ""rsi_period"": 22, ""rsi_required"": false, ""slip_atr_k"": 0.018283036224649746, ""slip_spread_k"": 0.18769977508482172, ""spread_hl_frac"": 0.005567880570429146, ""strategy"": ""mean_reversion"", ""time_stop"": 274, ""tp_mult"": 1.9921518624262835, ""tsl_mult"": 0.3031083081157484, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.19788212112692596}"
5,4.164474207822003,-0.0006815145076447376,4.164474207822003,0.0006815145076447376,4.164474207822003,-0.0006815145076447376,2679.0,breakout,1,"{""adx_thresh"": 30.107841242812558, ""atr_max_pct"": 0.06063001662602554, ""atr_min_pct"": 0.003988918139395356, ""bb_std_mult"": 0.5910409680167934, ""edge_cap"": 0.3233331400932851, ""edge_k"": 1.3336707284554823, ""ema1"": 23, ""ema2"": 29, ""p_adx"": 30, ""p_atr"": 15, ""p_sma"": 38, ""p_std"": 39, ""rsi_ob"": 82, ""rsi_os"": 8, ""rsi_period"": 35, ""rsi_required"": false, ""slip_atr_k"": 0.03640319341228501, ""slip_spread_k"": 0.9479558135848737, ""spread_hl_frac"": 0.00848694104295875, ""strategy"": ""breakout"", ""time_stop"": 163, ""tp_mult"": 1.384611438984773, ""tsl_mult"": 0.016944402073083453, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.17663268979738095}"
6,0.8481881317718032,-0.005163710881045717,0.8481881317718032,0.005163710881045717,0.8481881317718032,-0.005163710881045717,2238.0,breakout,1,"{""adx_thresh"": 21.711162387599636, ""atr_max_pct"": 0.08327810818805281, ""atr_min_pct"": 0.021293127149644882, ""bb_std_mult"": 1.983201841973624, ""edge_cap"": 0.5725569711035383, ""edge_k"": 1.0508224123970415, ""ema1"": 14, ""ema2"": 57, ""p_adx"": 29, ""p_atr"": 27, ""p_sma"": 38, ""p_std"": 8, ""rsi_ob"": 73, ""rsi_os"": 11, ""rsi_period"": 24, ""rsi_required"": false, ""slip_atr_k"": 0.13903294420493623, ""slip_spread_k"": 0.4137464052242582, ""spread_hl_frac"": 0.03121953653808053, ""strategy"": ""breakout"", ""time_stop"": 39, ""tp_mult"": 2.2375795665963882, ""tsl_mult"": 0.2250553707131412, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.004017347658272108}"
7,0.40488750235484905,-0.008970976292074027,0.40488750235484905,0.008970976292074027,0.40488750235484905,-0.008970976292074027,1904.0,breakout,1,"{""adx_thresh"": 21.494589141338917, ""atr_max_pct"": 0.10199461231633841, ""atr_min_pct"": 0.005987707536281526, ""bb_std_mult"": 3.5277549842956426, ""edge_cap"": 0.7231803614058261, ""edge_k"": 0.6621153328913043, ""ema1"": 13, ""ema2"": 51, ""p_adx"": 10, ""p_atr"": 13, ""p_sma"": 30, ""p_std"": 28, ""rsi_ob"": 67, ""rsi_os"": 45, ""rsi_period"": 15, ""rsi_required"": true, ""slip_atr_k"": 0.19100046921978844, ""slip_spread_k"": 0.7246058021947902, ""spread_hl_frac"": 0.03910205768191305, ""strategy"": ""breakout"", ""time_stop"": 99, ""tp_mult"": 2.9511766219192292, ""tsl_mult"": 0.5351089201477062, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10612499494740875}"
8,4.558021920130858,-0.0001624742014090213,4.558021920130858,0.0001624742014090213,4.558021920130858,-0.0001624742014090213,2336.0,mean_reversion,1,"{""adx_thresh"": 26.728739519975328, ""atr_max_pct"": 0.026069468471222094, ""atr_min_pct"": 0.023571502343687063, ""bb_std_mult"": 0.5911025528823121, ""edge_cap"": 0.706695725278214, ""edge_k"": 0.8577603675109939, ""ema1"": 18, ""ema2"": 41, ""p_adx"": 12, ""p_atr"": 22, ""p_sma"": 9, ""p_std"": 25, ""rsi_ob"": 58, ""rsi_os"": 25, ""rsi_period"": 44, ""rsi_required"": true, ""slip_atr_k"": 0.005256819826355674, ""slip_spread_k"": 0.8395518183897704, ""spread_hl_frac"": 0.007971041753006947, ""strategy"": ""mean_reversion"", ""time_stop"": 284, ""tp_mult"": 2.6242903695286772, ""tsl_mult"": 0.4283952818467536, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.02989929848420525}"
9,0.38152330797869594,-0.009426070517062745,0.38152330797869594,0.009426070517062745,0.38152330797869594,-0.009426070517062745,1872.0,breakout,1,"{""adx_thresh"": 28.0052161650656, ""atr_max_pct"": 0.11571597825363315, ""atr_min_pct"": 0.02321159000443321, ""bb_std_mult"": 2.8086709782521413, ""edge_cap"": 0.48394246179526257, ""edge_k"": 0.480551323112987, ""ema1"": 13, ""ema2"": 52, ""p_adx"": 26, ""p_atr"": 20, ""p_sma"": 26, ""p_std"": 28, ""rsi_ob"": 55, ""rsi_os"": 25, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.20664834065129822, ""slip_spread_k"": 0.2266353590369079, ""spread_hl_frac"": 0.014469632127912625, ""strategy"": ""breakout"", ""time_stop"": 99, ""tp_mult"": 2.5797979961454747, ""tsl_mult"": 0.29684856027639883, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.179610139525476}"
